"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"18","Corymbia chippendalei","Corymbia chippendalei","corymbia chippendalei","Corymbia chippendalei","corymbia chippendalei","","Species ","D.Nicolle",2695,"Warburton, WA",26,13,11,126,18,18,182,9,"Dead","","","","","","","","","","","",2000,"Corymbia_chippendalei_CANB_513580","corymbia_chippendalei","corymbia_chippendalei"
"19","Corymbia clarksoniana","Corymbia clarksoniana","corymbia clarksoniana","Corymbia clarksoniana","corymbia clarksoniana","","Species ","D.Nicolle",2511,"Musgrave, Qld",14,49,12,143,30,58,246,8,"Dead","","","","","","","","","","","",2002,"Corymbia_clarksoniana_ANBG_643951","corymbia_clarksoniana","corymbia_clarksoniana"
"20","Corymbia collina","Corymbia collina","corymbia collina","Corymbia collina","corymbia collina","","Species ","D.Nicolle",1915,"Phillips Range, WA",16,54,17,125,45,54,139,12,"Dead","","","","","","","","","","","",1997,"Corymbia_collina_MC_10588","corymbia_collina","corymbia_collina"
"21","Corymbia dampieri","Corymbia dampieri","corymbia dampieri","Corymbia greeniana","corymbia greeniana","","Species ","D.Nicolle",1900,"Legrange, WA",18,38,26,121,56,40,135,33,"Dead","","","","","","","","","","","",1997,"Corymbia_dampieri","corymbia_dampieri","corymbia_dampieri"
"22","Corymbia deserticola subsp. deserticola","Corymbia deserticola subsp. deserticola","corymbia deserticola subsp. deserticola","Corymbia deserticola subsp. deserticola","corymbia deserticola subsp. deserticola","","Subspecies","D.Nicolle",4267,"Telfer, WA",21,38,41,122,4,12,199,31,"Dead","","","","","","","","","","","",2002,"Corymbia_deserticola_subsp_deserticola_MC_11111","corymbia_deserticola_subsp._deserticola","corymbia_deserticola_subsp_deserticola"
"23","Corymbia dichromophloia","Corymbia dichromophloia","corymbia dichromophloia","Corymbia rubens","corymbia rubens","","Species ","D.Nicolle",2463,"Pine Creek, NT",13,39,13,132,9,23,305,26,"Dead","","","","","","","","","","","",2010,"Corymbia_dichromophloia_MC_10528","corymbia_dichromophloia","corymbia_dichromophloia"
"24","Corymbia dimorpha","Corymbia dimorpha","corymbia dimorpha","Corymbia peltata","corymbia peltata","","Species ","D.Nicolle",2528,"Laroona, Qld",19,16,51,145,55,19,169,8,"Alive","None evident","Moderate","??","None evident","","","","","None evident","","",1999,"Corymbia_dimorpha","corymbia_dimorpha","corymbia_dimorpha"
"25","Corymbia dolichocarpa","Corymbia dolichocarpa","corymbia dolichocarpa","Corymbia clarksoniana","corymbia clarksoniana","","Species ","D.Nicolle",2550,"Injune, Qld",26,17,23,148,44,23,173,19,"Dead","","","","","","","","","","","",1999,"Corymbia_dolichocarpa","corymbia_dolichocarpa","corymbia_dolichocarpa"
"26","Corymbia ellipsoidea","Corymbia ellipsoidea","corymbia ellipsoidea","Corymbia ellipsoidea","corymbia ellipsoidea","","Species ","D.Nicolle",5112,"Mt Garnet, Qld",17,38,16,145,3,27,304,4,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2010,"Corymbia_ellipsoidea_Mt_Annan_904974","corymbia_ellipsoidea","corymbia_ellipsoidea"
"27","Corymbia eremaea subsp. eremaea","Corymbia eremaea subsp. eremaea","corymbia eremaea subsp. eremaea","Corymbia eremaea subsp. eremaea","corymbia eremaea subsp. eremaea","","Subspecies","D.Nicolle",1210,"Kulgera roadhouse, NT",25,55,32,133,14,46,66,17,"Alive","None evident","None evident","?","","","","","","None evident","","",1995,"Corymbia_eremaea_subsp_eremaea_280","corymbia_eremaea_subsp._eremaea","corymbia_eremaea_subsp_eremaea"
"28","Corymbia erythrophloia","Corymbia erythrophloia","corymbia erythrophloia","Corymbia erythrophloia","corymbia erythrophloia","","Species ","D.Nicolle",2530,"Charters Towers, Qld",19,44,56,145,57,14,170,24,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Corymbia_erythrophloia_Mt_Annan_891984","corymbia_erythrophloia","corymbia_erythrophloia"
"29","Corymbia eximia","Corymbia eximia","corymbia eximia","Corymbia eximia","corymbia eximia","","Species ","D.Nicolle",632,"Wisemans Ferry, NSW",33,23,23,150,58,57,53,21,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1994,"Corymbia_eximia_ANBG_62889","corymbia_eximia","corymbia_eximia"
"30","Corymbia ferriticola","Corymbia ferriticola","corymbia ferriticola","Corymbia ferriticola","corymbia ferriticola","","Species ","D.Nicolle",2752,"Meekatharra, WA",26,21,48,118,24,34,182,25,"Alive","Moderate","Moderate","?","Moderate","Tertiary branches","3 - 6 months","Slight","","None evident","","",2000,"Corymbia_ferriticola_MC_11117","corymbia_ferriticola","corymbia_ferriticola"
"31","Corymbia ferruginea subsp. ferruginea","Corymbia ferruginea subsp. ferruginea","corymbia ferruginea subsp. ferruginea","Corymbia ferruginea subsp. ferruginea","corymbia ferruginea subsp. ferruginea","","Subspecies","D.Nicolle",2466,"Pine Creek, NT",13,40,38,131,41,30,242,20,"Dead","","","","","","","","","","","",2002,"Corymbia_ferruginea_subsp_ferruginea_MC_10538","corymbia_ferruginea_subsp._ferruginea","corymbia_ferruginea_subsp_ferruginea"
"32","Corymbia ficifolia","Corymbia ficifolia","corymbia ficifolia","Corymbia ficifolia","corymbia ficifolia","","Species ","D.Nicolle",1138,"Bow Bridge, WA",35,1,23,116,55,50,68,28,"Dead","","","","","","","","","Died in 2006","","",1995,"Corymbia_ficifolia_ANBG_c208","corymbia_ficifolia","corymbia_ficifolia"
"33","Corymbia foelscheana","Corymbia foelscheana","corymbia foelscheana","Corymbia foelscheana","corymbia foelscheana","","Species ","D.Nicolle",2470,"Adelaide River, NT",13,30,58,131,23,35,171,31,"Dead","","","","","","","","","","","",1999,"Corymbia_foelscheana_MC_10508","corymbia_foelscheana","corymbia_foelscheana"
"34","Corymbia gummifera","Corymbia gummifera","corymbia gummifera","Corymbia gummifera","corymbia gummifera","","Species ","D.Nicolle",1228,"Ku-Ring-Gai Chase, NSW",33,41,3,151,13,54,93,18,"Alive","Slight","Moderate","?","Scattered","Primary & secondary branches","3 - 6 months","Slight","","None evident","Flowered","Flowered",1996,"Corymbia_gummifera_680","corymbia_gummifera","corymbia_gummifera"
"35","Corymbia haematoxylon","Corymbia haematoxylon","corymbia haematoxylon","Corymbia haematoxylon","corymbia haematoxylon","","Species ","D.Nicolle",1147,"Busselton, WA",33,42,58,115,31,34,72,32,"Alive","Severe","Severe","?","Scattered","Trunk only","3 - 6 months","None evident","6 - 12 months","None evident","Flowered","Flowered",1995,"Corymbia_haematoxylon_380","corymbia_haematoxylon","corymbia_haematoxylon"
"36","Corymbia hamersleyana","Corymbia hamersleyana","corymbia hamersleyana","Corymbia hamersleyana","corymbia hamersleyana","","Species ","D.Nicolle",1190,"Mt Nameless, WA",22,43,18,117,45,26,64,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Corymbia_hamersleyana_MC_11116","corymbia_hamersleyana","corymbia_hamersleyana"
"37","Corymbia hendersonii","Corymbia hendersonii","corymbia hendersonii","Corymbia hendersonii","corymbia hendersonii","","Species ","D.Nicolle",701,"Springsure, Qld",24,13,26,148,14,34,59,17,"Alive","Dead","","","","","","","1 - 2 years","None evident","","",1994,"Corymbia_hendersonii_252","corymbia_hendersonii","corymbia_hendersonii"
"38","Corymbia intermedia","Corymbia intermedia","corymbia intermedia","Corymbia intermedia","corymbia intermedia","","Species ","D.Nicolle",708,"Blackdown Tableland, Qld",23,50,23,149,4,58,54,9,"Alive","Moderate","Severe","?","None evident","","","","","Moderate","","",1994,"Corymbia_intermedia_230","corymbia_intermedia","corymbia_intermedia"
"39","Corymbia jacobsiana","Corymbia jacobsiana","corymbia jacobsiana","Corymbia jacobsiana","corymbia jacobsiana","","Species ","D.Nicolle",2464,"Pine Creek, NT",13,44,58,131,44,31,245,4,"Dead","","","","","","","","","","","",2002,"Corymbia_jacobsiana_CANB_558528","corymbia_jacobsiana","corymbia_jacobsiana"
"40","Corymbia latifolia","Corymbia latifolia","corymbia latifolia","Corymbia latifolia","corymbia latifolia","","Species ","D.Nicolle",1922,"Drysdale River, WA",15,53,39,126,20,58,142,34,"Dead","","","","","","","","","","","",1997,"Corymbia_latifolia_CANB_785515","corymbia_latifolia","corymbia_latifolia"
"41","Corymbia leichhardtii","Corymbia leichhardtii","corymbia leichhardtii","Corymbia leichhardtii","corymbia leichhardtii","","Species ","D.Nicolle",1277,"Springsure, Qld",24,9,4,147,52,48,89,4,"Alive","Moderate","Slight","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","None evident","","",1996,"Corymbia_leichhardtii_Mt_Annan_891967","corymbia_leichhardtii","corymbia_leichhardtii"
"42","Corymbia lenziana","Corymbia lenziana","corymbia lenziana","Corymbia lenziana","corymbia lenziana","","Species ","D.Nicolle",537,"Karalundi, WA",25,51,22,119,4,30,40,1,"Dead","","","","","","","","","","","",1994,"Corymbia_lenziana_CANB_794064","corymbia_lenziana","corymbia_lenziana"
"43","Corymbia leptoloma","Corymbia leptoloma","corymbia leptoloma","Corymbia leptoloma","corymbia leptoloma","","Species ","D.Nicolle",1302,"Paluma, Qld",19,0,40,146,5,57,95,10,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1996,"Corymbia_leptoloma_694","corymbia_leptoloma","corymbia_leptoloma"
"44","Corymbia maculata","Corymbia maculata","corymbia maculata","Corymbia maculata","corymbia maculata","","Species ","D.Nicolle",1752,"Narooma, NSW",36,16,54,150,7,29,140,8,"Alive","Moderate","Moderate","?","Scattered","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"Corymbia_maculata_ANBG_7800470","corymbia_maculata","corymbia_maculata"
"45","Corymbia maculata (C. henryi)","Corymbia maculata","corymbia maculata","Corymbia henryi","corymbia henryi","","Species ","D.Nicolle",1259,"Helidon Hills, Qld",27,26,46,152,11,49,91,6,"Alive","Slight","None evident","?","None evident","","","","","None evident","Flowered","Flowered",1996,"Corymbia_maculata_ANBG_7800470","corymbia_maculata","corymbia_maculata"
"46","Corymbia nesophila","Corymbia nesophila","corymbia nesophila","Corymbia nesophila","corymbia nesophila","","Species ","D.Nicolle",1319,"Cooktown, Qld",15,17,19,144,51,4,157,33,"Dead","","","","","","","","","","","",1998,"Corymbia_nesophila_MC_10553","corymbia_nesophila","corymbia_nesophila"
"47","Corymbia opaca","Corymbia opaca","corymbia opaca","Corymbia opaca","corymbia opaca","","Species ","D.Nicolle",1196,"Great Sandy Desert, WA",22,57,27,122,37,4,67,36,"Dead","","","","","","","","","","","",1995,"Corymbia_opaca","corymbia_opaca","corymbia_opaca"
"48","Corymbia pachycarpa (subsp. glabrescens)","Corymbia pachycarpa","corymbia pachycarpa","Corymbia pachycarpa","corymbia pachycarpa","","Species ","D.Nicolle",1198,"Great Sandy Desert, WA",22,41,40,123,43,31,73,18,"Dead","","","","","","","","","","","",1995,"Corymbia_pachycarpa_CANB_785564","corymbia_pachycarpa","corymbia_pachycarpa"
"49","Corymbia papillosa","Corymbia papillosa","corymbia papillosa","Corymbia papillosa","corymbia papillosa","","Species ","D.Nicolle",4207,"Ramingining, NT",13,2,56,134,50,59,242,24,"Dead","","","","","","","","","","","",2002,"Corymbia_papillosa_CANB_564789","corymbia_papillosa","corymbia_papillosa"
"50","Corymbia peltata","Corymbia peltata","corymbia peltata","Corymbia peltata","corymbia peltata","","Species ","D.Nicolle",2505,"Newcastle Range, Qld",18,37,10,143,49,35,168,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Corymbia_peltata_493","corymbia_peltata","corymbia_peltata"
"51","Corymbia petalophylla","Corymbia petalophylla","corymbia petalophylla","Corymbia petalophylla","corymbia petalophylla","","Species ","D.Nicolle",1262,"Eldsvoid, Qld",25,26,6,150,57,30,89,32,"Alive","Slight","None evident","?","None evident","","","","","None evident","Flowered","Flowered",1996,"Corymbia_petalophylla_Mt_Annan_892019","corymbia_petalophylla","corymbia_petalophylla"
"52","Corymbia plena","Corymbia plena","corymbia plena","Corymbia plena","corymbia plena","","Species ","D.Nicolle",2535,"Torrens Creek, Qld",20,46,3,145,1,39,171,25,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Corymbia_plena_CANB_660150","corymbia_plena","corymbia_plena"
"53","Corymbia polycarpa","Corymbia polycarpa","corymbia polycarpa","Corymbia polycarpa","corymbia polycarpa","","Species ","D.Nicolle",4197,"Daly Waters, NT",16,15,3,133,23,56,340,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2017,"Corymbia_polycarpa_CANB_785478","corymbia_polycarpa","corymbia_polycarpa"
"54","Corymbia polysciada","Corymbia polysciada","corymbia polysciada","Corymbia polysciada","corymbia polysciada","","Species ","D.Nicolle",2457,"Pine Creek, NT",13,50,53,131,50,24,173,12,"Dead","","","","","","","","","","","",1999,"Corymbia_polysciada_CANB_785479","corymbia_polysciada","corymbia_polysciada"
"55","Corymbia porrecta","Corymbia porrecta","corymbia porrecta","Corymbia porrecta","corymbia porrecta","","Species ","D.Nicolle",2471,"Humpty Doo, NT",12,42,30,131,25,27,174,33,"Dead","","","","","","","","","","","",1999,"Corymbia_porrecta_CANB_628340","corymbia_porrecta","corymbia_porrecta"
"56","Corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","","Subspecies","D.Nicolle",1343,"Maranboy, NT",14,16,25,132,49,52,91,15,"Dead","","","","","","","","","","","",1996,"Corymbia_ptychocarpa_subsp_ptychocarpa_MC_10536","corymbia_ptychocarpa_subsp._ptychocarpa","corymbia_ptychocarpa_subsp_ptychocarpa"
"57","Corymbia rhodops","Corymbia rhodops","corymbia rhodops","Corymbia rhodops","corymbia rhodops","","Species ","D.Nicolle",1306,"Herberton, Qld",17,23,8,145,20,10,94,22,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"Corymbia_rhodops_CANB_598277","corymbia_rhodops","corymbia_rhodops"
"58","Corymbia scabrida","Corymbia scabrida","corymbia scabrida","Corymbia scabrida","corymbia scabrida","","Species ","D.Nicolle",1278,"Springsure, Qld",24,21,55,147,23,33,89,11,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1996,"Corymbia_scabrida_Mt_Annan_891868","corymbia_scabrida","corymbia_scabrida"
"59","Corymbia stockeri subsp. stockeri (C. lamprophylla)","Corymbia stockeri subsp. stockeri","corymbia stockeri subsp. stockeri","Corymbia stockeri subsp. lamprophylla","corymbia stockeri subsp. lamprophylla","","Subspecies","D.Nicolle",1290,"White Mountains NP, Qld",20,42,15,145,13,50,134,5,"Dead","","","","","","","","","","","",1997,"Corymbia_stockeri_subsp_stockeri_CANB_739042","corymbia_stockeri_subsp._stockeri","corymbia_stockeri_subsp_stockeri"
"60","Corymbia terminalis","Corymbia terminalis","corymbia terminalis","Corymbia terminalis","corymbia terminalis","","Species ","D.Nicolle",2120,"Charleville, Qld",26,39,12,145,33,49,82,3,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"Corymbia_terminalis_MC_10579","corymbia_terminalis","corymbia_terminalis"
"61","Corymbia tessellaris","Corymbia tessellaris","corymbia tessellaris","Corymbia tessellaris","corymbia tessellaris","","Species ","",NA,"Unknown origin",NA,NA,NA,NA,NA,NA,61,39,"Alive","None evident","None evident","?","","","","","","None evident","","",1995,"Corymbia_tessellaris_324","corymbia_tessellaris","corymbia_tessellaris"
"62","Corymbia torelliana","Corymbia torelliana","corymbia torelliana","Corymbia torelliana","corymbia torelliana","","Species ","",NA,"Cultivated, Robina, Qld",NA,NA,NA,NA,NA,NA,209,18,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2006,"Corymbia_torelliana_Mt_Annan_981102","corymbia_torelliana","corymbia_torelliana"
"63","Corymbia variegata","Corymbia variegata","corymbia variegata","Corymbia citriodora","corymbia citriodora","","Species ","D.Nicolle",1246,"Drake, NSW",28,53,38,152,28,36,91,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Corymbia_variegata","corymbia_variegata","corymbia_variegata"
"64","Corymbia watsoniana subsp. watsoniana","Corymbia watsoniana subsp. watsoniana","corymbia watsoniana subsp. watsoniana","Corymbia watsoniana subsp. watsoniana","corymbia watsoniana subsp. watsoniana","","Subspecies","D.Nicolle",688,"Barakula forest, Qld",26,29,41,150,45,21,55,24,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"Corymbia_watsoniana_subsp_watsoniana_ANBG_68771","corymbia_watsoniana_subsp._watsoniana","corymbia_watsoniana_subsp_watsoniana"
"65","Corymbia xanthope","Corymbia xanthope","corymbia xanthope","Corymbia xanthope","corymbia xanthope","","Species ","D.Nicolle",2543,"Marlborough, Qld",22,51,31,149,59,18,167,6,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Corymbia_xanthope","corymbia_xanthope","corymbia_xanthope"
"66","Corymbia zygophylla","Corymbia zygophylla","corymbia zygophylla","Corymbia zygophylla","corymbia zygophylla","","Species ","D.Nicolle",1185,"Exmouth Gulf, WA",22,44,46,114,23,23,69,5,"Dead","","","","","","","","","Not applicable","","",1995,"Corymbia_zygophylla_MC_10581","corymbia_zygophylla","corymbia_zygophylla"
"67","Eucalyptus absita","Eucalyptus absita","eucalyptus absita","Eucalyptus absita","eucalyptus absita","","Species ","D.Nicolle",1154,"Badgingarra, WA",30,26,13,115,34,32,68,10,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_absita_354","eucalyptus_absita","eucalyptus_absita"
"68","Eucalyptus acaciiformis","Eucalyptus acaciiformis","eucalyptus acaciiformis","Eucalyptus acaciiformis","eucalyptus acaciiformis","","Species ","D.Nicolle",6217,"Ebor, NSW",30,28,36,152,19,22,242,24,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2013,"Eucalyptus_acaciiformis_214","eucalyptus_acaciiformis","eucalyptus_acaciiformis"
"69","Eucalyptus accedens","Eucalyptus accedens","eucalyptus accedens","Eucalyptus accedens","eucalyptus accedens","","Species ","D.Nicolle",1164,"Dongara, WA",29,26,1,115,20,19,66,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_accedens_346","eucalyptus_accedens","eucalyptus_accedens"
"70","Eucalyptus acies","Eucalyptus acies","eucalyptus acies","Eucalyptus acies","eucalyptus acies","","Species ","D.Nicolle",225,"Cheyne Beach, WA",34,53,23,118,24,25,42,24,"Dead","","","","","","","","","","","",1994,"Eucalyptus_acies_CANB_610687","eucalyptus_acies","eucalyptus_acies"
"71","Eucalyptus acmenoides (E. uvida)","Eucalyptus acmenoides","eucalyptus acmenoides","Eucalyptus acmenoides","eucalyptus acmenoides","","Species ","D.Nicolle",1299,"Paluma, Qld",18,59,7,146,17,44,93,20,"Dead","","","","","","","","","","","",1996,"Eucalyptus_acmenoides_624","eucalyptus_acmenoides","eucalyptus_acmenoides"
"72","Eucalyptus aequioperta","Eucalyptus aequioperta","eucalyptus aequioperta","Eucalyptus aequioperta","eucalyptus aequioperta","","Species ","D.Nicolle",3448,"Hyden, WA",32,3,5,118,53,54,223,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_aequioperta_23","eucalyptus_aequioperta","eucalyptus_aequioperta"
"73","Eucalyptus agglomerata","Eucalyptus agglomerata","eucalyptus agglomerata","Eucalyptus agglomerata","eucalyptus agglomerata","","Species ","D.Nicolle",1754,"Nelligen, NSW",35,32,53,149,59,3,140,15,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_agglomerata_673","eucalyptus_agglomerata","eucalyptus_agglomerata"
"74","Eucalyptus aggregata","Eucalyptus aggregata","eucalyptus aggregata","Eucalyptus aggregata","eucalyptus aggregata","","Species ","D.Nicolle",1224,"Rydal, NSW",33,27,46,150,1,49,92,22,"Alive","Dead","","","","","","","6 - 12 months","None evident","Flowered","Flowered",1996,"Eucalyptus_aggregata_580","eucalyptus_aggregata","eucalyptus_aggregata"
"75","Eucalyptus alaticaulis","Eucalyptus alaticaulis","eucalyptus alaticaulis","Eucalyptus alaticaulis","eucalyptus alaticaulis","","Species ","D.Nicolle",356,"Mt William Range, Vic",37,17,NA,142,35,NA,71,33,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","","",1995,"Eucalyptus_alaticaulis_371","eucalyptus_alaticaulis","eucalyptus_alaticaulis"
"76","Eucalyptus albens","Eucalyptus albens","eucalyptus albens","Eucalyptus albens","eucalyptus albens","","Species ","D.Nicolle",1676,"Melrose, SA",32,55,3,138,9,32,133,8,"Alive","Dead","","","","","","","2 - 3 years","None evident","","",1997,"Eucalyptus_albens_661","eucalyptus_albens","eucalyptus_albens"
"77","Eucalyptus albida","Eucalyptus albida","eucalyptus albida","Eucalyptus albida","eucalyptus albida","","Species ","D.Nicolle",2214,"Marchagee Track, WA",30,11,7,115,39,55,175,31,"Dead","","","","","","","","","","","",1999,"Eucalyptus_albida_46","eucalyptus_albida","eucalyptus_albida"
