"","x"
"931","1736"
"932","2937"
"933","720"
"934","6175"
"935","1254"
"936","667"
"937","707"
"938","1241"
"939","6173"
"940","6806"
"941","6464"
"942","6148"
"943","1255"
"944","675"
"945","3796"
"946","722"
"947","2689"
"948","1703"
"949","1209"
"950","7365"
"951","1224"
"952","6419"
"953","1323"
"954","5144"
"955","1309"
"956","6164"
"957","6160"
"958","6502"
"959","2964"
"960","6147"
"961","728"
"962","6242"
"963","6171"
"964","724"
"965","723"
"966","716"
"967","6478"
"968","6486"
"969","2107"
"970","7398"
"971","1977"
"972","1970"
"973","1962"
"974","7406"
"975","1980"
"976","2089"
"977","650"
"978","669"
"979","3209"
"980","1763"
"981","641"
"982","6645"
"983","1934"
"984","539"
"985","2498"
"986","1332"
"987","6457"
"988","1239"
"989","3797"
"990","2067"
"991","6307"
"992","1739"
"993","7411"
"994","1983"
"995","618"
"996","633"
"997","6219"
"998","5024"
"999","6782"
"1000","6333"
"1001","576"
"1002","616"
"1003","762"
"1004","1775"
"1005","1745"
"1006","2950"
"1007","760"
"1008","5271"
"1009","570"
"1010","1368"
"1011","1257"
"1012","6231"
"1013","6157"
"1014","648"
"1015","1735"
"1016","1764"
"1017","6722"
"1018","1986"
"1019","1726"
"1020","3212"
"1021","468"
"1022","7412"
"1023","1989"
"1024","1979"
"1025","6726"
"1026","1985"
"1027","4314"
"1028","4311"
"1029","1720"
"1030","1772"
"1031","1728"
"1032","2068"
"1033","598"
"1034","6312"
"1035","6263"
"1036","1227"
"1037","1326"
"1038","1722"
"1039","2951"
"1040","583"
"1041","3789"
"1042","449"
"1043","2952"
"1044","6388"
"1045","565"
"1046","653"
"1047","6282"
"1048","2071"
"1049","3799"
"1050","2066"
"1051","581"
"1052","609"
"1053","7364"
"1054","656"
"1055","1765"
"1056","1731"
"1057","1725"
"1058","1730"
"1059","1729"
"1060","1743"
"1061","7372"
"1062","588"
"1063","569"
"1064","6277"
"1065","3211"
"1066","6323"
"1067","1226"
"1068","4513"
"1069","1967"
"1070","1965"
"1071","1988"
"1072","2946"
"1073","591"
"1074","1222"
"1075","7427"
"1076","359"
"1077","1746"
"1078","6781"
"1079","6276"
"1080","770"
"1081","1975"
"1082","584"
"1083","1755"
"1084","4883"
"1085","2069"
"1086","7403"
"1087","2577"
"1088","7046"
"1089","776"
"1090","1773"
"1091","1774"
"1092","1768"
"1093","7402"
"1094","1972"
"1095","6196"
"1096","672"
"1097","7355"
"1098","759"
"1099","6228"
"1100","2948"
"1101","1367"
"1102","753"
"1103","647"
"1104","6194"
"1105","651"
"1106","6249"
"1107","4700"
"1108","1750"
"1109","1757"
"1110","2949"
"1111","6095"
"1112","6098"
"1113","6787"
"1114","4745"
"1115","356"
"1116","1767"
"1117","6798"
"1118","3203"
"1119","7379"
"1120","586"
"1121","Evimvim_1"
"1122","6158"
"1123","1724"
"1124","7235"
"1125","1740"
"1126","7425"
"1127","1969"
"1128","6108"
"1129","5907"
"1130","941"
"1131","7410"
"1132","1981"
"1133","7407"
"1134","1963"
"1135","4946"
"1136","7389"
"1137","1990"
"1138","5022"
"1139","2941"
"1140","1363"
"1141","579"
"1142","6736"
"1143","4867"
"1144","7387"
"1145","577"
"1146","1766"
"1147","6217"
"1148","657"
"1149","4516"
"1150","1747"
"1151","6741"
"1152","6725"
"1153","1741"
"1154","1717"
"1155","805"
"1156","6121"
"1157","6114"
"1158","4318"
"1159","1594"
"1160","355"
"1161","4313"
"1162","4319"
"1163","1800"
"1164","6319"
"1165","6297"
"1166","1223"
"1167","2939"
"1168","5708"
"1169","2208"
"1170","4281"
"1171","4279"
"1172","4277"
"1173","4283"
"1174","545"
"1175","5778"
"1176","5766"
"1177","1191"
"1178","5463"
"1179","3766"
"1180","2761"
"1181","339"
"1182","3536"
"1183","1154"
"1184","1941"
"1185","1194"
"1186","2684"
"1187","427"
"1188","1189"
"1189","4241"
"1190","5568"
"1191","2436"
"1192","1178"
"1193","1267"
"1194","694"
"1195","689"
"1196","1187"
"1197","1183"
"1198","541"
"1199","1245"
"1200","825"
"1201","Ealb_1"
"1202","3180"
"1203","942"
"1204","1242"
"1205","685"
"1206","2081"
"1207","2544"
"1208","666"
"1209","2927"
"1210","680"
"1211","2531"
"1212","1294"
"1213","5133"
"1214","2532"
"1215","2514"
"1216","1317"
"1217","6495"
"1218","6453"
"1219","6170"
"1220","2930"
"1221","2102"
"1222","746"
"1223","2104"
"1224","2545"
"1225","2549"
"1226","2117"
"1227","683"
"1228","1260"
"1229","2111"
"1230","706"
"1231","1264"
"1232","1738"
"1233","6785"
"1234","2899"
"1235","742"
"1236","6106"
"1237","457"
"1238","6085"
"1239","1716"
"1240","1334"
"1241","1315"
"1242","4186"
"1243","2957"
"1244","1355"
"1245","1297"
"1246","2116"
"1247","1308"
"1248","1353"
"1249","1339"
"1250","5136"
"1251","1305"
"1252","6472"
"1253","6661"
"1254","2677"
"1255","2554"
"1256","2435"
"1257","423"
"1258","2945"
"1259","1252"
"1260","1281"
"1261","2500"
"1262","2452"
"1263","1276"
"1264","743"
"1265","747"
"1266","698"
"1267","1279"
"1268","1275"
"1269","2106"
"1270","1293"
"1271","6176"
"1272","729"
"1273","5929"
"1274","5281"
"1275","1691"
"1276","2083"
"1277","2080"
