all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Corymbia_hylandii_CANB_738922,Corymbia,hylandii,,CANB,738922,,,,CANB_738922___,Corymbia hylandii ,corymbia hylandii
Corymbia_intermedia_230,Corymbia,intermedia,,230,,,,,230____,Corymbia intermedia ,corymbia intermedia
Corymbia_jacobsiana_CANB_558528,Corymbia,jacobsiana,,CANB,558528,,,,CANB_558528___,Corymbia jacobsiana ,corymbia jacobsiana
Corymbia_lamprophylla_Mt_Annan_842093,Corymbia,lamprophylla,,Mt,Ann,842093,,,Mt_Ann_842093__,Corymbia lamprophylla ,corymbia lamprophylla
Corymbia_latifolia_CANB_785515,Corymbia,latifolia,,CANB,785515,,,,CANB_785515___,Corymbia latifolia ,corymbia latifolia
Corymbia_leichhardtii_Mt_Annan_891967,Corymbia,leichhardtii,,Mt,Ann,891967,,,Mt_Ann_891967__,Corymbia leichhardtii ,corymbia leichhardtii
Corymbia_lenziana_CANB_794064,Corymbia,lenziana,,CANB,794064,,,,CANB_794064___,Corymbia lenziana ,corymbia lenziana
Corymbia_leptoloma_694,Corymbia,leptoloma,,694,,,,,694____,Corymbia leptoloma ,corymbia leptoloma
Corymbia_ligans_subsp_ligans,Corymbia,ligans,ligans,,,,,,____,Corymbia ligans subsp. ligans,corymbia ligans subsp. ligans
Corymbia_maculata_ANBG_7800470,Corymbia,maculata,,ANBG,7800470,,,,ANBG_7800470___,Corymbia maculata ,corymbia maculata
Corymbia_nesophila_MC_10553,Corymbia,nesophila,,MC,10553,,,,MC_10553___,Corymbia nesophila ,corymbia nesophila
Corymbia_novaguineesis_CANB_738912,Corymbia,novaguineesis,,CANB,738912,,,,CANB_738912___,Corymbia novaguineesis ,corymbia novaguineesis
Corymbia_opaca,Corymbia,opaca,,,,,,,____,Corymbia opaca ,corymbia opaca
Corymbia_opacula,Corymbia,opacula,,,,,,,____,Corymbia opacula ,corymbia opacula
Corymbia_pachycarpa_CANB_785564,Corymbia,pachycarpa,,CANB,785564,,,,CANB_785564___,Corymbia pachycarpa ,corymbia pachycarpa
Corymbia_papillosa_CANB_564789,Corymbia,papillosa,,CANB,564789,,,,CANB_564789___,Corymbia papillosa ,corymbia papillosa
Corymbia_papuana_CANB_583122,Corymbia,papuana,,CANB,583122,,,,CANB_583122___,Corymbia papuana ,corymbia papuana
Corymbia_pauciseta_CANB_448845,Corymbia,pauciseta,,CANB,448845,,,,CANB_448845___,Corymbia pauciseta ,corymbia pauciseta
