Taxonsimplified_DN,Taxa_names_no_hyb,Binomial,binomial,UniqueID,Drought2020Scale.mean,AICorrected,AP,PDryQ,PrecDeficit,height_max_m,RowTree,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Wooddensity.g.cm3..mean,Diamthickness.mm..mean,SLA_m2.kg.mean,d13C.mean,totalN.mean,Habit,Habit_num,RegenStrategysimplified,RegenStrategysimplified_num,LeafAreaEst_cm2,Aridclass,Aridclass_num,latitude,longitude
Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata,eucalyptus_conferruminata,4588,0,0.0289,77,6,-76.7343,4,R263/T15,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Conjunctae,conferruminata,recherche,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,7.96425,Hyper arid,4,-34.10833333,123.1916667
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4597,0.5,0.4649,761,71,-760.8364,20,R264/T12,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.12972222,122.2480556
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4597,0.5,0.4649,761,71,-760.8364,20,R264/T13,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.12972222,122.2480556
Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon,eucalyptus_leucoxylon,460,0,0.4772,689,55,-688.8557,12,R056/T31,Eucalyptus,Symphyomyrtus,Adnataria,Melliodorae,NA,leucoxylon,bellarinensis,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,33.6,Semiarid,2,-38.39166667,144.3083333
Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon,eucalyptus_leucoxylon,460,0,0.4772,689,55,-688.8557,12,R056/T32,Eucalyptus,Symphyomyrtus,Adnataria,Melliodorae,NA,leucoxylon,bellarinensis,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,33.6,Semiarid,2,-38.39166667,144.3083333
Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon,eucalyptus_leucoxylon,460,0,0.4772,689,55,-688.8557,12,R056/T34,Eucalyptus,Symphyomyrtus,Adnataria,Melliodorae,NA,leucoxylon,bellarinensis,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,33.6,Semiarid,2,-38.39166667,144.3083333
Eucalyptus aquilina,Eucalyptus aquilina,Eucalyptus aquilina,eucalyptus_aquilina,4604,4,0.1702,322,44,-321.8109,7,R209/T13,Eucalyptus,Eucalyptus,'Frutices' ms,Preissianae,Glandulares,aquilina,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.27375,Arid,3,-34.04083333,121.9938889
Eucalyptus aquilina,Eucalyptus aquilina,Eucalyptus aquilina,eucalyptus_aquilina,4604,4,0.1702,322,44,-321.8109,7,R209/T15,Eucalyptus,Eucalyptus,'Frutices' ms,Preissianae,Glandulares,aquilina,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.27375,Arid,3,-34.04083333,121.9938889
Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata,eucalyptus_conferruminata,4611,0,0.0548,145,0,-144.7355,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,7.96425,Arid,3,-33.96666667,122.0102778
Eucalyptus diversicolor,Eucalyptus diversicolor,Eucalyptus diversicolor,eucalyptus_diversicolor,4629,3,0.7864,1229,74,-1228.8438,80,R260/T05,Eucalyptus,Symphyomyrtus,Inclusae,NA,NA,diversicolor,NA,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,18.655,Humid,0,-34.49194444,115.9516667
Eucalyptus diversicolor,Eucalyptus diversicolor,Eucalyptus diversicolor,eucalyptus_diversicolor,4629,3,0.7864,1229,74,-1228.8438,80,R260/T06,Eucalyptus,Symphyomyrtus,Inclusae,NA,NA,diversicolor,NA,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,18.655,Humid,0,-34.49194444,115.9516667
Eucalyptus diversicolor,Eucalyptus diversicolor,Eucalyptus diversicolor,eucalyptus_diversicolor,4629,3,0.7864,1229,74,-1228.8438,80,R260/T07,Eucalyptus,Symphyomyrtus,Inclusae,NA,NA,diversicolor,NA,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,18.655,Humid,0,-34.49194444,115.9516667
Eucalyptus diversicolor,Eucalyptus diversicolor,Eucalyptus diversicolor,eucalyptus_diversicolor,4629,3,0.7864,1229,74,-1228.8438,80,R260/T08,Eucalyptus,Symphyomyrtus,Inclusae,NA,NA,diversicolor,NA,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,18.655,Humid,0,-34.49194444,115.9516667
Eucalyptus guilfoylei,Eucalyptus guilfoylei,Eucalyptus guilfoylei,eucalyptus_guilfoylei,4632,0.25,0.7886,1148,83,-1147.8545,40,R340/T26,Eucalyptus,Cruciformes,NA,NA,NA,guilfoylei,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,4.33125,Humid,0,-34.91055556,116.6888889
Eucalyptus guilfoylei,Eucalyptus guilfoylei,Eucalyptus guilfoylei,eucalyptus_guilfoylei,4632,0.25,0.7886,1148,83,-1147.8545,40,R340/T27,Eucalyptus,Cruciformes,NA,NA,NA,guilfoylei,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,4.33125,Humid,0,-34.91055556,116.6888889
Eucalyptus guilfoylei,Eucalyptus guilfoylei,Eucalyptus guilfoylei,eucalyptus_guilfoylei,4632,0.25,0.7886,1148,83,-1147.8545,40,R340/T28,Eucalyptus,Cruciformes,NA,NA,NA,guilfoylei,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,4.33125,Humid,0,-34.91055556,116.6888889
Eucalyptus guilfoylei,Eucalyptus guilfoylei,Eucalyptus guilfoylei,eucalyptus_guilfoylei,4632,0.25,0.7886,1148,83,-1147.8545,40,R340/T29,Eucalyptus,Cruciformes,NA,NA,NA,guilfoylei,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,4.33125,Humid,0,-34.91055556,116.6888889
Eucalyptus virginea,Eucalyptus virginea,Eucalyptus virginea,eucalyptus_virginea,4635,1,0.6229,913,78,-912.8535,20,R209/T08,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Inflexae,virginea,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,11.97,Dry Subhumuid,1,-34.85111111,117.2761111
Eucalyptus virginea,Eucalyptus virginea,Eucalyptus virginea,eucalyptus_virginea,4635,1,0.6229,913,78,-912.8535,20,R209/T11,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Inflexae,virginea,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,11.97,Dry Subhumuid,1,-34.85111111,117.2761111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R013/T38,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R095/T30,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R095/T31,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T01,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T02,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T03,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T04,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T05,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T06,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T07,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T08,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T09,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T10,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T11,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T12,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T13,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T14,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T15,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T16,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T17,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T18,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T19,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T20,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T21,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T22,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T23,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T24,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus bicostata,eucalyptus_bicostata,468,2.5,0.8102,1006,160,-1005.8759,45,R122/T25,Eucalyptus,Symphyomyrtus,Maidenaria,Globulares,Euglobulares,bicostata,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,75.6,Humid,0,-38.41944444,143.9386111
