UniqueID,Yearplanted.x,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,MAT,ISOT,AP,PDryM,MaxTWarmM,PrecDeficit,height_max_m,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,Thornhill_bionomial_tip_match2,percentage_affected,per_aff_spavg,per_aff_spavg_shift,AICorrected_spavg,MAT_spavg,MAP_spavg,PDryM_spavg,MaxTWarmM_spavg,PrecDeficit_spavg,height_max_m_spavg,LeafLenghtavg_mm_spavg,LeafWidth_avg_mm_spavg,LeafAreaEst_cm2_spavg
3670,2001,Eucalyptus olivina,"South Ironcap, WA",-32.61194444,119.7352778,0.2124,15.85,50.33201,406,13,29.8,-405.8089,10,62.5,6,2.625,eucalyptus_olivina,0,0,1,0.2124,15.85,406,13,29.8,-405.8089,10,62.5,6,2.625
3678,2001,Eucalyptus alipes,"Hyden, WA",-32.44722222,119.3266667,0.1761,16.94583,52.07581,364,16,32.5,-363.7934,8,52.5,7.5,2.75625,eucalyptus_alipes,0,0,1,0.1761,16.94583,364,16,32.5,-363.7934,8,52.5,7.5,2.75625
3705,2001,Eucalyptus utilis,"Hopetoun, WA",-33.94722222,120.1175,0.0375,20.61249924,37.21031449,97,0,40.90000153,-96.7415,7,62.5,20,8.75,eucalyptus_utilis,0,0.125,1.125,0.09865,19.83541462,245,0,40.60000077,-244.74785,7,62.5,20,8.75
3739,2001,Eucalyptus extensa,"Tarin Rock, WA",-33.69083333,117.7536111,0.2134,15.98333,52.36111,397,12,29.8,-396.8141,12,72.5,12.5,6.34375,eucalyptus_extensa,0,0,1,0.2134,15.98333,397,12,29.8,-396.8141,12,72.5,12.5,6.34375
3762,2001,Eucalyptus preissiana subsp. preissiana,"Mobrup, WA",-34.12416667,117.0661111,0.295,15.44167,53.46045,513,14,29.3,-512.8262,2.5,97.5,37.5,25.59375,eucalyptus_preissiana,1,1,2,0.295,15.44167,513,14,29.3,-512.8262,2.5,97.5,37.5,25.59375
3796,2002,Eucalyptus blakelyi,Warby Range Vic,-36.29861111,146.1644444,0.4651,14.44167,46.9313,747,37,29.5,-746.8395,25,130,26,23.66,eucalyptus_blakelyi,0,0,1,0.40875,16.627085,714.5,32.5,30.6,-714.323,17.5,116.25,19.5,16.49375
3799,2002,Eucalyptus mannifera subsp. Alpine Victoria,"Mt Buffalo, Vic",-36.70944444,146.8272222,0.9536,10.81667,45.296185,1300,55,24.6,-1299.8637,20,127.5,20,17.85,eucalyptus_mannifera,0.5,0.25,1.25,0.7435,12.00625,1022.5,49,25.15,-1022.36205,20,127.5,20,17.85
4172,2002,Eucalyptus largiflorens,"Cooper Creek, SA",-28.70333333,138.4572222,0.046,21.82917,47.54988,136,7,38,-135.7046,20,120,14,11.76,eucalyptus_largiflorens,0,0,1,0.0917,19.74375,213,11.5,35.55,-212.74685,20,120,14,11.76
4197,2017,Corymbia polycarpa,"Daly Waters, NT",-16.25083333,133.3988889,0.2744,26.52916718,56.78893661,715,0,38,-714.7395,20,143,24,24.024,corymbia_polycarpa,0,0,1,0.2744,26.52916718,715,0,38,-714.7395,20,143,24,24.024
4241,2002,Eucalyptus argillacea,"Mt House Station, WA",-17.1,125.5452778,0.3061,26.6125,57.54419,823,0,38.1,-822.7312,5,95,23.5,15.6275,eucalyptus_argillacea,0,0,1,0.3061,26.6125,823,0,38.1,-822.7312,5,95,23.5,15.6275
4283,2002,Eucalyptus lucasii,"Kumarina roadhouse, WA",-24.63805556,119.6091667,0.069,22.49167,45.87240333,211,3,38.3,-210.6946,10,115,20,16.1,eucalyptus_lucasii,0,0,1,0.102333333,22.52361333,304.6666667,3.333333333,38.13333333,-304.3672667,8.333333333,111.6666667,17.83333333,14.04083333
4587,2004,Eucalyptus cornuta,"Middle Island, WA",-34.09722222,123.1772222,0.373,15.96667,56.76768,623,20,24.4,-622.8331,20,97.5,21.5,14.67375,eucalyptus_cornuta,1,1,2,0.373,15.96667,623,20,24.4,-622.8331,20,97.5,21.5,14.67375
4629,2004,Eucalyptus diversicolor,"Warren National Park, WA",-34.49194444,115.9516667,0.7864,15.24167,51.69492,1229,23,25.5,-1228.8438,80,102.5,26,18.655,eucalyptus_diversicolor,1,1,2,0.7864,15.24167,1229,23,25.5,-1228.8438,80,102.5,26,18.655
4801,2006,Eucalyptus retusa,"Point Hood, WA",-34.3875,119.5697222,NA,NA,NA,NA,NA,NA,NA,4,42.5,17.5,5.20625,eucalyptus_retusa,0.5,0.5,1.5,NA,NA,NA,NA,NA,NA,4,42.5,17.5,5.20625
