TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus conglomerata,Eucalyptus conglomerata,Eucalyptus conglomerata,eucalyptus conglomerata,,Species ,D.Nicolle,719,"Beerwah, Qld",26,50,56,152,57,18,15,40,Dead,,,,,,,,,,,,1994
Eucalyptus conica,Eucalyptus conica,Eucalyptus conica,eucalyptus conica,,Species ,D.Nicolle,747,"Bylong, NSW",32,24,14,150,13,20,47,5,Alive,Slight,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Slight,Flowered,Flowered,1994
Eucalyptus consideniana,Eucalyptus consideniana,Eucalyptus consideniana,eucalyptus consideniana,,Species ,D.Nicolle,611,"Nowra, NSW",35,5,40,150,22,9,51,22,Alive,Moderate,Moderate,?,None evident,,,,,Severe,Budded,Budded,1994
Eucalyptus conspicua,Eucalyptus conspicua,Eucalyptus conspicua,eucalyptus conspicua,,Species ,D.Nicolle,1747,"Narrabarba, NSW",37,16,26,149,47,53,262,3,Alive,Moderate,Severe,?,Moderate,Trunk only,3 - 6 months,None evident,,Not applicable,Flowered,Flowered,2004
Eucalyptus conveniens,Eucalyptus conveniens,Eucalyptus conveniens,eucalyptus conveniens,,Species ,D.Nicolle,1162,"Dongara, WA",29,28,3,115,19,0,68,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah,eucalyptus coolabah,,Species ,D.Nicolle,1355,"Palmer River, NT",24,44,10,133,10,58,86,16,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Eucalyptus cooperiana,Eucalyptus cooperiana,Eucalyptus cooperiana,eucalyptus cooperiana,,Species ,D.Nicolle,168,"Condingup, WA",33,44,8,122,17,28,23,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cordata subsp. cordata,Eucalyptus cordata subsp. cordata,Eucalyptus cordata subsp. cordata,eucalyptus cordata subsp. cordata,,Subspecies,D.Nicolle,1985,"Kellevie, Tas",42,45,13,147,49,28,153,9,Alive,Dead,,,,,,,3 - 6 months,None evident,,,1998
Eucalyptus cordata subsp. quadrangulosa,Eucalyptus cordata subsp. quadrangulosa,Eucalyptus cordata subsp. quadrangulosa,eucalyptus cordata subsp. quadrangulosa,,Subspecies,D.Nicolle,1979,"Mt Lloyd, Tas",42,50,11,146,56,54,156,9,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus cornuta ,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus cornuta,,Species ,D.Nicolle,4608,"Observatory Island, WA",33,55,23,121,47,45,268,4,Dead,,,,,,,,,,,,2004
