TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus lansdowneana,Eucalyptus lansdowneana,Eucalyptus lansdowneana,eucalyptus lansdowneana,,Species ,D.Nicolle,57,"Scrubby Peak, SA",32,35,NA,135,15,,52,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus largeana,Eucalyptus largeana,Eucalyptus largeana,eucalyptus largeana,,Species ,D.Nicolle,2086,"Craven, NSW",32,10,7,151,53,17,155,11,Alive,Moderate,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1998
Eucalyptus largiflorens (green-leaf variant),Eucalyptus largiflorens,Eucalyptus largiflorens,eucalyptus largiflorens,,Species,D.Nicolle,2556,"Mulyungarie, SA",31,46,21,140,53,28,177,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus largiflorens x E. odorata (E. yarriambiack),Eucalyptus × yarriambiack,Eucalyptus yarriambiack,eucalyptus yarriambiack,,Species,D.Nicolle,6780,"Brim, Vic",36,3,42,142,25,18,297,1,Alive,None evident,None evident,?,,,,,,Not applicable,,,2015
Eucalyptus latens,Eucalyptus latens,Eucalyptus latens,eucalyptus latens,,Species ,D.Nicolle,1613,"Boyagin Rock, WA",32,28,59,116,50,46,138,2,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus latisinensis,Eucalyptus latisinensis,Eucalyptus latisinensis,eucalyptus latisinensis,,Species ,D.Nicolle,715,"Goodwood, Qld",25,10,35,152,22,7,58,32,Alive,None evident,None evident,?,,,,,,None evident,,,1994
Eucalyptus lehmannii subsp. lehmannii,Eucalyptus lehmannii subsp. lehmannii,Eucalyptus lehmannii subsp. lehmannii,eucalyptus lehmannii subsp. lehmannii,,Subspecies,D.Nicolle,222,"Cape Riche, WA",34,35,3,118,43,10,24,21,Dead,,,,,,,,,,,,1993
Eucalyptus lehmannii subsp. parallela,Eucalyptus lehmannii subsp. parallela,Eucalyptus lehmannii subsp. parallela,eucalyptus lehmannii subsp. parallela,,Subspecies,D.Nicolle,1130,"Twertup, WA",34,0,27,119,13,11,67,5,Dead,,,,,,,,,,,,1995
Eucalyptus leptocalyx subsp. leptocalyx,Eucalyptus leptocalyx subsp. leptocalyx,Eucalyptus leptocalyx subsp. leptocalyx,eucalyptus leptocalyx subsp. leptocalyx,,Subspecies,D.Nicolle,153,"Grass Patch, WA",33,9,34,121,26,47,17,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus leptocalyx subsp. petilipes,Eucalyptus leptocalyx subsp. petilipes,Eucalyptus leptocalyx subsp. petilipes,eucalyptus leptocalyx subsp. petilipes,,Subspecies,D.Nicolle,3616,"Mt Buraminya, WA",33,6,24,123,0,24,225,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus leptophleba,eucalyptus leptophleba,,Species ,D.Nicolle,1313,"Laura, Qld",15,38,59,144,31,38,93,16,Dead,,,,,,,,,,,,1996
Eucalyptus leptopoda subsp. arctata,Eucalyptus 'arctata' ms,Eucalyptus leptopoda,eucalyptus leptopoda,,Species ,D.Nicolle,276,"Mullewa, WA",28,31,26,115,37,17,22,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus leptopoda subsp. elevata,Eucalyptus leptopoda subsp. elevata,Eucalyptus leptopoda subsp. elevata,eucalyptus leptopoda subsp. elevata,,Subspecies,D.Nicolle,8,"Ilkurlka, WA",28,21,NA,127,31,,9,3,Alive,None evident,None evident,?,,,,,,None evident,,,1993
Eucalyptus leptopoda subsp. leptopoda,Eucalyptus leptopoda subsp. leptopoda,Eucalyptus leptopoda subsp. leptopoda,eucalyptus leptopoda subsp. leptopoda,,Subspecies,D.Nicolle,298,"Bonnie Rock, WA",30,31,25,118,18,4,14,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus leptopoda subsp. subluta,Eucalyptus leptopoda subsp. subluta,Eucalyptus leptopoda subsp. subluta,eucalyptus leptopoda subsp. subluta,,Subspecies,D.Nicolle,2776,"Menzies, WA",29,29,6,121,4,40,185,10,Alive,None evident,None evident,?,,,,,,None evident,,,2000
Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,eucalyptus lesouefii,,Species ,D.Nicolle,3633,"Fraser Range, WA",31,34,11,123,22,44,225,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus leucophloia subsp. ?,Eucalyptus leucophloia,Eucalyptus leucophloia,eucalyptus leucophloia,,Species ,,,Unknown origin,NA,NA,NA,NA,NA,,28,37,Alive,None evident,None evident,?,,,,,,None evident,,,1993
Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,eucalyptus leucophloia subsp. euroa,,Subspecies,D.Nicolle,1332,"Mt Isa, Qld",20,34,9,139,31,32,82,18,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Eucalyptus leucophloia subsp. leucophloia,Eucalyptus leucophloia subsp. leucophloia,Eucalyptus leucophloia subsp. leucophloia,eucalyptus leucophloia subsp. leucophloia,,Subspecies,D.Nicolle,539,"Newman, WA",23,27,3,119,46,45,41,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus leucophylla,Eucalyptus leucophylla,Eucalyptus leucophylla,eucalyptus leucophylla,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1331,"Mount Isa, Qld",20,33,29,139,32,1,87,14,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Eucalyptus leucophylla (E. tephrodes),Eucalyptus leucophylla,Eucalyptus tephrodes,eucalyptus tephrodes,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1194,"Newman, WA",22,41,27,118,42,17,73,23,Alive,None evident,None evident,?,,,,,,None evident,,,1995
Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon subsp. bellarinensis,Eucalyptus leucoxylon subsp. bellarinensis,eucalyptus leucoxylon subsp. bellarinensis,,Subspecies,D.Nicolle,460,"Torquay, Vic",38,23,NA,144,18,,56,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),Eucalyptus leucoxylon subsp. leucoxylon,Eucalyptus leucoxylon subsp. leucoxylon,eucalyptus leucoxylon subsp. leucoxylon,,Subspecies,D.Nicolle,2585,"Bacchus Marsh, Vic",37,39,42,144,21,51,190,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus leucoxylon subsp. megalocarpa,Eucalyptus leucoxylon subsp. megalocarpa,Eucalyptus leucoxylon subsp. megalocarpa,eucalyptus leucoxylon subsp. megalocarpa,,Subspecies,D.Nicolle,4310,"Nelson, Vic",38,3,27,141,0,43,261,12,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2004
Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,eucalyptus leucoxylon subsp. pruinosa,,Subspecies,D.Nicolle,1798,"Kingston SE, SA",36,49,35,139,55,13,145,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus leucoxylon subsp. stephaniae (weeping variant),Eucalyptus leucoxylon subsp. stephaniae,Eucalyptus leucoxylon subsp. stephaniae,eucalyptus leucoxylon subsp. stephaniae,,Subspecies,D.Nicolle,1958,"Nhill, Vic",36,24,NA,141,30,,153,33,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Eucalyptus ligulata subsp. ligulata,Eucalyptus ligulata subsp. ligulata,Eucalyptus ligulata subsp. ligulata,eucalyptus ligulata subsp. ligulata,,Subspecies,D.Nicolle,175,"Cape Le Grand, WA",33,58,34,122,7,33,21,27,Dead,,,,,,,,,,,,1993
Eucalyptus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica,eucalyptus ligulata subsp. stirlingica,,Subspecies,D.Nicolle,3560,"Mt Trio, WA",34,20,47,118,6,38,238,4,Alive,Dead,,,,,,,6 - 12 months,None evident,,,2001
Eucalyptus ligustrina,Eucalyptus ligustrina,Eucalyptus ligustrina,eucalyptus ligustrina,,Species ,D.Nicolle,624,"Kings Tableland, NSW",33,44,43,150,22,41,60,14,Dead,,,,,,,,,,,,1994
Eucalyptus lirata,Eucalyptus lirata,Eucalyptus lirata,eucalyptus lirata,,Species ,D.Nicolle,1917,"Mt Elizabeth Station, WA",16,28,42,126,12,11,133,35,Dead,,,,,,,,,,,,1997
Eucalyptus litorea,Eucalyptus litorea,Eucalyptus litorea,eucalyptus litorea,,Species ,D.Nicolle,1094,"Israelite Bay, WA",33,38,45,123,47,32,65,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus litorea (E. famelica),Eucalyptus litorea,Eucalyptus famelica,eucalyptus famelica,,Species ,D.Nicolle,199,"Hopetoun, WA",33,47,52,120,25,57,21,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus livida,Eucalyptus livida,Eucalyptus livida,eucalyptus livida,,Species ,D.Nicolle,318,"North Ironcap, WA",32,21,25,119,39,56,12,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus lockyeri,Eucalyptus lockyeri,Eucalyptus lockyeri,eucalyptus lockyeri,,Species ,D.Nicolle,1323,"Ravenshoe, Qld",17,35,19,145,27,53,93,3,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1996
Eucalyptus longicornis,Eucalyptus longicornis,Eucalyptus longicornis,eucalyptus longicornis,,Species ,D.Nicolle,2241,"Wagin, WA",33,5,36,117,14,24,168,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia,eucalyptus longifolia,,Species ,D.Nicolle,1750,"Eden, NSW",37,4,28,149,53,7,144,35,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus longirostrata,Eucalyptus longirostrata,Eucalyptus longirostrata,eucalyptus longirostrata,,Species ,D.Nicolle,2112,"Cracow, Qld",25,26,46,150,18,32,83,12,Alive,Moderate,Slight,?,Scattered,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998
Eucalyptus longissima,Eucalyptus longissima,Eucalyptus longissima,eucalyptus longissima,,Species ,D.Nicolle,1569,"Norseman 1, WA",32,9,4,121,44,9,88,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus loxophleba subsp. gratiae,Eucalyptus loxophleba subsp. gratiae,Eucalyptus loxophleba subsp. gratiae,eucalyptus loxophleba subsp. gratiae,,Subspecies,D.Nicolle,313,"Harris Nature Reserve, WA",32,48,21,118,47,7,27,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,eucalyptus loxophleba subsp. lissophloia,,Subspecies,D.Nicolle,139,"McPherson Rock, WA",32,27,14,121,41,30,17,5,Alive,None evident,None evident,?,,,,,,None evident,,,1993
Eucalyptus loxophleba subsp. loxophleba,Eucalyptus loxophleba subsp. loxophleba,Eucalyptus loxophleba subsp. loxophleba,eucalyptus loxophleba subsp. loxophleba,,Subspecies,D.Nicolle,239,"Tarin Rock, WA",33,2,35,118,6,20,26,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus loxophleba subsp. supralaevis,Eucalyptus loxophleba subsp. supralaevis,Eucalyptus loxophleba subsp. supralaevis,eucalyptus loxophleba subsp. supralaevis,,Subspecies,D.Nicolle,1165,"Dongara, WA",29,12,57,115,18,27,62,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus lucasii,Eucalyptus lucasii,Eucalyptus lucasii,eucalyptus lucasii,,Species ,D.Nicolle,4283,"Kumarina roadhouse, WA",24,38,17,119,36,33,200,25,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus lucens,Eucalyptus lucens,Eucalyptus lucens,eucalyptus lucens,,Species ,D.Nicolle,1353,"Mt Hermannsburg, NT",24,0,0,132,39,3,86,19,Dead,,,,,,,,,,,,1996
Eucalyptus luculenta,Eucalyptus luculenta,Eucalyptus luculenta,eucalyptus luculenta,,Species ,D.Nicolle,3618,"Mt Buraminya, WA",33,9,27,123,3,56,203,33,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana,eucalyptus luehmanniana,,Species ,D.Nicolle,2910,"Ku-Ring-Gai Chase, NSW",33,39,25,151,15,23,198,22,Dead,,,,,,,,,,,,2000
Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii,eucalyptus macarthurii,,Species ,D.Nicolle,2071,"Berrima, NSW",34,31,4,150,18,13,158,1,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus mackintii,Eucalyptus mackintii,Eucalyptus mackintii,eucalyptus mackintii,In Gbif appears as Eucalyptus mackintyi,Species ,D.Nicolle,1737,"Bruthen, Vic",37,42,37,147,59,7,141,14,Alive,Moderate,Severe,?,Extensive,Trunk + primary & secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997
Eucalyptus macrandra,Eucalyptus macrandra,Eucalyptus macrandra,eucalyptus macrandra,,Species ,D.Nicolle,1132,"Pallinup River, WA",34,24,21,118,43,48,70,6,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995
Eucalyptus macrocarpa subsp. elachantha,Eucalyptus macrocarpa subsp. elachantha,Eucalyptus macrocarpa subsp. elachantha,eucalyptus macrocarpa subsp. elachantha,,Subspecies,D.Nicolle,250,"Cataby, WA",30,46,18,115,33,52,16,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus macrocarpa subsp. macrocarpa,Eucalyptus macrocarpa subsp. macrocarpa,Eucalyptus macrocarpa subsp. macrocarpa,eucalyptus macrocarpa subsp. macrocarpa,,Subspecies,D.Nicolle,261,"Warradarge, WA",30,8,55,115,24,45,10,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus macrorhyncha subsp. cannonii,eucalyptus macrorhyncha subsp. cannonii,,Subspecies,D.Nicolle,779,"Capertee, NSW",33,3,28,149,55,24,57,7,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,eucalyptus macrorhyncha subsp. macrorhyncha,,Subspecies,D.Nicolle,737,"Grenfell, NSW",33,55,22,148,24,49,47,16,Alive,None evident,None evident,?,,,,,,None evident,,,1994
Eucalyptus macta,Eucalyptus macta,Eucalyptus resinifera subsp. resinifera,eucalyptus resinifera subsp. resinifera,,Subspecies,D.Nicolle,1301,"Paluma, Qld",19,1,3,146,6,50,95,13,Alive,Moderate,Severe,?,Moderate,Primary & tertiary branches,3 - 6 months,Moderate,,Severe,Flowered,Flowered,1996
Eucalyptus magnificata ,Eucalyptus magnificata,Eucalyptus magnificata,eucalyptus magnificata,,Species ,D.Nicolle,2945,"Enmore, NSW",30,43,9,151,43,20,192,23,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,2000
Eucalyptus maidenii,Eucalyptus maidenii,Eucalyptus globulus subsp. maidenii,eucalyptus globulus subsp. maidenii,,Subspecies,D.Nicolle,1764,"Araluen, NSW",35,34,21,149,48,35,144,2,Alive,Slight,Moderate,?,Scattered,Primary branches,3 - 6 months,None evident,,Moderate,,,1997
Eucalyptus major,Eucalyptus major,Eucalyptus major,eucalyptus major,,Species ,D.Nicolle,2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,9,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998
Eucalyptus malacoxylon,Eucalyptus malacoxylon,Eucalyptus malacoxylon,eucalyptus malacoxylon,,Species,D.Nicolle,1368,"Moonbi, NSW",30,56,NA,151,8,,92,3,Alive,Dead,,,,,,,3 - 6 months,Moderate,,,1996
Eucalyptus mannensis subsp. mannensis,Eucalyptus mannensis subsp. mannensis,Eucalyptus mannensis subsp. mannensis,eucalyptus mannensis subsp. mannensis,,Subspecies,D.Nicolle,6941,"Mulga Rockhole, WA",30,3,32,123,4,23,346,1,Alive,None evident,None evident,?,,,,,,Not applicable,Budded,,2017
Eucalyptus mannensis subsp. vespertina,Eucalyptus mannensis subsp. vespertina,Eucalyptus mannensis subsp. vespertina,eucalyptus mannensis subsp. vespertina,,Subspecies,D.Nicolle,1171,"Shark Bay, WA",27,21,13,114,37,49,62,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus mannifera (subsp. gullickii),Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii,eucalyptus mannifera subsp. gullickii,,Subspecies,D.Nicolle,609,"Nerriga, NSW",35,4,17,150,10,44,55,5,Alive,Moderate,Moderate,?,None evident,,,,,Severe,Flowered,Flowered,1994
Eucalyptus mannifera subsp. 'alpine Victoria',Eucalyptus mannifera subsp. Alpine Victoria,Eucalyptus mannifera,eucalyptus mannifera,,Species ,D.Nicolle,2066,"Beechworth, Vic",36,24,36,146,41,40,152,14,Dead,Dead,,,,,,,3 - 4 years,None evident,,,1998
Eucalyptus marginata subsp. marginata,Eucalyptus marginata subsp. marginata,Eucalyptus marginata,eucalyptus marginata,,Species ,D.Nicolle,1144,"Manjimup, WA",34,11,34,115,34,38,72,23,Dead,,,,,,,,,,,,1995
Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus mckieana,eucalyptus mckieana,,Species ,D.Nicolle,659,"Tingha, NSW",29,59,0,151,27,42,58,3,Alive,None evident,Slight,?,Extensive,"Primary, secondary & tertiary branches",3 - 6 months,None evident,,None evident,,,1994
Eucalyptus mcquoidii,Eucalyptus mcquoidii,Eucalyptus mcquoidii,eucalyptus mcquoidii,,Species ,D.Nicolle,3569,"Quoin Head, WA",33,59,11,119,49,3,220,18,Alive,Slight,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus mediocris,Eucalyptus mediocris,Eucalyptus mediocris,eucalyptus mediocris,,Species ,D.Nicolle,2115,"Carnarvon Range, Qld",25,11,59,147,56,10,161,9,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Eucalyptus megacarpa,Eucalyptus megacarpa,Eucalyptus megacarpa,eucalyptus megacarpa,,Species ,D.Nicolle,1137,"Two Peoples Bay, WA",34,55,6,118,11,13,70,39,Alive,Dead,,,,,,,3 - 6 months,Severe,Flowered,Flowered,1995
Eucalyptus megacornuta,Eucalyptus megacornuta,Eucalyptus megacornuta,eucalyptus megacornuta,,Species ,D.Nicolle,1121,"Ravensthorpe Range, WA",33,30,43,120,2,20,72,4,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus melanoleuca,Eucalyptus melanoleuca,Eucalyptus melanoleuca,eucalyptus melanoleuca,,Species ,D.Nicolle,2111,"Yarraman, Qld",26,47,12,151,57,27,151,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Eucalyptus melanophitra,Eucalyptus melanophitra,Eucalyptus melanophitra,eucalyptus melanophitra,,Species ,D.Nicolle,211,"Pallinup River, WA",34,20,2,118,40,13,15,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus melanophloia subsp. melanophloia,Eucalyptus melanophloia subsp. melanophloia,Eucalyptus melanophloia subsp. melanophloia,eucalyptus melanophloia subsp. melanophloia,,Subspecies,D.Nicolle,1285,"Jericho, Qld",23,33,36,145,43,6,92,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,eucalyptus melanophloia subsp. nana,,Subspecies,D.Nicolle,1330,"Mount Isa 1, Qld",20,52,48,139,27,11,87,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus melanoxylon,Eucalyptus melanoxylon,Eucalyptus melanoxylon,eucalyptus melanoxylon,,Species,D.Nicolle,143,"Lake Gilmore, WA",32,40,16,121,32,23,11,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora,eucalyptus melliodora,,Species ,D.Nicolle,777,"Rylstone, NSW",32,42,44,149,57,58,48,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus merrickiae,Eucalyptus merrickiae,Eucalyptus merrickiae,eucalyptus merrickiae,,Species ,D.Nicolle,156,"Truslove, WA",33,20,22,121,45,38,16,24,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus michaeliana,Eucalyptus michaeliana,Eucalyptus michaeliana,eucalyptus michaeliana,,Species ,D.Nicolle,650,"Hillgrove, NSW",30,35,27,151,57,19,61,3,Alive,Moderate,Slight,?,None evident,,,,,Moderate,Flowered,Flowered,1994
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,eucalyptus micranthera,,Species ,D.Nicolle,1090,"Mt Ragged, WA",33,27,48,123,26,45,64,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,eucalyptus microcarpa,,Species ,D.Nicolle,1220,"West Wyalong, NSW",33,54,13,147,18,4,88,38,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus microcarpa - E. wimmerensis intergrade (E. hawkeri),Eucalyptus × hawkeri,Eucalyptus hawkeri,eucalyptus hawkeri,,Species,D.Nicolle,6916,"Mt Arapiles, Vic",36,45,47,141,48,23,342,12,Alive,None evident,None evident,?,,,,,,Not applicable,,,2017
Eucalyptus microcodon,Eucalyptus microcodon,Eucalyptus codonocarpa,eucalyptus codonocarpa,,Species ,D.Nicolle,5010,"Binna Burra, Qld",28,14,NA,153,18,,306,13,Alive,Dead,,,,,,,6 - 12 months,Not applicable,Flowered,Flowered,2010
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,94,5,Alive,Moderate,Severe,?,Moderate,Basal + trunk + primary & secondary branches,3 - 6 months,Moderate,,None evident,Flowered,Flowered,1996
Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,eucalyptus microneura,,Species ,D.Nicolle,1326,"Forsayth, Qld",18,35,10,143,36,14,91,9,Dead,,,,,,,,,,,,1996
Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca,eucalyptus microtheca,,Species ,D.Nicolle,1338,"Newcastle Creek, NT",17,15,35,133,27,15,87,32,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Eucalyptus mimica subsp. continens,Eucalyptus mimica subsp. continens,Eucalyptus mimica subsp. continens,eucalyptus mimica subsp. continens,,Subspecies,D.Nicolle,1114,"Newdegate, WA",33,17,7,119,1,23,70,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus mimica subsp. mimica,Eucalyptus mimica subsp. mimica,Eucalyptus mimica subsp. mimica,eucalyptus mimica subsp. mimica,,Subspecies,D.Nicolle,188,"Newdegate, WA",33,12,4,119,13,23,18,16,Dead,,,,,,,,,,,,1993
Eucalyptus minniritchi,Eucalyptus minniritchi,Eucalyptus minniritchi,eucalyptus minniritchi,,Species ,D.Nicolle,1354,"Mt Hermannsburg, NT",24,0,0,132,39,3,86,22,Dead,,,,,,,,,,,,1996
Eucalyptus misella,Eucalyptus misella,Eucalyptus misella,eucalyptus misella,,Species ,D.Nicolle,147,"Lort River, WA",33,6,54,121,11,41,24,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus mitchelliana,Eucalyptus mitchelliana,Eucalyptus mitchelliana,eucalyptus mitchelliana,,Species ,D.Nicolle,574,"Mt Buffalo, Vic",36,43,21,146,48,55,56,35,Dead,,,,,,,,,,,,1994
Eucalyptus moderata,Eucalyptus moderata,Eucalyptus moderata,eucalyptus moderata,,Species ,D.Nicolle,1563,"Diemals, WA",29,35,46,118,43,16,88,19,Dead,,,,,,,,,,,,1996
Eucalyptus moluccana (northern variant),Eucalyptus moluccana,Eucalyptus moluccana,eucalyptus moluccana,,Species ,D.Nicolle,2506,"Mt Garnet, Qld",17,43,39,145,2,51,166,3,Alive,Moderate,Moderate,?,Moderate,"Primary, secondary & tertiary branches",3 - 6 months,None evident,,None evident,Flowered,Flowered,1999
Eucalyptus molyneuxii,Eucalyptus molyneuxii,Eucalyptus molyneuxii,eucalyptus molyneuxii,,Species,D.Nicolle,2873,"Little Desert 1, Vic",36,34,26,141,29,7,187,20,Dead,,,,,,,,,,,,2000
Eucalyptus moorei subsp. moorei (E. dissita),Eucalyptus moorei subsp. moorei,Eucalyptus moorei subsp. moorei,eucalyptus moorei subsp. moorei,,Subspecies,D.Nicolle,2095,"Gibraltar Range Nat. Park, NSW",29,32,21,152,18,33,155,25,Dead,,,,,,,,,,,,1998
Eucalyptus moorei subsp. serpentinicola,Eucalyptus moorei subsp. serpentinicola,Eucalyptus moorei subsp. serpentinicola,eucalyptus moorei subsp. serpentinicola,,Subspecies,D.Nicolle,1233,"Curricabark, NSW",31,42,24,151,37,47,91,20,Alive,Dead,,,,,,,1 - 2 years,None evident,,,1996
Eucalyptus morrisbyi,Eucalyptus morrisbyi,Eucalyptus morrisbyi,eucalyptus morrisbyi,,Species ,D.Nicolle,1983,"Cremorne 1, Tas",42,57,10,147,30,26,154,1,Dead,,,,,,,,,Died in 2006,,,1998
Eucalyptus morrisii,Eucalyptus morrisii,Eucalyptus morrisii,eucalyptus morrisii,,Species ,D.Nicolle,6499,"Gunderbooka Range, NSW",30,38,22,145,46,0,245,5,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013
Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,eucalyptus muelleriana,,Species ,D.Nicolle,1753,"Bodalla, NSW",36,3,58,149,59,3,142,28,Alive,Dead,,,,,,,1 - 2 years,Moderate,,,1997
Eucalyptus multicaulis,Eucalyptus multicaulis,Eucalyptus multicaulis,eucalyptus multicaulis,,Species ,D.Nicolle,2914,"Goose Lookout, NSW",33,39,54,150,32,57,195,21,Dead,,,,,,,,,,,,2000
Eucalyptus myriadena,Eucalyptus myriadena,Eucalyptus myriadena,eucalyptus myriadena,,Species ,D.Nicolle,316,"Hyden, WA",32,27,0,118,52,2,10,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
