,TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Lat,Long,Row,Tree,Row.Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,DroughtImpact_20192020,DroughtImpact_20192020_shift,affected_tree_bin,number_rep_total_per_UniqueID,number_rep_2020_alive_per_UniqueID,percentage_affected,.groups
27,Corymbia haematoxylon,Corymbia haematoxylon,Corymbia haematoxylon,,Species ,D.Nicolle,1079,"Busselton, WA",33,42,58,115,31,34,33.71611111,115.5261111,72,32,R072/T32,Alive,Severe,Severe,?,Scattered,Trunk only,3 - 6 months,None evident,6 - 12 months,None evident,Flowered,Flowered,1995,3,4,1,3,3,0,drop
28,Corymbia haematoxylon,Corymbia haematoxylon,Corymbia haematoxylon,,Species ,D.Nicolle,1081,"Busselton, WA",33,42,58,115,31,34,33.71611111,115.5261111,72,31,R072/T31,Alive,Severe,Severe,?,Very scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Severe,Flowered,Flowered,1995,3,4,1,3,3,0,drop
29,Corymbia haematoxylon,Corymbia haematoxylon,Corymbia haematoxylon,,Species ,D.Nicolle,1081,"Busselton, WA",33,42,58,115,31,34,33.71611111,115.5261111,72,33,R072/T33,Alive,Slight,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1995,2,3,1,3,3,0,drop
30,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda,,Species ,D.Nicolle,1081,"Bold Park, WA",31,56,31,115,46,47,31.94194444,115.7797222,62,27,R062/T27,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995,1,2,1,4,3,0,drop
31,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda,,Species ,D.Nicolle,1087,"Bold Park, WA",31,56,31,115,46,47,31.94194444,115.7797222,62,25,R062/T25,Alive,Slight,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1995,2,3,1,4,3,NA,drop
32,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda,,Species ,D.Nicolle,1087,"Bold Park, WA",31,56,31,115,46,47,31.94194444,115.7797222,62,26,R062/T26,Alive,Slight,Slight,?,Moderate,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1995,1,2,1,4,3,NA,drop
33,Eucalyptus decipiens,Eucalyptus decipiens,Eucalyptus decipiens,,Species ,D.Nicolle,1087,"Perth, WA",31,57,30,115,46,30,31.95833333,115.775,73,11,R073/T11,Alive,Severe,Severe,?,Scattered,Basal + primary branches,3 - 6 months,None evident,6 - 12 months,None evident,Flowered,Flowered,1995,3,4,1,4,3,NA,drop
34,Eucalyptus decipiens,Eucalyptus decipiens,Eucalyptus decipiens,,Species ,D.Nicolle,1087,"Perth, WA",31,57,30,115,46,30,31.95833333,115.775,73,12,R073/T12,Alive,Severe,Severe,?,Moderate,Basal + tertiary branches,3 - 6 months,None evident,,Severe,,,1995,3,4,1,4,3,NA,drop
35,Eucalyptus decipiens,Eucalyptus decipiens,Eucalyptus decipiens,,Species ,D.Nicolle,1089,"Perth, WA",31,57,30,115,46,30,31.95833333,115.775,73,10,R073/T10,Alive,Severe,Severe,?,Very scattered,Tertiary branches,3 - 6 months,None evident,,Severe,,,1995,3,4,1,4,3,NA,drop
36,Eucalyptus absita,Eucalyptus absita,Eucalyptus absita,,Species ,D.Nicolle,1089,"Badgingarra, WA",30,26,13,115,34,32,30.43694444,115.5755556,68,10,R068/T10,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995,1,2,1,4,2,NA,drop
