thornhill_bionomial_tip_match,drought.incidence
eucalyptus kingsmillii,NA
eucalyptus kitsoniana,3.571428571
eucalyptus kochii,0
eucalyptus kondininensis,0
eucalyptus koolpinensis,0
eucalyptus kruseana,0
eucalyptus kumarlensis,0
eucalyptus kybeanensis,NA
eucalyptus lacrimans,NA
eucalyptus laeliae,0
eucalyptus laevopinea,0.5
eucalyptus lanepoolei,NA
eucalyptus langleyi,NA
eucalyptus lansdowneana,0
eucalyptus largeana,0.666666667
eucalyptus largiflorens,NA
eucalyptus latens,0
eucalyptus laterica,NA
eucalyptus latisinensis,0
eucalyptus lehmannii,NA
eucalyptus leptocalyx,NA
eucalyptus leptophleba,0
eucalyptus leptophylla,0
eucalyptus leptopoda,0
eucalyptus lesouefii,0
eucalyptus leucophloia,NA
eucalyptus leucoxylon,0.3
eucalyptus ligulata,3.4
eucalyptus ligustrina,2
eucalyptus limitaris,0
eucalyptus lirata,0
eucalyptus litorea,0
eucalyptus livida,0
eucalyptus lockyeri,0.230769231
eucalyptus longicornis,0
eucalyptus longifolia,0.8
eucalyptus longirostrata,1
eucalyptus loxophleba,0.045454545
eucalyptus lucasii,0
eucalyptus lucens,0
eucalyptus luculenta,0
eucalyptus luehmanniana,NA
eucalyptus macarthurii,NA
eucalyptus mackintii,2.5
eucalyptus macrandra,0.727272727
eucalyptus macrocarpa,0
eucalyptus macrorhyncha,0.2
eucalyptus magnificata,1
eucalyptus major,1
eucalyptus malacoxylon,2.25
eucalyptus mannensis,0
eucalyptus mannifera,1.307692308
eucalyptus marginata,NA
eucalyptus mckieana,NA
eucalyptus mcquoidii,0.7
eucalyptus megacarpa,3
eucalyptus megacornuta,0
eucalyptus melanoleuca,0.6
eucalyptus melanophitra,0
eucalyptus melanophloia,0.068965517
eucalyptus melanoxylon,0
eucalyptus melliodora,0.5
eucalyptus merrickiae,0
eucalyptus michaeliana,1
eucalyptus micranthera,0
eucalyptus microcarpa,0.294117647
eucalyptus microcorys,2.666666667
eucalyptus microneura,0
eucalyptus microtheca,0
eucalyptus mimica,0
eucalyptus miniata,NA
eucalyptus minniritchi,0
eucalyptus misella,0
eucalyptus mitchelliana,2
eucalyptus moderata,NA
eucalyptus moluccana,0.5
eucalyptus mooreana,0
eucalyptus moorei,NA
eucalyptus morrisbyi,0
eucalyptus morrisii,0
eucalyptus muelleriana,4
eucalyptus multicaulis,NA
eucalyptus myriadena,0
eucalyptus nanderwarica,0
eucalyptus neglecta,2.666666667
eucalyptus nerthicola,0
eucalyptus neutra,0
eucalyptus newbeyi,0
eucalyptus nicholii,1.5
eucalyptus nitens,4
eucalyptus nitida,2.444444444
eucalyptus nobilis,NA
eucalyptus normantonensis,0
eucalyptus nortonii,1.25
eucalyptus nova-anglica,4
eucalyptus nudicaulis,0.181818182
eucalyptus nutans,NA
eucalyptus obconica,0
eucalyptus obesa,0.222222222
eucalyptus obliqua,NA
eucalyptus oblonga,1
eucalyptus obtusiflora,0
eucalyptus occidentalis,0.25
eucalyptus ochrophloia,0
eucalyptus odontocarpa,0
eucalyptus oldfieldii,NA
eucalyptus oleosa,0
eucalyptus olida,4
eucalyptus oligantha,0
eucalyptus oliviana,0
eucalyptus olivina,NA
eucalyptus olsenii,NA
eucalyptus ophitica,0
eucalyptus optima,0
eucalyptus oraria,0
eucalyptus orbifolia,NA
eucalyptus oreades,NA
eucalyptus orgadophila,0.25
eucalyptus ornata,0
eucalyptus orthostemon,0
eucalyptus ovata,1.714285714
eucalyptus ovularis,0
eucalyptus oxymitra,0
eucalyptus pachycalyx,1.25
eucalyptus pachyloma,NA
eucalyptus pachyphylla,NA
eucalyptus paedoglauca,0.25
eucalyptus paliformis,NA
eucalyptus paludicola,NA
eucalyptus panda,0.125
eucalyptus paniculata,0.578947368
eucalyptus parramattensis,1.818181818
eucalyptus parvula,2.75
eucalyptus patellaris,0
eucalyptus patens,NA
eucalyptus pauciflora,NA
eucalyptus pellita,NA
eucalyptus pendens,1
eucalyptus perangusta,NA
eucalyptus percostata,0
eucalyptus perriniana,0.8
eucalyptus persistens,0
eucalyptus petiolaris,0.666666667
eucalyptus petraea,0
eucalyptus petrensis,NA
eucalyptus phaenophylla,0.181818182
eucalyptus phenax,0
eucalyptus phoenicea,NA
eucalyptus pilbarensis,0
eucalyptus pileata,NA
eucalyptus pilligaensis,0
eucalyptus pilularis,4
eucalyptus pimpiniana,0
eucalyptus piperita,NA
eucalyptus planchoniana,2
eucalyptus platycorys,0
eucalyptus platydisca,0.8
eucalyptus platyphylla,NA
eucalyptus pleurocarpa,2.25
eucalyptus pluricaulis,0
eucalyptus polita,0
eucalyptus polyanthemos,0.55
eucalyptus polybractea,0.166666667
eucalyptus populnea,0.2
eucalyptus porosa,0
eucalyptus praetermissa,0.5
