"","Taxon","name","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"120","Eucalyptus uncinata subsp. uncinata","eucalyptus uncinata subsp. uncinata","eucalyptus uncinata","eucalyptus","uncinata","uncinata","eucalyptus uncinata subsp. uncinata","Accepted","","Turcz.","Currency Creek s.n.","KT632027","KT631381","KT633181","KT632588"
"121","Eucalyptus urophylla","eucalyptus urophylla","eucalyptus urophylla","eucalyptus","urophylla",NA,"eucalyptus urophylla","Accepted","","S.T.Blake","CANB 180346**","","AF390489","KT633183","KT632590"
"122","Eucalyptus websteriana subsp. websteriana","eucalyptus websteriana subsp. websteriana","eucalyptus websteriana","eucalyptus","websteriana","websteriana","eucalyptus websteriana subsp. websteriana","Accepted","","Maiden","Waite Arboretum 1833B","KT632043","","KT633198","KT632604"
"123","Eucalyptus wetarensis","eucalyptus wetarensis","eucalyptus wetarensis","eucalyptus","wetarensis",NA,"eucalyptus wetarensis","Accepted","","L.D.Pryor","GenBank","","AY039752","",""
"124","Eucalyptus willisii subsp. willisii","eucalyptus willisii subsp. willisii","eucalyptus willisii","eucalyptus","willisii","willisii","eucalyptus willisii subsp. willisii","Accepted","","Ladiges, Humphries & Brooker","CANB 468525**","KT632047","AF058499","KT633202","KT632607"
"125","Eucalyptus xanthonema subsp. xanthonema","eucalyptus xanthonema subsp. xanthonema","eucalyptus xanthonema","eucalyptus","xanthonema","xanthonema","eucalyptus xanthonema subsp. xanthonema","Accepted","","Turcz.","CANB 794264**","KT632051","KT631399","KT633205","KT632610"
"126","Eucalyptus yangoura","eucalyptus yangoura","eucalyptus yangoura","eucalyptus","yangoura",NA,"eucalyptus yangoura","Synonym","Eucalyptus globoidea","Blakely","Waite Arboretum 2389","KT632053","KT631402","KT633207","KT632613"
"127","Heteropyxis natalensis","heteropyxis natalensis","heteropyxis natalensis","heteropyxis","natalensis",NA,"heteropyxis natalensis","Accepted","","Harv.","GenBank","","AF283676","AF368208",""
"128","Hypocalymma linifolium","hypocalymma linifolium","hypocalymma linifolium","hypocalymma","linifolium",NA,"hypocalymma linifolium","Synonym","Hypocalymma tetrapterum","Turcz.","GenBank","","","AF489379",""
"129","Kjellbergiodendron celebicum","kjellbergiodendron celebicum","kjellbergiodendron celebicum","kjellbergiodendron","celebicum",NA,"kjellbergiodendron celebicum","Accepted","","(Koord.) Merr.","GenBank","","HM160110, HM160109","AF368209",""
"130","Kunzea ericoides","kunzea ericoides","kunzea ericoides","kunzea","ericoides",NA,"kunzea ericoides","Accepted","","(A.Rich.) Joy Thomps.","GenBank","EU815435","DQ499113","AF184724",""
"131","Lophostemon confertus","lophostemon confertus","lophostemon confertus","lophostemon","confertus",NA,"lophostemon confertus","Accepted","","(R.Br.) Peter G.Wilson &","GenBank","AM489925","AF390444","AM489994","AF190368"
"132","Lophostemon suaveolens","lophostemon suaveolens","lophostemon suaveolens","lophostemon","suaveolens",NA,"lophostemon suaveolens","Accepted","","(Sol. ex Gaertn.) Peter G.Wilson","CANB 750277**","KT632060","KT631409","KT633214","KT632618"
"133","Myrtus communis","myrtus communis","myrtus communis","myrtus","communis",NA,"myrtus communis","Accepted","","L.","GenBank","AM489955","AM234149","AY525136",""
"134","Stockwellia quadrifida","stockwellia quadrifida","stockwellia quadrifida","stockwellia","quadrifida",NA,"stockwellia quadrifida","Accepted","","D.J.Carr, S.G.M.Carr & B.Hyland","GenBank","DQ352539","AF058452","AY525138",""
"135","Syncarpia glomulifera","syncarpia glomulifera","syncarpia glomulifera","syncarpia","glomulifera",NA,"syncarpia glomulifera","Accepted","","(Sm.) Nied.","Boodooree Botanic Garden s.n.","KT632061","HM160117","AF368220","KT632619"
"136","Syncarpia hillii","syncarpia hillii","syncarpia hillii","syncarpia","hillii",NA,"syncarpia hillii","Accepted","","F.M.Bailey","ANBG 612122","KT632062","KT631410","KT633215","KT632620"
"137","Syzygium angophoroides","syzygium angophoroides","syzygium angophoroides","syzygium","angophoroides",NA,"syzygium angophoroides","Accepted","","(F.Muell.) B.Hyland","GenBank","AY187106","AY187172","DQ088557",""
"138","Tepualia stipularis","tepualia stipularis","tepualia stipularis","tepualia","stipularis",NA,"tepualia stipularis","Accepted","","(Hook. & Arn.) Griseb.","GenBank","AM489969","AM234071","AF368222","AM489884"
