"","Taxon","name","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"67","Eucalyptus densa subsp. densa","eucalyptus densa subsp. densa","eucalyptus densa","eucalyptus","densa","densa","eucalyptus densa subsp. densa","Accepted","","Brooker & Hopper","Currency Creek 1111","KT631640","KT631058","",""
"68","Eucalyptus disclusa","eucalyptus disclusa","eucalyptus disclusa","eucalyptus","disclusa",NA,"eucalyptus disclusa","Accepted","","L.A.S.Johnson & Blaxell","Currency Creek 707","KT631648","KT631065","KT632831","KT632260"
"69","Eucalyptus dolorosa","eucalyptus dolorosa","eucalyptus dolorosa","eucalyptus","dolorosa",NA,"eucalyptus dolorosa","Accepted","","Brooker & Hopper","ANBG 610751","KT631657","KT631072","KT632839","KT632268"
"70","Eucalyptus dorotoxylon","eucalyptus dorotoxylon","eucalyptus dorotoxylon","eucalyptus","dorotoxylon",NA,"eucalyptus dorotoxylon","Accepted","","F.Muell.","Currency Creek 178","KT631658","KT631073","KT632840","KT632269"
"71","Eucalyptus drummondii subsp. drummondii","eucalyptus drummondii subsp. drummondii","eucalyptus drummondii","eucalyptus","drummondii","drummondii","eucalyptus drummondii subsp. drummondii","Accepted","","Benth.","Currency Creek 1156","KT631659","KT631074","KT632841","KT632270"
"72","Eucalyptus eudesmioides subsp. eudesmioides","eucalyptus eudesmioides subsp. eudesmioides","eucalyptus eudesmioides","eucalyptus","eudesmioides","eudesmioides","eucalyptus eudesmioides subsp. eudesmioides","Accepted","","F.Muell.","CANB 794073**","KT631675","KT631088","KT632858","KT632283"
"73","Eucalyptus fergusonii subsp. fergusonii","eucalyptus fergusonii subsp. fergusonii","eucalyptus fergusonii","eucalyptus","fergusonii","fergusonii","eucalyptus fergusonii subsp. fergusonii","Accepted","","R.T.Baker","Currency Creek 2918","KT631686","KT631096","KT632868","KT632294"
"74","Eucalyptus fibrosa subsp. fibrosa","eucalyptus fibrosa subsp. fibrosa","eucalyptus fibrosa","eucalyptus","fibrosa","fibrosa","eucalyptus fibrosa subsp. fibrosa","Accepted","","F.Muell.","Currency Creek 666","KT631687","KT631097","KT632869","KT632295"
"75","Eucalyptus globulus subsp. globulus","eucalyptus globulus subsp. globulus","eucalyptus globulus","eucalyptus","globulus","globulus","eucalyptus globulus subsp. globulus","Accepted","","Labill.","ANBG 85001816","KT631709","AF058463","KT632890",""
"76","Eucalyptus goniocalyx subsp. goniocalyx","eucalyptus goniocalyx subsp. goniocalyx","eucalyptus goniocalyx","eucalyptus","goniocalyx","goniocalyx","eucalyptus goniocalyx subsp. goniocalyx","Accepted","","F.Muell. ex Miq.","Currency Creek 2952","KT631714","KT631121","KT632894","KT632322"
"77","Eucalyptus gregoriensis","eucalyptus gregoriensis","eucalyptus gregoriensis","eucalyptus","gregoriensis",NA,"eucalyptus gregoriensis","Accepted","","N.G.Walsh & Albr.","Currency Creek 2447","KT631717","","KT632898","KT632326"
"78","Eucalyptus gunnii","eucalyptus gunnii","eucalyptus gunnii","eucalyptus","gunnii",NA,"eucalyptus gunnii","Accepted","","Hook.f.","ANBG 656505","KT631723","KT631130","KT632904",""
"79","Eucalyptus ignorabilis","eucalyptus ignorabilis","eucalyptus ignorabilis","eucalyptus","ignorabilis",NA,"eucalyptus ignorabilis","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1746","KT631734","KT631140","KT632914","KT632340"
"80","Eucalyptus imlayensis","eucalyptus imlayensis","eucalyptus imlayensis","eucalyptus","imlayensis",NA,"eucalyptus imlayensis","Accepted","","Crisp & Brooker","ANBG 782689","KT631735","KT631141","KT632915",""
"81","Eucalyptus impensa","eucalyptus impensa","eucalyptus impensa","eucalyptus","impensa",NA,"eucalyptus impensa","Accepted","","Brooker & Hopper","Currency Creek 264","KT631736","KT631142","KT632916","KT632341"
"82","Eucalyptus insularis","eucalyptus insularis","eucalyptus insularis","eucalyptus","insularis",NA,"eucalyptus insularis","Accepted","","Brooker","Currency Creek 1637","KT631741","KT631146","KT632921","KT632346"
"83","Eucalyptus kingsmillii subsp. kingsmillii","eucalyptus kingsmillii subsp. kingsmillii","eucalyptus kingsmillii","eucalyptus","kingsmillii","kingsmillii","eucalyptus kingsmillii subsp. kingsmillii","Accepted","","(Maiden) Maiden & Blakely","Mt Annan 866008","KT631751","KT631155","KT632930","KT632355"
"84","Eucalyptus lanepoolei","eucalyptus lanepoolei","eucalyptus lanepoolei","eucalyptus","lanepoolei",NA,"eucalyptus lanepoolei","Accepted","","Maiden","Currency Creek 3514","KT631761","KT631163","KT632938","KT632362"
"85","Eucalyptus lateritica","eucalyptus lateritica","eucalyptus lateritica","eucalyptus","lateritica",NA,"eucalyptus lateritica","Accepted","","Brooker & Hopper","CANB 794197**","KT631766","KT631168","KT632943","KT632367"
"86","Eucalyptus limitaris","eucalyptus limitaris","eucalyptus limitaris","eucalyptus","limitaris",NA,"eucalyptus limitaris","Accepted","","L.A.S.Johnson & K.D.Hill","CANB 785552**","KT631778","KT631177","KT632951","KT632378"
"87","Eucalyptus macrocarpa","eucalyptus macrocarpa","eucalyptus macrocarpa","eucalyptus","macrocarpa",NA,"eucalyptus macrocarpa","Accepted","","Hook.","Currency Creek 3428","KT631791","KT631190","KT632964","KT632390"
"88","Eucalyptus mannifera subsp. mannifera","eucalyptus mannifera subsp. mannifera","eucalyptus mannifera","eucalyptus","mannifera","mannifera","eucalyptus mannifera subsp. mannifera","Accepted","","Mudie","Currency Creek 2066","KT631797","KT631196","KT632970",""
"89","Eucalyptus marginata subsp. marginata","eucalyptus marginata subsp. marginata","eucalyptus marginata","eucalyptus","marginata","marginata","eucalyptus marginata subsp. marginata","Accepted","","Donn ex Sm.","CANB 794234**","FJ494752","AF390530","KT632971","KT632395"
"90","Eucalyptus medialis","eucalyptus medialis","eucalyptus medialis","eucalyptus","medialis",NA,"eucalyptus medialis","Accepted","","Brooker & Hopper","Waite Arboretum 2471","KT631800","KT631199","KT632973","KT632398"
"91","Eucalyptus microschema","eucalyptus microschema","eucalyptus microschema","eucalyptus","microschema",NA,"eucalyptus microschema","Accepted","","Brooker & Hopper","CANB 635056**","","","KT632984",""
"92","Eucalyptus minigwalica","eucalyptus minigwalica","eucalyptus minigwalica","eucalyptus","minigwalica",NA,"eucalyptus minigwalica","MS","","D.Nicolle","Currency Creek 522","KT631816","KT631211","KT632988","KT632410"
"93","Eucalyptus mooreana","eucalyptus mooreana","eucalyptus mooreana","eucalyptus","mooreana",NA,"eucalyptus mooreana","Accepted","","Maiden","CANB 750218**","","KT631216","",""
"94","Eucalyptus nanderwarica","eucalyptus nanderwarica","eucalyptus nanderwarica","eucalyptus","nanderwarica",NA,"eucalyptus nanderwarica","Accepted","","L.A.S.Johnson & K.D.Hill","ANBG 9707924","KT631828","KT631222","KT633000","KT632421"
"95","Eucalyptus nerthicola","eucalyptus nerthicola","eucalyptus nerthicola","eucalyptus","nerthicola",NA,"eucalyptus nerthicola","Accepted","","D.Nicolle","Currency Creek 3608","KT631830","KT631224","KT633002","KT632422"
"96","Eucalyptus oblonga","eucalyptus oblonga","eucalyptus oblonga","eucalyptus","oblonga",NA,"eucalyptus oblonga","Accepted","","A.Cunn. ex DC.","Currency Creek 622","","","","KT632430"
