"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"345","Eucalyptus baueriana","eucalyptus baueriana","Eucalyptus baueriana","Eucalyptus baueriana","eucalyptus baueriana","","Species ","D.Nicolle","1734","Metung, Vic",37,52,40,147,51,"15",142,32,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R142/T32","Eucalyptus baueriana","eucalyptus baueriana","eucalyptus","baueriana",NA,"eucalyptus baueriana","Accepted","","Schauer","Currency Creek 1734","KT631535","KT630973","KT632727","KT632164"
"346","Eucalyptus pseudoglobulus","eucalyptus pseudoglobulus","Eucalyptus pseudoglobulus","Eucalyptus globulus subsp. pseudoglobulus","eucalyptus globulus subsp. pseudoglobulus","","Subspecies","D.Nicolle","1735","Metung, Vic",37,52,40,147,51,"15",144,21,"Alive","Dead","","","","","","","2 - 3 years","None evident","","",1997,"R144/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Eucalyptus tereticornis subsp. mediana","eucalyptus tereticornis subsp. mediana","Eucalyptus tereticornis subsp. mediana","Eucalyptus tereticornis subsp. mediana","eucalyptus tereticornis subsp. mediana","","Subspecies","D.Nicolle","1736","Metung, Vic",37,50,40,147,51,"8",144,28,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R144/T28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Eucalyptus mackintii","eucalyptus mackintii","Eucalyptus mackintii","Eucalyptus mackintii","eucalyptus mackintii","In Gbif appears as Eucalyptus mackintyi","Species ","D.Nicolle","1737","Bruthen, Vic",37,42,37,147,59,"7",141,14,"Alive","Moderate","Severe","?","Extensive","Trunk + primary & secondary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"R141/T14","Eucalyptus mackintii","eucalyptus mackintii","eucalyptus","mackintii",NA,"eucalyptus mackintii","Accepted","","Kottek","Currency Creek 1737","KT631789","KT631188","KT632962","KT632388"
"349","Eucalyptus polyanthemos subsp. vestita (subsp. longior)","eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","eucalyptus polyanthemos subsp. vestita","","Subspecies","D.Nicolle","1738","Orbost, Vic",37,42,5,148,19,"42",142,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R142/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Eucalyptus botryoides","eucalyptus botryoides","Eucalyptus botryoides","Eucalyptus botryoides","eucalyptus botryoides","","Species ","D.Nicolle","1739","Orbost, Vic",37,45,22,148,31,"40",140,20,"Alive","Moderate","Moderate","?","Very scattered","Primary branches","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1997,"R140/T20","Eucalyptus botryoides","eucalyptus botryoides","eucalyptus","botryoides",NA,"eucalyptus botryoides","Accepted","","Sm.","Currency Creek 1739","KT631547","KT630986","KT632738",""
"351","Eucalyptus viminalis subsp. pryoriana","eucalyptus viminalis subsp. pryoriana","Eucalyptus viminalis subsp. pryoriana","Eucalyptus viminalis subsp. pryoriana","eucalyptus viminalis subsp. pryoriana","","Subspecies","D.Nicolle","1740","Marlo, Vic",37,48,3,148,36,"28",141,5,"Dead","","","","","","","","","Died in 2006","","",1997,"R141/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Eucalyptus ovata subsp. ovata","eucalyptus ovata subsp. ovata","Eucalyptus ovata subsp. ovata","Eucalyptus ovata subsp. ovata","eucalyptus ovata subsp. ovata","","Subspecies","D.Nicolle","1741","Cabbage Tree Creek, Vic",37,47,11,148,43,"55",139,37,"Alive","Moderate","Severe","?","Scattered","Basal + trunk","3 - 9 months","None evident","","Slight","Flowered","Flowered",1997,"R139/T37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Eucalyptus elata","eucalyptus elata","Eucalyptus elata","Eucalyptus elata","eucalyptus elata","","Species ","D.Nicolle","1742","Club Terrace, Vic",37,24,33,148,54,"5",146,16,"Alive","Severe","Severe","?","Extensive","Basal only","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1997,"R146/T16","Eucalyptus elata","eucalyptus elata","eucalyptus","elata",NA,"eucalyptus elata","Accepted","","Dehnh.","ANBG 73059","KT631669","KT631082","KT632851","KT632277"
"354","Eucalyptus denticulata","eucalyptus denticulata","Eucalyptus denticulata","Eucalyptus denticulata","eucalyptus denticulata","","Species ","D.Nicolle","1743","Errinundra Plateau, Vic",37,20,24,148,50,"50",146,28,"Alive","Dead","","","","","","","3 - 6 months","Slight","","",1997,"R146/T28","Eucalyptus denticulata","eucalyptus denticulata","eucalyptus","denticulata",NA,"eucalyptus denticulata","Accepted","","I.O.Cook & Ladiges","Currency Creek 1743","KT631641","KT631059","KT632824","KT632253"
"355","Eucalyptus croajingolensis","eucalyptus croajingolensis","Eucalyptus croajingolensis","Eucalyptus croajingolensis","eucalyptus croajingolensis","","Species ","D.Nicolle","1744","Cann River, Vic",37,33,56,149,4,"40",142,16,"Alive","Severe","Dead","?","None evident","","","","","Severe","","",1997,"R142/T16","Eucalyptus croajingolensis","eucalyptus croajingolensis","eucalyptus","croajingolensis",NA,"eucalyptus croajingolensis","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1744","KT631617","AF058497","KT632803","KT632232"
"356","Eucalyptus angophoroides","eucalyptus angophoroides","Eucalyptus angophoroides","Eucalyptus angophoroides","eucalyptus angophoroides","","Species ","D.Nicolle","1745","Genoa, Vic",37,28,56,149,34,"36",142,23,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","","",1997,"R142/T23","Eucalyptus angophoroides","eucalyptus angophoroides","eucalyptus","angophoroides",NA,"eucalyptus angophoroides","Accepted","","R.T.Baker","Currency Creek 1745","KT631507","KT630949","KT632703",""
"357","Eucalyptus corticosa (E. ignorabilis)","eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus ignorabilis","eucalyptus ignorabilis","","Species ","D.Nicolle","1746","Narrabarba, NSW",37,16,27,149,47,"53",146,35,"Alive","Slight","None evident","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R146/T35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Eucalyptus conspicua","eucalyptus conspicua","Eucalyptus conspicua","Eucalyptus conspicua","eucalyptus conspicua","","Species ","D.Nicolle","1747","Narrabarba, NSW",37,16,26,149,47,"53",262,3,"Alive","Moderate","Severe","?","Moderate","Trunk only","3 - 6 months","None evident","","Not applicable","Flowered","Flowered",2004,"R262/T03","Eucalyptus conspicua","eucalyptus conspicua","eucalyptus","conspicua",NA,"eucalyptus conspicua","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 4516","KT631605","KT631030","KT632791",""
"359","Eucalyptus sieberi","eucalyptus sieberi","Eucalyptus sieberi","Eucalyptus sieberi","eucalyptus sieberi","","Species ","D.Nicolle","1749","Mt Imlay, NSW",37,11,NA,149,45,"",141,24,"Alive","Slight","Moderate","?","Moderate","Primary & secondary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"R141/T24","Eucalyptus sieberi","eucalyptus sieberi","eucalyptus","sieberi",NA,"eucalyptus sieberi","Accepted","","L.A.S.Johnson","ANBG 8411661","KT631976","AF058495","KT633135","KT632546"
"360","Eucalyptus ligulata subsp. ligulata","eucalyptus ligulata subsp. ligulata","Eucalyptus ligulata subsp. ligulata","Eucalyptus ligulata subsp. ligulata","eucalyptus ligulata subsp. ligulata","","Subspecies","D.Nicolle","175","Cape Le Grand, WA",33,58,34,122,7,"33",21,27,"Dead","","","","","","","","","","","",1993,"R021/T27","Eucalyptus ligulata subsp. ligulata","eucalyptus ligulata","eucalyptus","ligulata","ligulata","eucalyptus ligulata subsp. ligulata","Accepted","","Brooker","Currency Creek 175","KT631776","KT631175","KT632949","KT632376"
"361","Eucalyptus longifolia","eucalyptus longifolia","Eucalyptus longifolia","Eucalyptus longifolia","eucalyptus longifolia","","Species ","D.Nicolle","1750","Eden, NSW",37,4,28,149,53,"7",144,35,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R144/T35","Eucalyptus longifolia","eucalyptus longifolia","eucalyptus","longifolia",NA,"eucalyptus longifolia","Accepted","","Link","GenBank","","EF488224","",""
"362","Eucalyptus spectatrix","eucalyptus spectatrix","Eucalyptus spectatrix","Eucalyptus stricta","eucalyptus stricta","","Species","D.Nicolle","1751","Bega, NSW",36,39,32,149,54,"19",141,19,"Alive","Dead","","","","","","","1 - 2 years","None evident","Budded","Budded",1997,"R141/T19","Eucalyptus stricta","eucalyptus stricta","eucalyptus","stricta",NA,"eucalyptus stricta","Accepted","","Sieber ex Spreng.","Currency Creek 1751","KT631993","EF051501","",""
"363","Corymbia maculata","corymbia maculata","Corymbia maculata","Corymbia maculata","corymbia maculata","","Species ","D.Nicolle","1752","Narooma, NSW",36,16,54,150,7,"29",140,8,"Alive","Moderate","Moderate","?","Scattered","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"R140/T08","Corymbia maculata","corymbia maculata","corymbia","maculata",NA,"corymbia maculata","Accepted","","(Hook.) K.D.Hill &","ANBG 7800470","KT631466","AF058461","KT632669","KT632110"
"364","Eucalyptus muelleriana","eucalyptus muelleriana","Eucalyptus muelleriana","Eucalyptus muelleriana","eucalyptus muelleriana","","Species ","D.Nicolle","1753","Bodalla, NSW",36,3,58,149,59,"3",142,28,"Alive","Dead","","","","","","","1 - 2 years","Moderate","","",1997,"R142/T28","Eucalyptus muelleriana","eucalyptus muelleriana","eucalyptus","muelleriana",NA,"eucalyptus muelleriana","Accepted","","Howitt","Currency Creek 1753","KT631825","KT631219","KT632997","KT632419"
"365","Eucalyptus agglomerata","eucalyptus agglomerata","Eucalyptus agglomerata","Eucalyptus agglomerata","eucalyptus agglomerata","","Species ","D.Nicolle","1754","Nelligen, NSW",35,32,53,149,59,"3",140,15,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R140/T15","Eucalyptus agglomerata","eucalyptus agglomerata","eucalyptus","agglomerata",NA,"eucalyptus agglomerata","Accepted","","Maiden","Currency Creek 2928","KT631495","KT630940","KT632692","KT632133"
"366","Eucalyptus recurva","eucalyptus recurva","Eucalyptus recurva","Eucalyptus recurva","eucalyptus recurva","","Species ","D.Nicolle","1755","Mongarlowe, NSW",35,22,51,149,57,"6",246,11,"Alive","Slight","Moderate","?","None evident","","","","","Not applicable","","",2002,"R246/T11","Eucalyptus recurva","eucalyptus recurva","eucalyptus","recurva",NA,"eucalyptus recurva","Accepted","","Crisp","ANBG s.n.","KT631935","KT631308","KT633098",""
"367","Eucalyptus gregsoniana","eucalyptus gregsoniana","Eucalyptus gregsoniana","Eucalyptus gregsoniana","eucalyptus gregsoniana","","Species ","D.Nicolle","1756","Wog Wog, NSW",35,16,3,150,2,"2",142,17,"Alive","Severe","Severe","?","Moderate","Basal only","3 - 6 months","Moderate","6 - 12 months","None evident","Flowered","Flowered",1997,"R142/T17","Eucalyptus gregsoniana","eucalyptus gregsoniana","eucalyptus","gregsoniana",NA,"eucalyptus gregsoniana","Accepted","","L.A.S.Johnson & Blaxell","Currency Creek 1756","KT631718","KT631125","KT632899","KT632327"
"368","Eucalyptus sturgissiana","eucalyptus sturgissiana","Eucalyptus sturgissiana","Eucalyptus sturgissiana","eucalyptus sturgissiana","","Species ","D.Nicolle","1757","Sassafras, NSW",35,0,53,150,21,"7",146,9,"Alive","Dead","","","","","","","6 - 12 months","Moderate","","",1997,"R146/T09","Eucalyptus sturgissiana","eucalyptus sturgissiana","eucalyptus","sturgissiana",NA,"eucalyptus sturgissiana","Accepted","","L.A.S.Johnson & Blaxell","Currency Creek 1757","KT631995","KT631353","KT633149",""
"369","Eucalyptus dendromorpha","eucalyptus dendromorpha","Eucalyptus dendromorpha","Eucalyptus dendromorpha","eucalyptus dendromorpha","","Species ","D.Nicolle","1758","Fitzroy Falls, NSW",34,39,NA,150,29,"",146,27,"Alive","Dead","","","","","","","3 - 6 months","None evident","Flowered","Flowered",1997,"R146/T27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Eucalyptus aquilina","eucalyptus aquilina","Eucalyptus aquilina","Eucalyptus aquilina","eucalyptus aquilina","","Species ","D.Nicolle","176","Lucky Bay, WA",33,58,55,122,12,"56",23,28,"Dead","","","","","","","","","","","",1993,"R023/T28","Eucalyptus aquilina","eucalyptus aquilina","eucalyptus","aquilina",NA,"eucalyptus aquilina","Accepted","","Brooker","GenBank","KT631514","FJ494708","",""
"371","Eucalyptus dives?","eucalyptus dives","Eucalyptus dives","Eucalyptus dives","eucalyptus dives","","Species ","D.Nicolle","1760","Moss Vale, NSW",34,30,20,150,20,"37",137,34,"Dead","","","","","","","","","","","",1997,"R137/T34","Eucalyptus dives","eucalyptus dives","eucalyptus","dives",NA,"eucalyptus dives","Accepted","","Schauer","ANBG 7809979","KT631654","AF058503","KT632836","KT632265"
"372","Eucalyptus beyeriana","eucalyptus beyeriana","Eucalyptus beyeriana","Eucalyptus beyeriana","eucalyptus beyeriana","","Species ","D.Nicolle","1761","Bargo, NSW",34,18,45,150,35,"15",143,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R143/T25","Eucalyptus beyeriana","eucalyptus beyeriana","eucalyptus","beyeriana",NA,"eucalyptus beyeriana","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1761","KT631541","KT630980","KT632732","KT632169"
"373","Eucalyptus resinifera subsp. resinifera","eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","eucalyptus resinifera subsp. resinifera","","Subspecies","D.Nicolle","1762","Bargo, NSW",34,18,25,150,35,"31",143,20,"Alive","None evident","Slight","?","None evident","","","","","Slight","Flowered","Flowered",1997,"R143/T20","Eucalyptus resinifera subsp. resinifera","eucalyptus resinifera","eucalyptus","resinifera","resinifera","eucalyptus resinifera subsp. resinifera","Accepted","","Sm.","Currency Creek 2908","KT631939","KT631311","KT633102","KT632513"
"374","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis subsp. parramattensis","","Subspecies","D.Nicolle","1763","Thirlmere, NSW",34,13,2,150,33,"1",143,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R143/T15","Eucalyptus parramattensis subsp. parramattensis","eucalyptus parramattensis","eucalyptus","parramattensis","parramattensis","eucalyptus parramattensis subsp. parramattensis","Accepted","","C.C.Hall","Currency Creek 1763","KT631873","KT631257","KT633042","KT632455"
"375","Eucalyptus maidenii","eucalyptus maidenii","Eucalyptus maidenii","Eucalyptus globulus subsp. maidenii","eucalyptus globulus subsp. maidenii","","Subspecies","D.Nicolle","1764","Araluen, NSW",35,34,21,149,48,"35",144,2,"Alive","Slight","Moderate","?","Scattered","Primary branches","3 - 6 months","None evident","","Moderate","","",1997,"R144/T02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Eucalyptus kartzoffiana","eucalyptus kartzoffiana","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","eucalyptus kartzoffiana","","Species ","D.Nicolle","1765","Araluen 2, NSW",35,36,14,149,45,"56",141,33,"Alive","Severe","Severe","?","Scattered","Tertiary branches","3 - 6 months","Moderate","","None evident","Flowered","Flowered",1997,"R141/T33","Eucalyptus kartzoffiana","eucalyptus kartzoffiana","eucalyptus","kartzoffiana",NA,"eucalyptus kartzoffiana","Accepted","","L.A.S.Johnson & Blaxell","Currency Creek s.n.","KT631749","KT631153","KT632928",""
"377","Eucalyptus nitens","eucalyptus nitens","Eucalyptus nitens","Eucalyptus nitens","eucalyptus nitens","","Species ","D.Nicolle","1766","Big Badja Hill, NSW",35,59,15,149,33,"16",144,27,"Alive","Dead","","","","","","","6 - 12 months","None evident","","",1997,"R144/T27","Eucalyptus nitens","eucalyptus nitens","eucalyptus","nitens",NA,"eucalyptus nitens","Accepted","","(H.Deane & Maiden) Maiden","ANBG 651034","KT631834","KT631227","KT633005",""
"378","Eucalyptus badjensis","eucalyptus badjensis","Eucalyptus badjensis","Eucalyptus badjensis","eucalyptus badjensis","","Species ","D.Nicolle","1767","Mother Woila, NSW",36,1,0,149,39,"27",144,8,"Alive","Slight","Moderate","?","Scattered","Primary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"R144/T08","Eucalyptus badjensis","eucalyptus badjensis","eucalyptus","badjensis",NA,"eucalyptus badjensis","Accepted","","Beuzev. & Welch","Currency Creek 1767","KT631529","KT630967","KT632721",""
"379","Eucalyptus wilcoxii","eucalyptus wilcoxii","Eucalyptus wilcoxii","Eucalyptus wilcoxii","eucalyptus wilcoxii","","Species","D.Nicolle","1768","Mother Woila, NSW",36,1,7,149,39,"16",144,16,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R144/T16","Eucalyptus wilcoxii","eucalyptus wilcoxii","eucalyptus","wilcoxii",NA,"eucalyptus wilcoxii","Accepted","","Boland & Kleinig","Currency Creek 1773","KT632045","KT631395","KT633200",""
"380","Eucalyptus deuaensis","eucalyptus deuaensis","Eucalyptus deuaensis","Eucalyptus deuaensis","eucalyptus deuaensis","","Species ","D.Nicolle","1769","Deua Nat. Park, NSW",35,50,NA,149,48,"",141,25,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R141/T25","Eucalyptus deuaensis","eucalyptus deuaensis","eucalyptus","deuaensis",NA,"eucalyptus deuaensis","Accepted","","Boland & P.M.Gilmour","Currency Creek 1769","KT631644","FJ494714","KT632827","KT632256"
"381","Eucalyptus notactites","eucalyptus notactites","Eucalyptus notactites","Eucalyptus notactites","eucalyptus notactites","","Species ","D.Nicolle","177","Lucky Bay, WA",33,58,55,122,12,"56",85,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R085/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Eucalyptus robertsonii","eucalyptus robertsonii","Eucalyptus robertsonii","Eucalyptus radiata subsp. robertsonii","eucalyptus radiata subsp. robertsonii","","Subspecies","D.Nicolle","1771","Brindabella Range, ACT",35,20,28,148,49,"47",145,34,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","","",1997,"R145/T34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Eucalyptus cadens","eucalyptus cadens","Eucalyptus cadens","Eucalyptus cadens","eucalyptus cadens","","Species ","D.Nicolle","1772","Wangaratta, Vic",36,24,31,146,14,"0",137,1,"Alive","None evident (regrowth from storm damage)","None evident","?","","","","","","","","",1997,"R137/T01","Eucalyptus cadens","eucalyptus cadens","eucalyptus","cadens",NA,"eucalyptus cadens","Accepted","","J.D.Briggs & Crisp","Currency Creek 1772","KT631564","KT630997","KT632755","KT632187"
"384","Eucalyptus alligatrix subsp. alligatrix (subsp. limaensis)","eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. limaensis","eucalyptus alligatrix subsp. limaensis","","Subspecies","D.Nicolle","1773","Swanpool, Vic",36,44,58,145,59,"35",144,12,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R144/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix subsp. alligatrix","","Subspecies","D.Nicolle","1774","Eildon, Vic",37,22,17,146,0,"49",145,31,"Alive","Severe","Severe","?","None evident","","","","","None evident","","",1997,"R145/T31","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix","eucalyptus","alligatrix","alligatrix","eucalyptus alligatrix subsp. alligatrix","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1773","KT631502","KT630946","KT632699",""
"386","Eucalyptus crenulata","eucalyptus crenulata","Eucalyptus crenulata","Eucalyptus crenulata","eucalyptus crenulata","","Species ","D.Nicolle","1775","Buxton, Vic",37,27,1,145,41,"37",141,9,"Dead","","","","","","","","","Died in 2006","","",1997,"R141/T09","Eucalyptus crenulata","eucalyptus crenulata","eucalyptus","crenulata",NA,"eucalyptus crenulata","Accepted","","Blakely & Beuzev.","Currency Creek 1775","KT631614","KT631037","KT632800",""
"387","Eucalyptus doratoxylon","eucalyptus doratoxylon","Eucalyptus doratoxylon","Eucalyptus doratoxylon","eucalyptus doratoxylon","","Species ","D.Nicolle","178","Cape Le Grand, WA",33,59,27,122,12,"44",19,13,"Dead","","","","","","","","","Died in 2006","","",1993,"R019/T13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Eucalyptus preissiana subsp. lobata","eucalyptus preissiana subsp. lobata","Eucalyptus preissiana subsp. lobata","Eucalyptus preissiana subsp. lobata","eucalyptus preissiana subsp. lobata","","Subspecies","D.Nicolle","179","Quaggi Beach, WA",33,49,19,121,17,"49",15,28,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Eucalyptus leucoxylon subsp. pruinosa","eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","eucalyptus leucoxylon subsp. pruinosa","","Subspecies","D.Nicolle","1798","Kingston SE, SA",36,49,35,139,55,"13",145,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R145/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Eucalyptus tetraptera","eucalyptus tetraptera","Eucalyptus tetraptera","Eucalyptus tetraptera","eucalyptus tetraptera","","Species ","D.Nicolle","180","Ravensthorpe, WA",33,40,43,120,35,"42",42,28,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R042/T28","Eucalyptus tetraptera","eucalyptus tetraptera","eucalyptus","tetraptera",NA,"eucalyptus tetraptera","Accepted","","Turcz.","Waite Arboretum 1860A","KT632013","KT631368","KT633166","KT632575"
"391","Eucalyptus arcana","eucalyptus arcana","Eucalyptus arcana","Eucalyptus arcana","eucalyptus arcana","","Species ","D.Nicolle","1800","Carpenter Rocks, SA",37,55,NA,140,25,"",145,12,"Alive","Moderate","Moderate","?","Extensive","Trunk + primary & secondary branches","3 - 9 months","None evident","","Slight","Flowered","Flowered",1997,"R145/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Eucalyptus socialis subsp. socialis","eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","eucalyptus socialis subsp. socialis","","Subspecies","D.Nicolle","1804","Roseworthy, SA",34,30,11,138,41,"41",134,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R134/T34","Eucalyptus socialis subsp. socialis","eucalyptus socialis","eucalyptus","socialis","socialis","eucalyptus socialis subsp. socialis","Accepted","","F.Muell. ex Miq.","Currency Creek 1804","KT631979","KT631342","KT633138","KT632549"
"393","Eucalyptus yumbarrana","eucalyptus yumbarrana","Eucalyptus yumbarrana","Eucalyptus yumbarrana","eucalyptus yumbarrana","","Species ","D.Nicolle","1808","Koonibba, SA",31,50,51,133,27,"27",132,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R132/T09","Eucalyptus yumbarrana","eucalyptus yumbarrana","eucalyptus","yumbarrana",NA,"eucalyptus yumbarrana","Accepted","","Boomsma","Currency Creek 1808","KT632058","KT631407","KT633212",""
"394","Eucalyptus stoatei","eucalyptus stoatei","Eucalyptus stoatei","Eucalyptus stoatei","eucalyptus stoatei","","Species ","D.Nicolle","181","Jerdacuttup, WA",33,43,33,120,23,"27",41,32,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R041/T32","Eucalyptus stoatei","eucalyptus stoatei","eucalyptus","stoatei",NA,"eucalyptus stoatei","Accepted","","C.A.Gardner","Currency Creek 181","KT631990","KT631349","KT633145","KT632557"
"395","Eucalyptus diversifolia subsp. hesperia","eucalyptus diversifolia subsp. hesperia","Eucalyptus diversifolia subsp. hesperia","Eucalyptus diversifolia subsp. hesperia","eucalyptus diversifolia subsp. hesperia","","Subspecies","D.Nicolle","1811","Border Village, SA",31,39,35,129,7,"50",135,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R135/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Eucalyptus cooperiana","eucalyptus cooperiana","Eucalyptus cooperiana","Eucalyptus cooperiana","eucalyptus cooperiana","","Species ","D.Nicolle","1813","Eyre Bird Observatory, WA",32,8,27,126,17,"43",138,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R138/T08","Eucalyptus cooperiana","eucalyptus cooperiana","eucalyptus","cooperiana",NA,"eucalyptus cooperiana","Accepted","","F.Muell.","Currency Creek 1813","KT631607","KT631032","KT632793","KT632224"
"397","Eucalyptus urna","eucalyptus urna","Eucalyptus urna","Eucalyptus urna","eucalyptus urna","","Species ","D.Nicolle","1817","Caiguna, WA",32,19,19,125,3,"49",133,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T21","Eucalyptus urna","eucalyptus urna","eucalyptus","urna",NA,"eucalyptus urna","Accepted","","D.Nicolle","Currency Creek 1817","KT632028","KT631382","KT633182","KT632589"
"398","Eucalyptus cernua","eucalyptus cernua","Eucalyptus cernua","Eucalyptus cernua","eucalyptus cernua","","Species ","D.Nicolle","182","Ravensthorpe, WA",33,41,46,120,21,"58",43,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T24","Eucalyptus cernua","eucalyptus cernua","eucalyptus","cernua",NA,"eucalyptus cernua","Accepted","","Brooker & Hopper","Currency Creek 3574","KT631588","KT631017","KT632776","KT632207"
"399","Eucalyptus assimilans","eucalyptus assimilans","Eucalyptus assimilans","Eucalyptus assimilans","eucalyptus assimilans","","Species ","D.Nicolle","1826","Balladonia, WA",32,14,58,123,25,"24",133,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T17","Eucalyptus assimilans","eucalyptus assimilans","eucalyptus","assimilans",NA,"eucalyptus assimilans","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1826","KT631526","KT630964","",""
