"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1386","Eucalyptus opimiflora","eucalyptus opimiflora","Eucalyptus opimiflora","Eucalyptus opimiflora","eucalyptus opimiflora","","Species ","D.Nicolle","5547","Calingiri, WA",31,8,23,116,27,"19",313,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R313/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387","Eucalyptus oleosa subsp. ampliata","eucalyptus oleosa subsp. ampliata","Eucalyptus oleosa subsp. ampliata","Eucalyptus oleosa subsp. ampliata","eucalyptus oleosa subsp. ampliata","Synonym of E. moluccana","Subspecies","D.Nicolle","555","Toolinna Cove, WA",32,42,37,124,55,"50",44,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R044/T15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388","Eucalyptus caesia subsp. 'southern'","eucalyptus caesia","Eucalyptus caesia","Eucalyptus caesia","eucalyptus caesia","","Species ","D.Nicolle","5550","Wongan Hills, WA",30,54,59,116,47,"54",317,29,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R317/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1389","Eucalyptus sargentii subsp. sargentii","eucalyptus sargentii subsp. sargentii","Eucalyptus sargentii subsp. sargentii","Eucalyptus sargentii subsp. sargentii","eucalyptus sargentii subsp. sargentii","","Subspecies","D.Nicolle","5551","Wubin, WA",30,9,27,116,30,"17",314,14,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R314/T14","Eucalyptus sargentii subsp. sargentii","eucalyptus sargentii","eucalyptus","sargentii","sargentii","eucalyptus sargentii subsp. sargentii","Accepted","","Maiden","Currency Creek 2229","KT631962","KT631328","KT633122","KT632535"
"1390","Eucalyptus rigidula ","eucalyptus rigidula","Eucalyptus rigidula","Eucalyptus rigidula","eucalyptus rigidula","","Species ","D.Nicolle","5554","Wubin, WA",30,3,16,116,15,"19",316,13,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R316/T13","Eucalyptus rigidula","eucalyptus rigidula","eucalyptus","rigidula",NA,"eucalyptus rigidula","Accepted","","Cambage & Blakely","Currency Creek 244","KT631946","KT631318","KT633108","KT632519"
"1391","Eucalyptus arachnaea subsp. arrecta","eucalyptus arachnaea subsp. arrecta","Eucalyptus arachnaea subsp. arrecta","Eucalyptus arachnaea subsp. arrecta","eucalyptus arachnaea subsp. arrecta","","Subspecies","D.Nicolle","5556","Carnamah, WA",29,37,15,115,57,"39",315,26,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R315/T26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1392","Eucalyptus fruticosa","eucalyptus fruticosa","Eucalyptus fruticosa","Eucalyptus fruticosa","eucalyptus fruticosa","","Species ","D.Nicolle","5567","Port Gregory, WA",28,12,26,114,18,"45",316,21,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R316/T21","Eucalyptus fruticosa","eucalyptus fruticosa","eucalyptus","fruticosa",NA,"eucalyptus fruticosa","Accepted","","Brooker","Currency Creek 3532","KT631698","KT631107","KT632880","KT632305"
"1393","Eucalyptus victrix ","eucalyptus victrix","Eucalyptus victrix","Eucalyptus victrix","eucalyptus victrix","","Species","D.Nicolle","5568","Murchison House, WA",27,38,40,114,13,"55",318,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R318/T13","Eucalyptus victrix","eucalyptus victrix","eucalyptus","victrix",NA,"eucalyptus victrix","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek s.n.","KT632036","","KT633191","KT632597"
"1394","Eucalyptus camaldulensis subsp. arida","eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","eucalyptus camaldulensis subsp. arida","","Subspecies","D.Nicolle","5571","Murchison House Station, WA",27,25,3,114,8,"26",310,11,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2011,"R310/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395","Eucalyptus baudiniana - E. oraria intergrade","eucalyptus baudiniana - e. oraria intergrade","Eucalyptus baudiniana - E. oraria intergrade","","","","Intergrade","D.Nicolle","5575","Murchison House Station, WA",27,25,41,114,18,"6",310,21,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R310/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
