"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"478","Eucalyptus camaldulensis subsp. acuta","Eucalyptus camaldulensis subsp. acuta","Eucalyptus camaldulensis subsp. acuta","eucalyptus camaldulensis subsp. acuta","","Subspecies","D.Nicolle","2553","Dirranbandi, Qld",28,42,12,148,10,"9",174,13,"Alive","Slight","None evident","?","None evident","","","","","None evident","","",1999,"R102/T01","CCA1812",NA
"479","Eucalyptus largiflorens (green-leaf variant)","Eucalyptus largiflorens","Eucalyptus largiflorens","eucalyptus largiflorens","","Species","D.Nicolle","2556","Mulyungarie, SA",31,46,21,140,53,"28",177,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"R047/T23","CCA0691",NA
"480","Eucalyptus dumosa","Eucalyptus dumosa","Eucalyptus dumosa","eucalyptus dumosa","","Species ","D.Nicolle","2558","Renmark, SA",33,50,11,140,56,"45",179,17,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"R030/T09","CCA0485",93
"481","Eucalyptus pendens","Eucalyptus pendens","Eucalyptus pendens","eucalyptus pendens","","Species ","D.Nicolle","256","Warradarge, WA",30,24,NA,115,23,"",188,29,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",2000,"R188/T29","CCA3797",256
"482","Eucalyptus cladocalyx subsp. petila","Eucalyptus cladocalyx subsp. petila","Eucalyptus cladocalyx subsp. petila","eucalyptus cladocalyx subsp. petila","","Subspecies","D.Nicolle","2569","Wilmington, SA",32,41,58,138,2,"5",174,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"R119/T01","CCA2439",NA
"483","Eucalyptus froggattii","Eucalyptus froggattii","Eucalyptus froggattii","eucalyptus froggattii","","Species ","D.Nicolle","2583","Mitre, Vic",36,40,44,141,44,"8",188,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R042/T35","CCA0591",453
"484","Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata)","Eucalyptus leucoxylon subsp. leucoxylon","Eucalyptus leucoxylon subsp. leucoxylon","eucalyptus leucoxylon subsp. leucoxylon","","Subspecies","D.Nicolle","2585","Bacchus Marsh, Vic",37,39,42,144,21,"51",190,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R190/T17","CCA3841",2585
"485","Eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","eucalyptus macrocarpa subsp. macrocarpa","","Subspecies","D.Nicolle","261","Warradarge, WA",30,8,55,115,24,"45",10,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T35","CCA0047",261
"486","Eucalyptus exilis","Eucalyptus exilis","Eucalyptus exilis","eucalyptus exilis","","Species ","D.Nicolle","263","Warradarge, WA",30,3,58,115,18,"11",26,8,"Dead","","","","","","","","","","","",1993,"R312/T05","CCA5669",5541
"487","Eucalyptus obtusiflora subsp. dongarraensis","Eucalyptus obtusiflora subsp. dongarraensis","Eucalyptus obtusiflora subsp. dongarraensis","eucalyptus obtusiflora subsp. dongarraensis","","Subspecies","D.Nicolle","266","Cliff Head, WA",29,38,8,114,58,"8",10,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T31","CCA0044",266
"488","Eucalyptus zopherophloia","Eucalyptus zopherophloia","Eucalyptus zopherophloia","eucalyptus zopherophloia","","Species ","D.Nicolle","267","Cliff Head, WA",29,35,19,114,58,"42",25,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T02","CCA0379",267
"489","Eucalyptus gamophylla","Eucalyptus gamophylla","Eucalyptus gamophylla","eucalyptus gamophylla","","Species ","D.Nicolle","2678","Warburton, WA",26,58,36,126,20,"42",182,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R009/T09","CCA0004",NA
"490","Eucalyptus sparsa","Eucalyptus sparsa","Eucalyptus sparsa","eucalyptus sparsa","","Species ","D.Nicolle","2684","Blackstone Range, WA",26,6,8,128,23,"41",182,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R042/T08","CCA0572",427
"491","Eucalyptus oraria","Eucalyptus oraria","Eucalyptus oraria","eucalyptus oraria","","Species ","D.Nicolle","269","Dongara, WA",29,11,3,114,55,"0",10,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T27","CCA0040",269
"492","Corymbia chippendalei","Corymbia chippendalei","Corymbia chippendalei","corymbia chippendalei","","Species ","D.Nicolle","2695","Warburton, WA",26,13,11,126,18,"18",182,9,"Dead","","","","","","","","","","","",2000,"R318/T05","CCA5825",4288
"493","Eucalyptus ebbanoensis subsp. photina","Eucalyptus ebbanoensis subsp. photina","Eucalyptus ebbanoensis subsp. photina","eucalyptus ebbanoensis subsp. photina","","Subspecies","D.Nicolle","270","Mt Michael, WA",28,53,55,114,57,"54",10,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T06","CCA0025",270
"494","Eucalyptus salubris","Eucalyptus salubris","Eucalyptus salubris","eucalyptus salubris","","Species ","D.Nicolle","2717","Laverton, WA",28,33,32,122,29,"17",185,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R016/T05","CCA0195",342
"495","Eucalyptus blaxellii","Eucalyptus blaxellii","Eucalyptus blaxellii","eucalyptus blaxellii","","Species ","D.Nicolle","272","Moresby Range, WA",28,42,6,114,41,"42",25,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T18","CCA0393",272
"496","Eucalyptus ewartiana","Eucalyptus ewartiana","Eucalyptus ewartiana","eucalyptus ewartiana","","Species ","D.Nicolle","2721","Mt Dennis, WA",28,54,39,122,55,"41",184,36,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R027/T12","CCA0435",280
"497","Eucalyptus ebbanoensis subsp. glauciramula","Eucalyptus ebbanoensis subsp. glauciramula","Eucalyptus ebbanoensis subsp. glauciramula","eucalyptus ebbanoensis subsp. glauciramula","","Subspecies","D.Nicolle","2726","Balpe Lakes, WA",29,12,40,123,14,"38",183,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R183/T01","CCA3630",2726
"498","Eucalyptus dolichocera","Eucalyptus dolichocera","Eucalyptus dolichocera","eucalyptus dolichocera","","Species ","D.Nicolle","273","Mullewa, WA",28,42,4,115,5,"42",27,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T05","CCA0428",273
"499","Eucalyptus oldfieldii","Eucalyptus oldfieldii","Eucalyptus oldfieldii","eucalyptus oldfieldii","","Species ","D.Nicolle","2732","Balpe Lakes, WA",29,25,52,123,27,"32",184,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R184/T14","CCA3670",2732
"500","Eucalyptus platycorys","Eucalyptus platycorys","Eucalyptus platycorys","eucalyptus platycorys","","Species ","D.Nicolle","2733","Lake Minigwal",29,35,9,123,33,"23",184,17,"Alive","None evident","None evident","?","","","","","","None evident","","",2000,"R184/T17","CCA3673",2733
"501","Eucalyptus jucunda","Eucalyptus jucunda","Eucalyptus jucunda","eucalyptus jucunda","","Species ","D.Nicolle","275","Greenough River, WA",28,41,19,115,10,"29",18,29,"Dead","","","","","","","","","","","",1993,"R345/T05","CCA6041",7228
"502","Corymbia ferriticola","Corymbia ferriticola","Corymbia ferriticola","corymbia ferriticola","","Species ","D.Nicolle","2752","Meekatharra, WA",26,21,48,118,24,"34",182,25,"Alive","Moderate","Moderate","?","Moderate","Tertiary branches","3 - 6 months","Slight","","None evident","","",2000,"R182/T22","CCA3620",2752
"503","Eucalyptus petraea","Eucalyptus petraea","Eucalyptus petraea","eucalyptus petraea","","Species ","D.Nicolle","2761","Diemals Station, WA",28,57,50,118,52,"2",185,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R011/T23","CCA0069",339
"504","Eucalyptus kochii subsp. borealis","Eucalyptus kochii subsp. borealis","Eucalyptus kochii subsp. borealis","eucalyptus kochii subsp. borealis","","Subspecies","D.Nicolle","277","Mullewa, WA",28,34,36,115,46,"43",19,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R019/T26","CCA0263",277
"505","Eucalyptus orbifolia","Eucalyptus orbifolia","Eucalyptus orbifolia","eucalyptus orbifolia","","Species ","D.Nicolle","2774","Diemals Station, WA",29,37,14,118,54,"44",186,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R186/T26","CCA3737",2774
"506","Eucalyptus leptopoda subsp. subluta","Eucalyptus leptopoda subsp. subluta","Eucalyptus leptopoda subsp. subluta","eucalyptus leptopoda subsp. subluta","","Subspecies","D.Nicolle","2776","Menzies, WA",29,29,6,121,4,"40",185,10,"Alive","None evident","None evident","?","","","","","","None evident","","",2000,"R011/T18","CCA0065",336
"507","Eucalyptus subangusta subsp. pusilla","Eucalyptus subangusta subsp. pusilla","Eucalyptus subangusta subsp. pusilla","eucalyptus subangusta subsp. pusilla","","Subspecies","D.Nicolle","278","Canna, WA",28,54,54,115,50,"8",15,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T19","CCA0179",278
"508","Eucalyptus balladoniensis subsp. sedens","Eucalyptus balladoniensis subsp. sedens","Eucalyptus balladoniensis subsp. sedens","eucalyptus balladoniensis subsp. sedens","","Subspecies","D.Nicolle","2784","Zanthus 2, WA",31,15,46,123,40,"31",185,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R178/T21","CCA3579",347
"509","Eucalyptus sp. North Balladonia (aff. sheathiana)","Eucalyptus sp. North Balladonia","Eucalyptus sheathiana","eucalyptus sheathiana","","Species ","D.Nicolle","2795","Pioneer Tank 1, WA",31,37,19,123,53,"22",185,20,"Dead","","","","","","","","","","","",2000,"R025/T30","CCA0401",302
"510","Eucalyptus stowardii","Eucalyptus stowardii","Eucalyptus stowardii","eucalyptus stowardii","","Species ","D.Nicolle","281","Latham, WA",29,51,58,116,22,"11",25,10,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R025/T10","CCA0386",281
"511","Eucalyptus rhodantha","Eucalyptus rhodantha","Eucalyptus rhodantha","eucalyptus rhodantha","","Species ","D.Nicolle","282","Watheroo, WA",30,15,46,116,6,"58",10,21,"Dead","","","","","","","","","","","",1993,"R072/T16","CCA1284",282
"512","Eucalyptus wandoo subsp. pulverea","Eucalyptus wandoo subsp. pulverea","Eucalyptus wandoo subsp. pulverea","eucalyptus wandoo subsp. pulverea","","Subspecies","D.Nicolle","285","Watheroo, WA",30,14,28,116,2,"21",12,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T05","CCA0085",285
"513","Eucalyptus armillata","Eucalyptus armillata","Eucalyptus armillata","eucalyptus armillata","","Species ","D.Nicolle","287","Pithara, WA",30,17,2,116,52,"23",26,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R026/T05","CCA0412",287
"514","Eucalyptus molyneuxii","Eucalyptus molyneuxii","Eucalyptus molyneuxii","eucalyptus molyneuxii","","Species","D.Nicolle","2873","Little Desert 1, Vic",36,34,26,141,29,"7",187,20,"Dead","","","","","","","","","","","",2000,"R341/T15","CCA5940",6867
"515","Eucalyptus calycogona subsp. trachybasis","Eucalyptus calycogona subsp. trachybasis","Eucalyptus calycogona subsp. trachybasis","eucalyptus calycogona subsp. trachybasis","","Subspecies","D.Nicolle","2896","Koraleigh, NSW",35,7,33,143,24,"14",187,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R047/T01","CCA0673",732
"516","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","eucalyptus polyanthemos subsp. polyanthemos","","Subspecies","D.Nicolle","2899","Adelong, NSW",35,15,57,147,56,"22",189,2,"Alive","Moderate","Moderate","?","Scattered","Secondary & tertiary branches","3 - 6 months","Slight","","None evident","Flowered","Flowered",2000,"R046/T36","CCA0672",742
"517","Eucalyptus subangusta subsp. subangusta","Eucalyptus subangusta subsp. subangusta","Eucalyptus subangusta subsp. subangusta","eucalyptus subangusta subsp. subangusta","","Subspecies","D.Nicolle","290","Pithera, WA",30,28,38,116,41,"6",22,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R022/T04","CCA0315",290
"518","Eucalyptus stenostoma","Eucalyptus stenostoma","Eucalyptus stenostoma","eucalyptus stenostoma","","Species ","D.Nicolle","2900","Belowra, NSW",36,6,23,149,39,"36",193,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R193/T29","CCA3902",2900
"519","Eucalyptus paniculata","Eucalyptus paniculata","Eucalyptus paniculata","eucalyptus paniculata","","Species ","D.Nicolle","2903","Batemans Bay, NSW",35,46,9,150,8,"57",198,17,"Alive","Moderate","Slight","?","Scattered","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",2000,"R053/T09","CCA0827",639
"520","Eucalyptus triflora","Eucalyptus triflora","Eucalyptus triflora","eucalyptus triflora","","Species ","D.Nicolle","2904","Endrick River 1, NSW",35,5,55,150,7,"44",195,25,"Dead","","","","","","","","","","","",2000,"R247/T15","CCA4914",6303
"521","Eucalyptus luehmanniana","Eucalyptus luehmanniana","Eucalyptus luehmanniana","eucalyptus luehmanniana","","Species ","D.Nicolle","2910","Ku-Ring-Gai Chase, NSW",33,39,25,151,15,"23",198,22,"Dead","","","","","","","","","","","",2000,"R292/T05","CCA5315",6793
"522","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","eucalyptus scias subsp. scias","","Subspecies","D.Nicolle","2911","West Head, NSW",33,34,44,151,18,"29",197,14,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",2000,"R197/T13","CCA3938",2911
"523","Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra","eucalyptus umbra","","Species ","D.Nicolle","2912","West Head, NSW",33,34,44,151,18,"29",196,19,"Alive","Slight","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",2000,"R196/T19","CCA3933",2912
"524","Eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus cunninghamii","eucalyptus cunninghamii","","Species ","D.Nicolle","2915","Kings Tableland, NSW",33,46,14,150,22,"35",196,25,"Dead","","","","","","","","","","","",2000,"R292/T13","CCA5323",5868
"525","Eucalyptus prominula","Eucalyptus prominula","Eucalyptus youmanii","eucalyptus youmanii","","Species ","D.Nicolle","2917","Putty, NSW",32,52,21,150,59,"17",195,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R055/T21","CCA0885",676
"526","Eucalyptus rudderi","Eucalyptus rudderi","Eucalyptus rudderi","eucalyptus rudderi","","Species ","D.Nicolle","2920","Taree, NSW",32,2,38,152,22,"9",196,10,"Alive","Slight","Slight","?","Very scattered","Secondary & tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",2000,"R196/T10","CCA3929",2920
"527","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","eucalyptus resinifera subsp. hemilampra","","Subspecies","D.Nicolle","2921","Kempsey, NSW",30,51,15,152,54,"45",197,7,"Alive","Moderate","Moderate","?","Scattered","Primary, secondary & tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",2000,"R197/T05","CCA3935",2921
"528","Eucalyptus saligna 
","Eucalyptus saligna","Eucalyptus saligna","eucalyptus saligna","","Species ","D.Nicolle","2924","Grafton, NSW",29,26,58,152,22,"7",195,2,"Alive","Severe","Dead","?","None evident","","","","","Severe","Flowered","Flowered",2000,"R195/T02","CCA3916",2924
"529","Eucalyptus scopulorum","Eucalyptus scopulorum","Eucalyptus scopulorum","eucalyptus scopulorum","","Species ","D.Nicolle","2927","Peregrine Point, NSW",29,36,45,152,12,"10",191,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R191/T29","CCA3872",2927
"530","Eucalyptus ebbanoensis subsp. ebbanoensis","Eucalyptus ebbanoensis subsp. ebbanoensis","Eucalyptus ebbanoensis subsp. ebbanoensis","eucalyptus ebbanoensis subsp. ebbanoensis","","Subspecies","D.Nicolle","293","Wongan Hills, WA",30,49,49,116,38,"21",10,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T24","CCA0037",293
"531","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","eucalyptus caleyi subsp. ovendenii","","Subspecies","D.Nicolle","2930","Gibraltar Rock, NSW",29,5,48,151,42,"59",190,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R190/T22","CCA3845",2930
"532","Eucalyptus helidonica","Eucalyptus helidonica","Eucalyptus helidonica","eucalyptus helidonica","","Species ","D.Nicolle","2935","Helidon Hills 1, Qld",27,31,29,152,9,"27",192,25,"Dead","","","","","","","","","","","",2000,"R277/T05","CCA5116",6491
"533","Eucalyptus tereticornis subsp. basaltica","Eucalyptus tereticornis subsp. basaltica","Eucalyptus tereticornis subsp. basaltica","eucalyptus tereticornis subsp. basaltica","","Subspecies","D.Nicolle","2937","Crows Nest, Qld",27,27,14,152,12,"10",191,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R191/T09","CCA3860",2937
"534","Eucalyptus baileyana","Eucalyptus baileyana","Eucalyptus baileyana","eucalyptus baileyana","","Species ","D.Nicolle","2938","Helidon Hills, Qld",27,28,7,152,10,"22",192,17,"Dead","","","","","","","","","","","",2000,"R052/T21","CCA0813",665
"535","Eucalyptus recta","Eucalyptus recta","Eucalyptus recta","eucalyptus recta","","Species ","D.Nicolle","294","Cadoux, WA",30,46,42,117,10,"24",25,14,"Alive","None evident","Moderate","??","Moderate","Secondary & tertiary branches","3 - 6 months","Moderate","","None evident","Flowered","Flowered",1993,"R025/T14","CCA0390",294
"536","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","eucalyptus dalrympleana subsp. heptantha","","Subspecies","D.Nicolle","2941","Guyra, NSW",30,4,25,151,56,"25",194,5,"Dead","Dead","","","","","","","3 - 4 years","None evident","","",2000,"R194/T06","CCA3904",2941
"537","Eucalyptus magnificata ","Eucalyptus magnificata","Eucalyptus magnificata","eucalyptus magnificata","","Species ","D.Nicolle","2945","Enmore, NSW",30,43,9,151,43,"20",192,23,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",2000,"R192/T21","CCA3886",2945
"538","Eucalyptus cypellocarpa (E. oresbia)","Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","eucalyptus cypellocarpa","","Species ","D.Nicolle","2949","Nundle, NSW",31,28,0,151,11,"3",191,3,"Alive","Moderate","Severe","?","None evident","","","","","None evident","","",2000,"R190/T05","CCA3837",2946
"539","Eucalyptus gardneri subsp. gardneri","Eucalyptus gardneri subsp. gardneri","Eucalyptus gardneri subsp. gardneri","eucalyptus gardneri subsp. gardneri","","Subspecies","D.Nicolle","295","Cadoux, WA",30,46,35,117,10,"4",26,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R026/T02","CCA0409",295
"540","Eucalyptus bridgesiana (large juveniles)","Eucalyptus bridgesiana","Eucalyptus bridgesiana","eucalyptus bridgesiana","","Species ","D.Nicolle","2950","Nundle, NSW",31,28,0,151,11,"3",191,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R047/T13","CCA0681",760
"541","Eucalyptus nortonii ","Eucalyptus nortonii","Eucalyptus nortonii","eucalyptus nortonii","","Species ","D.Nicolle","2951","Mudgee, NSW",32,42,50,149,28,"42",190,4,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",2000,"R050/T25","CCA0776",583
"542","Eucalyptus arachnaea subsp. arachnaea","Eucalyptus arachnaea subsp. arachnaea","Eucalyptus arachnaea subsp. arachnaea","eucalyptus arachnaea subsp. arachnaea","","Subspecies","D.Nicolle","296","Cadoux, WA",30,46,32,117,9,"39",26,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R026/T11","CCA0414",296
"543","Eucalyptus vicina (Mootwingie variant)","Eucalyptus vicina","Eucalyptus vicina","eucalyptus vicina","","Species ","D.Nicolle","2964","Mootwingie 1, NSW",31,17,41,142,18,"29",184,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R060/T01","CCA0947",728
"544","Eucalyptus synandra","Eucalyptus synandra","Eucalyptus synandra","eucalyptus synandra","","Species ","D.Nicolle","297","Jingymia, WA",30,30,53,117,24,"35",19,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R019/T09","CCA0253",297
"545","Eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda subsp. leptopoda","","Subspecies","D.Nicolle","298","Bonnie Rock, WA",30,31,25,118,18,"4",14,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R014/T35","CCA0161",298
"546","Eucalyptus brevipes","Eucalyptus brevipes","Eucalyptus brevipes","eucalyptus brevipes","","Species ","D.Nicolle","299","Mukinbudin, WA",30,37,50,118,29,"6",27,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T16","CCA0437",299
"547","Eucalyptus subangusta subsp. cerina","Eucalyptus subangusta subsp. cerina","Eucalyptus subangusta subsp. cerina","eucalyptus subangusta subsp. cerina","","Subspecies","D.Nicolle","301","Chiddarcooping Hill, WA",30,52,34,118,42,"18",15,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T20","CCA0180",301
"548","Eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","eucalyptus crucis subsp. lanceolata","","Subspecies","D.Nicolle","303","Chiddarcooping Hill, WA",30,54,43,118,39,"11",19,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R019/T22","CCA0260",303
"549","Eucalyptus corrugata","Eucalyptus corrugata","Eucalyptus corrugata","eucalyptus corrugata","","Species ","D.Nicolle","305","Westonia, WA",31,17,21,118,40,"20",14,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R014/T16","CCA0151",305
"550","Eucalyptus crucis subsp. crucis","Eucalyptus crucis subsp. crucis","Eucalyptus crucis subsp. crucis","eucalyptus crucis subsp. crucis","","Subspecies","D.Nicolle","305","Sandford Rock, WA",31,14,22,118,45,"97",43,28,"Dead","","","","","","","","","","","",1994,"R226/T36","CCA4438",3681
"551","Eucalyptus burracoppinensis","Eucalyptus burracoppinensis","Eucalyptus burracoppinensis","eucalyptus burracoppinensis","","Species ","D.Nicolle","306","Cramphorne, WA",31,50,50,118,44,"39",24,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T37","CCA0377",306
"552","Eucalyptus suggrandis subsp. promiscua","Eucalyptus suggrandis subsp. promiscua","Eucalyptus suggrandis subsp. promiscua","eucalyptus suggrandis subsp. promiscua","","Subspecies","D.Nicolle","311","Dragon Rocks, WA",32,45,2,119,5,"17",10,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T01","CCA0022",311
"553","Eucalyptus loxophleba subsp. gratiae","Eucalyptus loxophleba subsp. gratiae","Eucalyptus loxophleba subsp. gratiae","eucalyptus loxophleba subsp. gratiae","","Subspecies","D.Nicolle","313","Harris Nature Reserve, WA",32,48,21,118,47,"7",27,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T23","CCA0444",313
"554","Eucalyptus tephroclada","Eucalyptus tephroclada","Eucalyptus tephroclada","eucalyptus tephroclada","","Species ","D.Nicolle","314","Hyden, WA ",32,27,31,118,49,"54",24,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T14","CCA0363",314
"555","Eucalyptus myriadena","Eucalyptus myriadena","Eucalyptus myriadena","eucalyptus myriadena","","Species ","D.Nicolle","316","Hyden, WA",32,27,0,118,52,"2",10,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T17","CCA0033",316
"556","Eucalyptus steedmanii","Eucalyptus steedmanii","Eucalyptus steedmanii","eucalyptus steedmanii","","Species ","D.Nicolle","317","Forrestania, WA",32,28,54,119,40,"36",10,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R010/T13","CCA0030",317
"557","Eucalyptus rugosa","Eucalyptus rugosa","Eucalyptus rugosa","eucalyptus rugosa","","Species ","D.Nicolle","3179","Sleaford Bay 1, SA",34,54,55,135,40,"45",229,12,"Alive","Severe","Dead","?","Moderate","Primary, secondary & tertiary branches","3 - 6 months","Dead","","None evident","Flowered","Flowered",2001,"R071/T08","CCA1252",806
"558","Eucalyptus livida","Eucalyptus livida","Eucalyptus livida","eucalyptus livida","","Species ","D.Nicolle","318","North Ironcap, WA",32,21,25,119,39,"56",12,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T25","CCA0104",318
"559","Eucalyptus albopurpurea","Eucalyptus albopurpurea","Eucalyptus albopurpurea","eucalyptus albopurpurea","","Species ","D.Nicolle","3180","Sleaford Mere 2, SA",34,49,59,135,43,"59",220,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R045/T33","CCA0662",NA
"560","Eucalyptus cladocalyx subsp. cladocalyx","Eucalyptus cladocalyx subsp. cladocalyx","Eucalyptus cladocalyx subsp. cladocalyx","eucalyptus cladocalyx subsp. cladocalyx","","Subspecies","D.Nicolle","3182","Coomunga, SA",34,38,48,135,42,"44",229,17,"Alive","None evident","None evident","?","","","","","","Slight","Flowered","Flowered",2001,"R229/T17","CCA4512",3182
"561","Eucalyptus benthamii","Eucalyptus benthamii","Eucalyptus benthamii","eucalyptus benthamii","","Species ","D.Nicolle","3203","Camden, NSW",34,2,29,150,41,"45",239,26,"Alive","Dead","","","","","","","1 - 2 years","Moderate","Flowered","Flowered",2001,"R239/T26","CCA4759",3203
"562","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","angophora subvelutina","","Species ","D.Nicolle","3204","Mulgoa, NSW",33,50,8,150,39,"10",239,21,"Alive","None evident","None evident","?","","","","","","None evident","","",2001,"R239/T21","CCA4755",3204
"563","Eucalyptus oreades","Eucalyptus oreades","Eucalyptus oreades","eucalyptus oreades","","Species ","D.Nicolle","3210","Gibbergunya River, NSW",34,26,12,150,26,"8",239,1,"Dead","","","","","","","","","","","",2001,"R198/T05","CCA3945",628
