"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"36","Eucalyptus perangusta","Eucalyptus perangusta","Eucalyptus perangusta","eucalyptus perangusta","","Species ","D.Nicolle","1118","Ravensthorpe, WA",33,22,39,119,53,"38",69,27,"Dead","","","","","","","","","","","",1995,"R012/T21","CCA0100",148
"37","Eucalyptus wyolensis","Eucalyptus wyolensis","Eucalyptus wyolensis","eucalyptus wyolensis","","Species ","D.Nicolle","112","Oak Valley 1, SA",29,20,13,130,13,"13",12,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T29","CCA0108",112
"38","Eucalyptus dielsii","Eucalyptus dielsii","Eucalyptus dielsii","eucalyptus dielsii","","Species ","D.Nicolle","1120","Ravensthorpe, WA",33,26,46,119,57,"18",69,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R069/T15","CCA1204",1120
"39","Eucalyptus megacornuta","Eucalyptus megacornuta","Eucalyptus megacornuta","eucalyptus megacornuta","","Species ","D.Nicolle","1121","Ravensthorpe Range, WA",33,30,43,120,2,"20",72,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R072/T04","CCA1272",1121
"40","Eucalyptus sporadica","Eucalyptus sporadica","Eucalyptus sporadica","eucalyptus sporadica","","Species ","D.Nicolle","1122","Ravensthorpe Range, WA",33,30,43,120,2,"20",69,24,"Alive","Moderate","Moderate","?","Extensive","Trunk + primary & secondary branches","3 - 9 months","Moderate","","None evident","Flowered","Flowered",1995,"R021/T11","CCA0298",204
"41","Eucalyptus oleosa subsp. corvina","Eucalyptus oleosa subsp. corvina","Eucalyptus oleosa subsp. corvina","eucalyptus oleosa subsp. corvina","Synonym of E. moluccana","Subspecies","D.Nicolle","1123","Ravensthorpe 1, WA",33,34,45,120,3,"3",63,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T09","CCA1025",1123
"42","Eucalyptus glaucina","Eucalyptus glaucina","Eucalyptus glaucina","eucalyptus glaucina","","Species ","CSIRO","11239","Casino, NSW",29,8,NA,153,0,"",80,3,"Alive","Moderate","Slight","?","None evident","","","","","Slight","Flowered","Flowered",1999,"R080/T01","CCA1380",NA
"43","Eucalyptus sepulcralis","Eucalyptus sepulcralis","Eucalyptus sepulcralis","eucalyptus sepulcralis","","Species ","D.Nicolle","1126","Eyre Range 1, WA",33,54,19,119,57,"0",62,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T35","CCA1014",1126
"44","Eucalyptus arborella","Eucalyptus arborella","Eucalyptus arborella","eucalyptus arborella","","Species ","D.Nicolle","1127","Twertup, WA",34,2,NA,119,22,"",70,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T29","CCA1236",1127
"45","Eucalyptus suggrandis subsp. suggrandis","Eucalyptus suggrandis subsp. suggrandis","Eucalyptus suggrandis subsp. suggrandis","eucalyptus suggrandis subsp. suggrandis","","Subspecies","D.Nicolle","1128","Twertup, WA",34,1,29,119,22,"31",67,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R017/T01","CCA0219",197
"46","Eucalyptus socialis subsp. victoriensis","Eucalyptus socialis subsp. victoriensis","Eucalyptus socialis subsp. victoriensis","eucalyptus socialis subsp. victoriensis","","Subspecies","D.Nicolle","113","Ooldea Range, SA",29,22,11,130,2,"57",9,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R009/T31","CCA0016",113
"47","Eucalyptus lehmannii subsp. parallela","Eucalyptus lehmannii subsp. parallela","Eucalyptus lehmannii subsp. parallela","eucalyptus lehmannii subsp. parallela","","Subspecies","D.Nicolle","1130","Twertup, WA",34,0,27,119,13,"11",67,5,"Dead","","","","","","","","","","","",1995,"R067/T07","CCA1154",1130
