TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Lat,Long,Row,Tree,Row/Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,DroughtImpact_20192020,affected_tree_bin,number_rep_total_per_UniqueID,number_rep_2020_alive_per_UniqueID
Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,,Species ,D.Nicolle,1237,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,93,35,R093/T35,Alive,Severe,Dead,?,Moderate,Primary & secondary branches,3 - 6 months,Dead,,Moderate,Flowered,Flowered,1996,4,1,4,3
Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,,Species ,D.Nicolle,1237,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,93,37,R093/T37,Alive,Slight,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1996,1,1,4,3
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,94,5,R094/T05,Alive,Moderate,Severe,?,Moderate,Basal + trunk + primary & secondary branches,3 - 6 months,Moderate,,None evident,Flowered,Flowered,1996,3,1,6,6
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,198,9,R198/T09,Alive,Moderate,Moderate,?,Moderate,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000,2,1,6,6
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,198,12,R198/T12,Alive,Moderate,Moderate,?,Very scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000,2,1,6,6
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,198,10,R198/T10,Alive,Moderate,Severe,?,Very scattered,Basal + secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000,3,1,6,6
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,198,13,R198/T13,Alive,Severe,Severe,?,Moderate,Basal + primary & secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000,3,1,6,6
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,,Species ,D.Nicolle,1238,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,198,11,R198/T11,Alive,Severe,Severe,?,Moderate,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,2000,3,1,6,6
Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,,Species ,D.Nicolle,1239,"Telegraph Point, NSW",31,16,59,152,48,49,31.28305556,152.8136111,95,21,R095/T21,Alive,Moderate,Slight,?,None evident,,,,,Severe,Flowered,Flowered,1996,1,1,5,3
Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,,Species ,D.Nicolle,1239,"Telegraph Point, NSW",31,16,59,152,48,49,31.28305556,152.8136111,95,22,R095/T22,Alive,Severe,Moderate,?,None evident,,,,,Moderate,Flowered,Flowered,1996,2,1,5,3
Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,,Species ,D.Nicolle,1239,"Telegraph Point, NSW",31,16,59,152,48,49,31.28305556,152.8136111,95,24,R095/T24,Alive,Slight,Severe,??,None evident,,,,,Severe,Flowered,Flowered,1996,3,1,5,3
