UniqueID,Yearplanted.x,Drought2006Scale.mean,Drought2006Scale.sd,Drought2006Scale.l,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,Aridclass,MAT,MTWarmQ,MTColdQ,AP,PWetM,PDryM,PS,PWetQ,PDryQ,PWarmQ,PColdQ,MDR,ISOT,TS,MaxTWarmM,MinTCM,TAR,MTWetQ,MeanTDryQ,et0_yr_corrected,PrecDeficit,Taxonthornhill_AC_VPM,Thornhill_bionomial_tip_match,MotherTreeHeight_AVG_m,RegenStrategysimplified,height_max_m,Habit,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,n,Diamthickness.mm..mean,Diamthickness.mm..sd,Diamthickness.mm..l,Wooddensity.g.cm3..mean,Wooddensity.g.cm3..sd,Wooddensity.g.cm3..l,Average.Size_cm2.mean,Average.Size_cm2.sd,Average.Size_cm2.l,SLA_m2.kg.mean,SLA_m2.kg.sd,SLA_m2.kg.l,d13C.mean,d13C.sd,d13C.l,totalN.mean,totalN.sd,totalN.l,totalC.mean,totalC.sd,totalC.l
115,1993,0,0,3,0,0,3,0,0,3,Eucalyptus optima,"Balladonia, WA",-32.29277778,123.4972222,0.1512,Arid,17.20000076,22.53333282,11.59999943,295,31,17,17.1969471,85,62,72,71,14.23333359,53.71068954,441.1503601,31.20000076,4.699999809,26.5,20.5,14.4333334,0.195,-294.805,eucalyptus optima,eucalyptus optima,12,Obligate seeder,20,Tree,127.5,24.5,21.86625,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1993,0,0,3,0,0,3,0,0,3,Eucalyptus fraseri subsp. fraseri,"Balladonia, WA",-32.28361111,123.4822222,0.1515,Arid,17.18333435,22.5,11.59999943,296,31,17,17.60773468,86,62,72,71,14.21666718,53.64779663,440.4096069,31.20000076,4.699999809,26.5,17.75,14.4333334,0.1952,-295.8048,Eucalyptus fraseri subsp. fraseri,eucalyptus fraseri,NA,Obligate seeder,15,Tree,130,24,21.84,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus fraseri subsp. fraseri,"Balladonia, WA",-32.28361111,123.4822222,0.1515,Arid,17.18333435,22.5,11.59999943,296,31,17,17.60773468,86,62,72,71,14.21666718,53.64779663,440.4096069,31.20000076,4.699999809,26.5,17.75,14.4333334,0.1952,-295.8048,Eucalyptus fraseri subsp. fraseri,eucalyptus fraseri,NA,Obligate seeder,15,Tree,130,24,21.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1993,0,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus terebra,"Balladonia, WA",-32.27472222,123.4655556,0.1519,Arid,17.10000038,22.43333435,11.5,297,32,17,18.07352638,87,62,72,71,14.1833334,53.7247467,441.901886,31.10000038,4.699999809,26.40000153,17.68333435,14.33333397,0.1954,-296.8046,Eucalyptus terebra,eucalyptus terebra,NA,Obligate seeder,12,Tree,77.5,8.5,4.61125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus terebra,"Balladonia, WA",-32.27472222,123.4655556,0.1519,Arid,17.10000038,22.43333435,11.5,297,32,17,18.07352638,87,62,72,71,14.1833334,53.7247467,441.901886,31.10000038,4.699999809,26.40000153,17.68333435,14.33333397,0.1954,-296.8046,Eucalyptus terebra,eucalyptus terebra,NA,Obligate seeder,12,Tree,77.5,8.5,4.61125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1993,0,0,2,0,0,2,0,0,2,Eucalyptus balladoniensis subsp. balladoniensis,"Balladonia, WA",-32.2575,123.435,0.1528,Arid,17.08749962,22.45000076,11.44999981,298,32,17,18.66208839,87,61,73,72,14.20833397,53.41478729,443.8628235,31.20000076,4.599999905,26.60000038,20.41666794,14.3166666,0.195,-297.805,Eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis,NA,Lignotuber resprouter,5,Mallee,102.5,18.5,13.27375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus balladoniensis subsp. balladoniensis,"Balladonia, WA",-32.2575,123.435,0.1528,Arid,17.08749962,22.45000076,11.44999981,298,32,17,18.66208839,87,61,73,72,14.20833397,53.41478729,443.8628235,31.20000076,4.599999905,26.60000038,20.41666794,14.3166666,0.195,-297.805,Eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis,NA,Lignotuber resprouter,5,Mallee,102.5,18.5,13.27375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1993,0,0,2,0,0,2,0,0,2,Eucalyptus laevis,"Balladonia, WA",-32.2325,123.39,0.1507,Arid,17.16250038,22.60000038,11.44999981,298,32,17,18.51552582,87,61,72,73,14.22500038,53.0783577,450.0713196,31.39999962,4.599999905,26.79999924,17.75,14.38333321,0.1976,-297.8024,NA,eucalyptus melanoxylon,NA,Lignotuber resprouter,10,Tree,85,7.5,4.4625,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus laevis,"Balladonia, WA",-32.2325,123.39,0.1507,Arid,17.16250038,22.60000038,11.44999981,298,32,17,18.51552582,87,61,72,73,14.22500038,53.0783577,450.0713196,31.39999962,4.599999905,26.79999924,17.75,14.38333321,0.1976,-297.8024,NA,eucalyptus melanoxylon,NA,Lignotuber resprouter,10,Tree,85,7.5,4.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1993,0,0,2,0,0,2,0,0,2,Eucalyptus cylindrocarpa,"Balladonia, WA",-32.22222222,123.365,0.1504,Arid,17.22500038,22.66666603,11.5,298,32,17,18.51552582,87,61,72,73,14.33333302,53.2837677,451.1374512,31.5,4.599999905,26.89999962,17.81666565,14.4333334,0.198,-297.802,Eucalyptus cylindrocarpa,eucalyptus cylindrocarpa,NA,Lignotuber resprouter,6,Mallee,80,9,5.04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
