TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,,,,,,,,,,,,,,,
Eucalyptus sp. 'Madura Beach' (aff. discreta),Eucalyptus sp. Madura Beach,Eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,02,44,127,02,35,67,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus sp. 'Madura Beach' (aff. discreta),Eucalyptus sp. Madura Beach,Eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,02,44,127,02,35,67,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,8,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,7,Dead,,,,,,,,,,,,1995,,,,,,,,,,,,,,,
Eucalyptus uncinata subsp. 'Esperance Plains',Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus uncinata subsp. 'Esperance Plains',Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus uncinata subsp. 'Esperance Plains',Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,20,Dead,,,,,,,,,,,,1995,,,,,,,,,,,,,,,
Eucalyptus uncinata subsp. 'Esperance Plains',Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,22,Dead,,,,,,,,,,,,1995,,,,,,,,,,,,,,,
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,,Species ,D.Nicolle,1090,"Mt Ragged, WA",33,27,48,123,26,45,64,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
