TaxonoriginalDN,taxonsimplified_dn,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),eucalyptus sp. southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,eucalyptus leptocalyx,,Species,D.Nicolle,5507,"Lake Magenta, WA",33,35,37,119,23,54,314,7,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R314/T07
Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),eucalyptus sp. southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,eucalyptus leptocalyx,,Species,D.Nicolle,5507,"Lake Magenta, WA",33,35,37,119,23,54,314,8,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R314/T08
Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),eucalyptus sp. southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,eucalyptus leptocalyx,,Species,D.Nicolle,5507,"Lake Magenta, WA",33,35,37,119,23,54,314,5,Alive,Slight,Slight,?,None evident,,,,,Not applicable,Flowered,Flowered,2011,R314/T05
Eucalyptus erythrocorys,eucalyptus erythrocorys,Eucalyptus erythrocorys,Eucalyptus erythrocorys,eucalyptus erythrocorys,,Species ,D.Nicolle,5570,"Murchison House Station, WA",27,27,13,114,8,21,319,19,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R319/T19
Eucalyptus erythrocorys,eucalyptus erythrocorys,Eucalyptus erythrocorys,Eucalyptus erythrocorys,eucalyptus erythrocorys,,Species ,D.Nicolle,5570,"Murchison House Station, WA",27,27,13,114,8,21,319,20,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R319/T20
Eucalyptus erythrocorys,eucalyptus erythrocorys,Eucalyptus erythrocorys,Eucalyptus erythrocorys,eucalyptus erythrocorys,,Species ,D.Nicolle,5570,"Murchison House Station, WA",27,27,13,114,8,21,319,21,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011,R319/T21
Eucalyptus erythrocorys,eucalyptus erythrocorys,Eucalyptus erythrocorys,Eucalyptus erythrocorys,eucalyptus erythrocorys,,Species ,D.Nicolle,5570,"Murchison House Station, WA",27,27,13,114,8,21,319,22,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R319/T22
Eucalyptus oligantha ,eucalyptus oligantha,Eucalyptus oligantha,Eucalyptus oligantha,eucalyptus oligantha,,Species ,D.Nicolle,5810,"Walcott Inlet, WA",16,0,3,125,28,33,311,24,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011,R311/T24
Eucalyptus rupestris,eucalyptus rupestris,Eucalyptus rupestris,Eucalyptus rupestris,eucalyptus rupestris,,Species ,D.Nicolle,5812,"Walcott Inlet, WA",16,1,3,125,19,41,313,25,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011,R313/T25
Eucalyptus rupestris,eucalyptus rupestris,Eucalyptus rupestris,Eucalyptus rupestris,eucalyptus rupestris,,Species ,D.Nicolle,5812,"Walcott Inlet, WA",16,1,3,125,19,41,313,26,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011,R313/T26
