currentname,RowTree,FieldID,DNNumber
eucalyptus leptopoda subsp. elevata,R009/T03,CCA0001,8
eucalyptus leptopoda subsp. elevata,R009/T04,CCA0002,8
eucalyptus mannensis subsp. mannensis,R009/T05,CCA0003,NA
eucalyptus gamophylla,R009/T09,CCA0004,NA
eucalyptus victrix,R009/T14,CCA0005,NA
eucalyptus populnea subsp. bimbil,R009/T15,CCA0006,NA
eucalyptus populnea subsp. bimbil,R009/T16,CCA0007,NA
eucalyptus populnea subsp. bimbil,R009/T17,CCA0008,NA
eucalyptus populnea subsp. bimbil,R009/T18,CCA0009,NA
eucalyptus yilgarnensis,R009/T19,CCA0010,NA
eucalyptus yilgarnensis,R009/T21,CCA0011,NA
eucalyptus yilgarnensis,R009/T22,CCA0012,NA
eucalyptus glomerosa,R009/T25,CCA0013,NA
eucalyptus alatissima,R009/T26,CCA0014,7
eucalyptus oxymitra,R009/T28,CCA0015,NA
eucalyptus socialis subsp. victoriensis,R009/T31,CCA0016,113
eucalyptus socialis subsp. victoriensis,R009/T32,CCA0017,113
eucalyptus socialis subsp. victoriensis,R009/T33,CCA0018,113
eucalyptus socialis subsp. victoriensis,R009/T34,CCA0019,113
eucalyptus pimpiniana,R009/T35,CCA0020,110
eucalyptus pimpiniana,R009/T37,CCA0021,110
eucalyptus suggrandis subsp. promiscua,R010/T01,CCA0022,311
eucalyptus suggrandis subsp. promiscua,R010/T02,CCA0023,311
eucalyptus suggrandis subsp. promiscua,R010/T04,CCA0024,311
eucalyptus ebbanoensis subsp. photina,R010/T06,CCA0025,270
eucalyptus ebbanoensis subsp. photina,R010/T07,CCA0026,270
eucalyptus ebbanoensis subsp. photina,R010/T08,CCA0027,270
eucalyptus leptopoda subsp. arctata,R010/T11,CCA0028,291
eucalyptus leptopoda subsp. arctata,R010/T12,CCA0029,291
eucalyptus steedmanii,R010/T13,CCA0030,317
eucalyptus steedmanii,R010/T14,CCA0031,317
eucalyptus steedmanii,R010/T15,CCA0032,317
eucalyptus myriadena,R010/T17,CCA0033,316
eucalyptus myriadena,R010/T18,CCA0034,316
eucalyptus myriadena,R010/T19,CCA0035,316
eucalyptus myriadena,R010/T20,CCA0036,316
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T24,CCA0037,293
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T25,CCA0038,293
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T26,CCA0039,293
eucalyptus oraria,R010/T27,CCA0040,269
eucalyptus oraria,R010/T28,CCA0041,269
eucalyptus oraria,R010/T29,CCA0042,269
eucalyptus oraria,R010/T30,CCA0043,269
eucalyptus obtusiflora subsp. dongarraensis,R010/T31,CCA0044,266
eucalyptus obtusiflora subsp. dongarraensis,R010/T32,CCA0045,266
eucalyptus obtusiflora subsp. dongarraensis,R010/T33,CCA0046,266
eucalyptus macrocarpa subsp. macrocarpa,R010/T35,CCA0047,261
eucalyptus macrocarpa subsp. macrocarpa,R010/T36,CCA0048,261
eucalyptus macrocarpa subsp. macrocarpa,R010/T37,CCA0049,261
eucalyptus platydisca,R011/T01,CCA0050,133
eucalyptus platydisca,R011/T02,CCA0051,133
eucalyptus flavida,R011/T04,CCA0052,343
eucalyptus flavida,R011/T05,CCA0053,343
eucalyptus flavida,R011/T06,CCA0054,343
eucalyptus goniocarpa,R011/T07,CCA0055,186
eucalyptus goniocarpa,R011/T08,CCA0056,186
eucalyptus goniocarpa,R011/T09,CCA0057,186
eucalyptus goniocarpa,R011/T10,CCA0058,186
eucalyptus laevis,R011/T11,CCA0059,120
eucalyptus laevis,R011/T13,CCA0060,120
eucalyptus dundasii,R011/T14,CCA0061,129
eucalyptus dundasii,R011/T15,CCA0062,129
eucalyptus dundasii,R011/T16,CCA0063,129
eucalyptus dundasii,R011/T17,CCA0064,129
eucalyptus leptopoda subsp. subluta,R011/T18,CCA0065,336
eucalyptus clelandii,R011/T19,CCA0066,333
eucalyptus clelandii,R011/T20,CCA0067,333
eucalyptus clelandii,R011/T22,CCA0068,333
eucalyptus petraea,R011/T23,CCA0069,339
eucalyptus petraea,R011/T24,CCA0070,339
eucalyptus petraea,R011/T25,CCA0071,339
eucalyptus petraea,R011/T26,CCA0072,339
eucalyptus melanoxylon,R011/T27,CCA0073,143
eucalyptus melanoxylon,R011/T28,CCA0074,143
eucalyptus melanoxylon,R011/T30,CCA0075,143
eucalyptus vegrandis subsp. vegrandis,R011/T31,CCA0076,207
eucalyptus vegrandis subsp. vegrandis,R011/T32,CCA0077,207
eucalyptus vegrandis subsp. vegrandis,R011/T33,CCA0078,207
eucalyptus vegrandis subsp. vegrandis,R011/T34,CCA0079,207
eucalyptus kumarlensis,R011/T35,CCA0080,141
eucalyptus kumarlensis,R011/T36,CCA0081,141
eucalyptus kumarlensis,R011/T38,CCA0082,141
eucalyptus educta,R012/T01,CCA0083,335
eucalyptus educta,R012/T02,CCA0084,335
eucalyptus wandoo subsp. pulverea,R012/T05,CCA0085,285
eucalyptus wandoo subsp. pulverea,R012/T06,CCA0086,285
eucalyptus wandoo subsp. pulverea,R012/T07,CCA0087,285
eucalyptus wandoo subsp. pulverea,R012/T08,CCA0088,285
eucalyptus cyclostoma,R012/T09,CCA0089,125
eucalyptus cyclostoma,R012/T10,CCA0090,125
eucalyptus cyclostoma,R012/T11,CCA0091,125
eucalyptus cyclostoma,R012/T12,CCA0092,125
eucalyptus effusa subsp. effusa,R012/T13,CCA0093,127
eucalyptus effusa subsp. effusa,R012/T14,CCA0094,127
eucalyptus effusa subsp. effusa,R012/T15,CCA0095,127
eucalyptus effusa subsp. effusa,R012/T16,CCA0096,127
eucalyptus varia,R012/T18,CCA0097,163
eucalyptus varia,R012/T19,CCA0098,163
eucalyptus varia,R012/T20,CCA0099,163
eucalyptus perangusta,R012/T21,CCA0100,148
eucalyptus perangusta,R012/T22,CCA0101,148
eucalyptus perangusta,R012/T23,CCA0102,148
eucalyptus perangusta,R012/T24,CCA0103,148
eucalyptus livida,R012/T25,CCA0104,318
eucalyptus livida,R012/T26,CCA0105,318
eucalyptus livida,R012/T27,CCA0106,318
eucalyptus livida,R012/T28,CCA0107,318
eucalyptus wyolensis,R012/T29,CCA0108,112
eucalyptus wyolensis,R012/T30,CCA0109,112
eucalyptus wyolensis,R012/T31,CCA0110,112
eucalyptus halophila,R012/T33,CCA0111,155
eucalyptus halophila,R012/T34,CCA0112,155
eucalyptus halophila,R012/T35,CCA0113,155
eucalyptus halophila,R012/T36,CCA0114,155
eucalyptus fraseri subsp. fraseri,R013/T01,CCA0115,116
eucalyptus fraseri subsp. fraseri,R013/T02,CCA0116,116
eucalyptus fraseri subsp. fraseri,R013/T04,CCA0117,116
eucalyptus tortilis,R013/T06,CCA0118,130
eucalyptus tortilis,R013/T07,CCA0119,130
eucalyptus protensa,R013/T10,CCA0120,126
eucalyptus indurata,R013/T14,CCA0121,165
eucalyptus indurata,R013/T15,CCA0122,165
eucalyptus ravida,R013/T18,CCA0123,134
eucalyptus angustissima,R013/T20,CCA0124,150
eucalyptus angustissima,R013/T21,CCA0125,150
eucalyptus angustissima,R013/T22,CCA0126,150
eucalyptus angustissima,R013/T23,CCA0127,150
eucalyptus terebra,R013/T26,CCA0128,117
eucalyptus kessellii subsp. eugnosta,R013/T28,CCA0129,164
eucalyptus kessellii subsp. eugnosta,R013/T29,CCA0130,164
eucalyptus kessellii subsp. eugnosta,R013/T30,CCA0131,164
eucalyptus kessellii subsp. eugnosta,R013/T31,CCA0132,164
eucalyptus tumida,R013/T32,CCA0133,159
eucalyptus tumida,R013/T33,CCA0134,159
eucalyptus tumida,R013/T34,CCA0135,159
eucalyptus tumida,R013/T35,CCA0136,159
eucalyptus bicostata,R013/T38,CCA0137,468
eucalyptus deanei,R013/T41,CCA0138,633
eucalyptus redunca,R014/T01,CCA0139,221
eucalyptus websteriana,R014/T05,CCA0140,138
eucalyptus websteriana,R014/T06,CCA0141,138
eucalyptus websteriana,R014/T07,CCA0142,138
eucalyptus websteriana,R014/T08,CCA0143,138
eucalyptus spreta,R014/T09,CCA0144,122
eucalyptus spreta,R014/T10,CCA0145,122
eucalyptus spreta,R014/T11,CCA0146,122
eucalyptus planipes,R014/T12,CCA0147,330
eucalyptus planipes,R014/T13,CCA0148,330
eucalyptus planipes,R014/T14,CCA0149,330
eucalyptus planipes,R014/T15,CCA0150,330
eucalyptus corrugata,R014/T16,CCA0151,305
eucalyptus corrugata,R014/T17,CCA0152,305
eucalyptus corrugata,R014/T18,CCA0153,305
eucalyptus corrugata,R014/T19,CCA0154,305
eucalyptus neutra,R014/T21,CCA0155,218
eucalyptus neutra,R014/T22,CCA0156,218
eucalyptus neutra,R014/T23,CCA0157,218
eucalyptus argutifolia,R014/T31,CCA0158,249
eucalyptus argutifolia,R014/T32,CCA0159,249
eucalyptus argutifolia,R014/T33,CCA0160,249
eucalyptus leptopoda subsp. leptopoda,R014/T35,CCA0161,298
eucalyptus leptopoda subsp. leptopoda,R014/T36,CCA0162,298
eucalyptus leptopoda subsp. leptopoda,R014/T37,CCA0163,298
eucalyptus brunnea,R014/T39,CCA0164,669
eucalyptus camphora subsp. camphora,R014/T44,CCA0165,762
eucalyptus socialis subsp. socialis,R015/T01,CCA0166,NA
eucalyptus socialis subsp. socialis,R015/T02,CCA0167,NA
eucalyptus socialis subsp. socialis,R015/T04,CCA0168,NA
eucalyptus melanophitra,R015/T06,CCA0169,211
eucalyptus melanophitra,R015/T07,CCA0170,211
eucalyptus capillosa,R015/T09,CCA0171,300
eucalyptus capillosa,R015/T10,CCA0172,300
eucalyptus capillosa,R015/T11,CCA0173,300
eucalyptus capillosa,R015/T12,CCA0174,300
eucalyptus brockwayi,R015/T13,CCA0175,136
eucalyptus brockwayi,R015/T14,CCA0176,136
eucalyptus brockwayi,R015/T15,CCA0177,136
eucalyptus brockwayi,R015/T16,CCA0178,136
eucalyptus subangusta subsp. pusilla,R015/T19,CCA0179,278
eucalyptus subangusta subsp. cerina,R015/T20,CCA0180,301
eucalyptus subangusta subsp. cerina,R015/T21,CCA0181,301
eucalyptus subangusta subsp. cerina,R015/T23,CCA0182,301
eucalyptus densa subsp. improcera,R015/T24,CCA0183,185
eucalyptus densa subsp. improcera,R015/T27,CCA0184,185
eucalyptus preissiana subsp. lobata,R015/T28,CCA0185,179
eucalyptus preissiana subsp. lobata,R015/T31,CCA0186,179
eucalyptus rigidula,R015/T32,CCA0187,292
eucalyptus rigidula,R015/T33,CCA0188,292
eucalyptus rigidula,R015/T34,CCA0189,292
eucalyptus rigidula,R015/T35,CCA0190,292
eucalyptus tenuis,R016/T01,CCA0191,326
eucalyptus tenuis,R016/T02,CCA0192,326
eucalyptus tenuis,R016/T03,CCA0193,326
eucalyptus tenuis,R016/T04,CCA0194,326
eucalyptus salubris,R016/T05,CCA0195,342
eucalyptus salubris,R016/T06,CCA0196,342
eucalyptus salubris,R016/T07,CCA0197,342
eucalyptus salubris,R016/T08,CCA0198,342
eucalyptus clivicola,R016/T09,CCA0199,193
eucalyptus clivicola,R016/T10,CCA0200,193
eucalyptus georgei subsp. georgei,R016/T14,CCA0201,325
eucalyptus georgei subsp. georgei,R016/T15,CCA0202,325
eucalyptus tenera,R016/T17,CCA0203,238
eucalyptus tenera,R016/T18,CCA0204,238
eucalyptus tenera,R016/T19,CCA0205,238
eucalyptus tenera,R016/T20,CCA0206,238
eucalyptus macrocarpa subsp. elachantha,R016/T23,CCA0207,250
eucalyptus merrickiae,R016/T24,CCA0208,156
eucalyptus merrickiae,R016/T25,CCA0209,156
eucalyptus merrickiae,R016/T27,CCA0210,156
eucalyptus foliosa,R016/T33,CCA0211,161
eucalyptus foliosa,R016/T34,CCA0212,161
eucalyptus robusta,R016/T36,CCA0213,638
eucalyptus camphora subsp. camphora,R016/T40,CCA0214,616
eucalyptus camphora subsp. camphora,R016/T41,CCA0215,616
eucalyptus camphora subsp. camphora,R016/T42,CCA0216,616
eucalyptus camphora subsp. camphora,R016/T43,CCA0217,616
eucalyptus stellulata,R016/T44,CCA0218,582
eucalyptus suggrandis subsp. suggrandis,R017/T01,CCA0219,197
eucalyptus suggrandis subsp. suggrandis,R017/T02,CCA0220,197
eucalyptus suggrandis subsp. suggrandis,R017/T03,CCA0221,197
eucalyptus loxophleba subsp. lissophloia,R017/T05,CCA0222,139
eucalyptus loxophleba subsp. lissophloia,R017/T06,CCA0223,139
eucalyptus loxophleba subsp. lissophloia,R017/T07,CCA0224,139
eucalyptus loxophleba subsp. lissophloia,R017/T08,CCA0225,139
eucalyptus cylindriflora,R017/T12,CCA0226,144
eucalyptus pileata,R017/T13,CCA0227,191
eucalyptus pileata,R017/T15,CCA0228,191
eucalyptus varia,R017/T16,CCA0229,167
eucalyptus varia,R017/T18,CCA0230,167
eucalyptus leptocalyx subsp. leptocalyx,R017/T20,CCA0231,153
eucalyptus captiosa,R017/T25,CCA0232,203
eucalyptus ecostata,R017/T30,CCA0233,198
eucalyptus desmondensis x e. occidentalis,R018/T01,CCA0234,192
eucalyptus desmondensis,R018/T02,CCA0235,192
eucalyptus vegrandis subsp. vegrandis,R018/T04,CCA0236,201
eucalyptus vegrandis subsp. vegrandis,R018/T05,CCA0237,201
eucalyptus vegrandis subsp. vegrandis,R018/T07,CCA0238,201
eucalyptus gittinsii subsp. illucida,R018/T14,CCA0239,252
eucalyptus gittinsii subsp. illucida,R018/T15,CCA0240,252
eucalyptus phaenophylla,R018/T19,CCA0241,235
eucalyptus phaenophylla,R018/T21,CCA0242,235
eucalyptus phaenophylla,R018/T22,CCA0243,235
eucalyptus xanthonema subsp. xanthonema,R018/T23,CCA0244,202
eucalyptus xanthonema subsp. xanthonema,R018/T24,CCA0245,202
eucalyptus xanthonema subsp. xanthonema,R018/T25,CCA0246,202
eucalyptus xanthonema subsp. xanthonema,R018/T26,CCA0247,202
eucalyptus micranthera,R018/T34,CCA0248,172
eucalyptus capillosa,R019/T05,CCA0249,241
eucalyptus capillosa,R019/T06,CCA0250,241
eucalyptus capillosa,R019/T07,CCA0251,241
eucalyptus capillosa,R019/T08,CCA0252,241
eucalyptus synandra,R019/T09,CCA0253,297
eucalyptus synandra,R019/T10,CCA0254,297
eucalyptus synandra,R019/T11,CCA0255,297
eucalyptus synandra,R019/T12,CCA0256,297
eucalyptus histophylla,R019/T18,CCA0257,124
eucalyptus histophylla,R019/T19,CCA0258,124
eucalyptus histophylla,R019/T20,CCA0259,124
eucalyptus crucis subsp. lanceolata,R019/T22,CCA0260,303
eucalyptus crucis subsp. lanceolata,R019/T23,CCA0261,303
eucalyptus crucis subsp. lanceolata,R019/T24,CCA0262,303
eucalyptus kochii subsp. borealis,R019/T26,CCA0263,277
eucalyptus kochii subsp. borealis,R019/T27,CCA0264,277
eucalyptus kochii subsp. borealis,R019/T28,CCA0265,277
eucalyptus delicata,R019/T29,CCA0266,149
eucalyptus delicata,R019/T30,CCA0267,149
eucalyptus x pruiniramis,R020/T01,CCA0268,284
eucalyptus x pruiniramis,R020/T02,CCA0269,284
eucalyptus myriadena,R020/T03,CCA0270,321
eucalyptus myriadena,R020/T04,CCA0271,321
eucalyptus myriadena,R020/T05,CCA0272,321
eucalyptus myriadena,R020/T06,CCA0273,321
eucalyptus quaerenda,R020/T07,CCA0274,237
eucalyptus quaerenda,R020/T08,CCA0275,237
eucalyptus quaerenda,R020/T09,CCA0276,237
eucalyptus quaerenda,R020/T10,CCA0277,237
eucalyptus kochii subsp. kochii,R020/T11,CCA0278,288
eucalyptus kochii subsp. kochii,R020/T13,CCA0279,288
eucalyptus kochii subsp. kochii,R020/T14,CCA0280,288
eucalyptus incerata,R020/T16,CCA0281,327
eucalyptus incerata,R020/T17,CCA0282,327
eucalyptus xanthonema subsp. apposita,R020/T25,CCA0283,232
eucalyptus xanthonema subsp. apposita,R020/T26,CCA0284,232
eucalyptus xanthonema subsp. apposita,R020/T28,CCA0285,232
eucalyptus olivina,R020/T30,CCA0286,319
eucalyptus olivina,R020/T31,CCA0287,319
eucalyptus olivina,R020/T32,CCA0288,319
eucalyptus olivina,R020/T33,CCA0289,319
eucalyptus olivina,R020/T34,CCA0290,319
eucalyptus litorea,R021/T01,CCA0291,199
eucalyptus litorea,R021/T02,CCA0292,199
eucalyptus litorea,R021/T03,CCA0293,199
eucalyptus adesmophloia,R021/T06,CCA0294,216
eucalyptus phaenophylla,R021/T08,CCA0295,324
eucalyptus phaenophylla,R021/T09,CCA0296,324
eucalyptus phaenophylla,R021/T10,CCA0297,324
eucalyptus sporadica,R021/T11,CCA0298,204
eucalyptus sporadica,R021/T12,CCA0299,204
eucalyptus sporadica,R021/T13,CCA0300,204
eucalyptus sporadica,R021/T14,CCA0301,204
eucalyptus diptera,R021/T19,CCA0302,146
eucalyptus diptera,R021/T22,CCA0303,146
eucalyptus phaenophylla,R021/T23,CCA0304,196
eucalyptus phaenophylla,R021/T24,CCA0305,196
eucalyptus phaenophylla,R021/T25,CCA0306,196
eucalyptus phaenophylla,R021/T26,CCA0307,196
eucalyptus phaenophylla,R021/T31,CCA0308,236
eucalyptus phaenophylla,R021/T34,CCA0309,236
eucalyptus annulata,R021/T35,CCA0310,206
eucalyptus annulata,R021/T37,CCA0311,206
eucalyptus leptopoda subsp. arctata,R022/T01,CCA0312,276
eucalyptus leptopoda subsp. arctata,R022/T02,CCA0313,276
eucalyptus leptopoda subsp. arctata,R022/T03,CCA0314,276
eucalyptus subangusta subsp. subangusta,R022/T04,CCA0315,290
eucalyptus subangusta subsp. subangusta,R022/T05,CCA0316,290
eucalyptus dissimulata,R022/T10,CCA0317,205
eucalyptus aequioperta x e. sheathiana,R022/T11,CCA0318,307
eucalyptus aequioperta x e. sheathiana,R022/T12,CCA0319,307
eucalyptus aequioperta x e. sheathiana,R022/T13,CCA0320,307
eucalyptus caesia subsp. caesia,R022/T15,CCA0321,308
eucalyptus caesia subsp. caesia,R022/T16,CCA0322,308
eucalyptus caesia subsp. caesia,R022/T17,CCA0323,308
eucalyptus caesia subsp. caesia,R022/T18,CCA0324,308
eucalyptus websteriana,R022/T19,CCA0325,331
eucalyptus websteriana,R022/T20,CCA0326,331
eucalyptus planipes,R022/T21,CCA0327,131
eucalyptus planipes,R022/T22,CCA0328,131
eucalyptus planipes,R022/T23,CCA0329,131
eucalyptus planipes,R022/T24,CCA0330,131
eucalyptus uncinata subsp. 'esperance plains',R022/T29,CCA0331,162
eucalyptus uncinata subsp. 'esperance plains',R022/T30,CCA0332,162
eucalyptus uncinata subsp. 'esperance plains',R022/T31,CCA0333,162
eucalyptus uncinata subsp. 'esperance plains',R022/T32,CCA0334,162
eucalyptus x balanopelex,R023/T05,CCA0335,169
eucalyptus subtilis,R023/T09,CCA0336,140
eucalyptus subtilis,R023/T10,CCA0337,140
eucalyptus subtilis,R023/T11,CCA0338,140
eucalyptus subtilis,R023/T12,CCA0339,140
eucalyptus cooperiana,R023/T17,CCA0340,168
eucalyptus cooperiana,R023/T18,CCA0341,168
eucalyptus subtilis,R023/T24,CCA0342,187
eucalyptus subtilis,R023/T25,CCA0343,187
eucalyptus subtilis,R023/T26,CCA0344,187
eucalyptus subtilis,R023/T27,CCA0345,187
eucalyptus wandoo subsp. wandoo,R023/T30,CCA0346,230
eucalyptus wandoo subsp. wandoo,R023/T31,CCA0347,230
eucalyptus wandoo subsp. wandoo,R023/T32,CCA0348,230
eucalyptus wandoo subsp. wandoo,R023/T33,CCA0349,230
eucalyptus cylindrocarpa,R023/T34,CCA0350,121
eucalyptus cylindrocarpa,R023/T37,CCA0351,121
eucalyptus rigens,R024/T01,CCA0352,157
eucalyptus rigens,R024/T02,CCA0353,157
eucalyptus rigens,R024/T03,CCA0354,157
eucalyptus rigens,R024/T04,CCA0355,157
eucalyptus cerasiformis,R024/T05,CCA0356,329
eucalyptus cerasiformis,R024/T06,CCA0357,329
eucalyptus cerasiformis,R024/T07,CCA0358,329
eucalyptus cerasiformis,R024/T08,CCA0359,329
eucalyptus exigua,R024/T09,CCA0360,322
eucalyptus exigua,R024/T11,CCA0361,322
eucalyptus exigua,R024/T12,CCA0362,322
eucalyptus tephroclada,R024/T14,CCA0363,314
eucalyptus tephroclada,R024/T15,CCA0364,314
eucalyptus tephroclada,R024/T16,CCA0365,314
eucalyptus fraseri subsp. melanobasis,R024/T17,CCA0366,128
eucalyptus fraseri subsp. melanobasis,R024/T20,CCA0367,128
eucalyptus calcareana,R024/T25,CCA0368,103
eucalyptus calcareana,R024/T27,CCA0369,103
eucalyptus calcareana,R024/T28,CCA0370,103
eucalyptus misella,R024/T29,CCA0371,147
eucalyptus misella,R024/T30,CCA0372,147
eucalyptus misella,R024/T31,CCA0373,147
eucalyptus misella,R024/T32,CCA0374,147
eucalyptus decipiens,R024/T33,CCA0375,227
eucalyptus decipiens,R024/T36,CCA0376,227
eucalyptus burracoppinensis,R024/T37,CCA0377,306
eucalyptus burracoppinensis,R024/T38,CCA0378,306
eucalyptus zopherophloia,R025/T02,CCA0379,267
eucalyptus zopherophloia,R025/T03,CCA0380,267
eucalyptus zopherophloia,R025/T04,CCA0381,267
eucalyptus zopherophloia,R025/T05,CCA0382,267
eucalyptus georgei subsp. fulgida,R025/T06,CCA0383,323
eucalyptus georgei subsp. fulgida,R025/T07,CCA0384,323
eucalyptus georgei subsp. fulgida,R025/T09,CCA0385,323
eucalyptus stowardii,R025/T10,CCA0386,281
eucalyptus stowardii,R025/T11,CCA0387,281
eucalyptus stowardii,R025/T12,CCA0388,281
eucalyptus stowardii,R025/T13,CCA0389,281
eucalyptus recta,R025/T14,CCA0390,294
eucalyptus recta,R025/T15,CCA0391,294
eucalyptus recta,R025/T17,CCA0392,294
eucalyptus blaxellii,R025/T18,CCA0393,272
eucalyptus blaxellii,R025/T19,CCA0394,272
eucalyptus blaxellii,R025/T20,CCA0395,272
eucalyptus blaxellii,R025/T21,CCA0396,272
eucalyptus hebetifolia,R025/T22,CCA0397,240
eucalyptus hebetifolia,R025/T25,CCA0398,240
eucalyptus macrandra,R025/T26,CCA0399,312
eucalyptus macrandra,R025/T29,CCA0400,312
eucalyptus sheathiana,R025/T30,CCA0401,302
eucalyptus sheathiana,R025/T31,CCA0402,302
eucalyptus sheathiana,R025/T32,CCA0403,302
eucalyptus sheathiana,R025/T33,CCA0404,302
eucalyptus eudesmioides,R025/T34,CCA0405,279
eucalyptus eudesmioides,R025/T36,CCA0406,279
eucalyptus eudesmioides,R025/T37,CCA0407,279
eucalyptus diminuta,R025/T39,CCA0408,271
eucalyptus gardneri subsp. gardneri,R026/T02,CCA0409,295
eucalyptus gardneri subsp. gardneri,R026/T03,CCA0410,295
eucalyptus gardneri subsp. gardneri,R026/T04,CCA0411,295
eucalyptus armillata,R026/T05,CCA0412,287
eucalyptus armillata,R026/T07,CCA0413,287
eucalyptus arachnaea subsp. arachnaea,R026/T11,CCA0414,296
eucalyptus arachnaea subsp. arachnaea,R026/T13,CCA0415,296
eucalyptus arachnaea subsp. arachnaea,R026/T14,CCA0416,296
eucalyptus diminuta,R026/T15,CCA0417,271
eucalyptus diminuta,R026/T17,CCA0418,271
eucalyptus diminuta,R026/T18,CCA0419,271
eucalyptus kondininensis,R026/T24,CCA0420,242
eucalyptus loxophleba subsp. loxophleba,R026/T34,CCA0421,239
eucalyptus loxophleba subsp. loxophleba,R026/T35,CCA0422,239
eucalyptus loxophleba subsp. loxophleba,R026/T36,CCA0423,239
eucalyptus flocktoniae subsp. flocktoniae,R026/T37,CCA0424,190
eucalyptus neutra,R027/T01,CCA0425,315
eucalyptus neutra,R027/T02,CCA0426,315
eucalyptus neutra,R027/T03,CCA0427,315
eucalyptus dolichocera,R027/T05,CCA0428,273
eucalyptus dolichocera,R027/T06,CCA0429,273
eucalyptus dolichocera,R027/T07,CCA0430,273
eucalyptus optima,R027/T08,CCA0431,115
eucalyptus optima,R027/T09,CCA0432,115
eucalyptus optima,R027/T10,CCA0433,115
eucalyptus ewartiana x e. leptopoda subsp. arctata,R027/T11,CCA0434,280
eucalyptus ewartiana,R027/T12,CCA0435,280
eucalyptus ewartiana,R027/T13,CCA0436,280
eucalyptus brevipes,R027/T16,CCA0437,299
eucalyptus brevipes,R027/T17,CCA0438,299
eucalyptus brevipes,R027/T18,CCA0439,299
eucalyptus tenera,R027/T19,CCA0440,310
eucalyptus tenera,R027/T20,CCA0441,310
eucalyptus tenera,R027/T21,CCA0442,310
eucalyptus tenera,R027/T22,CCA0443,310
eucalyptus loxophleba subsp. gratiae,R027/T23,CCA0444,313
eucalyptus loxophleba subsp. gratiae,R027/T24,CCA0445,313
eucalyptus loxophleba subsp. gratiae,R027/T25,CCA0446,313
eucalyptus loxophleba subsp. gratiae,R027/T26,CCA0447,313
eucalyptus arachnaea - e. pluricaulis intergrade,R027/T27,CCA0448,251
eucalyptus arachnaea - e. pluricaulis intergrade,R027/T28,CCA0449,251
eucalyptus arachnaea - e. pluricaulis intergrade,R027/T29,CCA0450,251
eucalyptus petrensis,R027/T31,CCA0451,248
eucalyptus petrensis,R027/T32,CCA0452,248
eucalyptus petrensis,R027/T33,CCA0453,248
eucalyptus petrensis,R027/T34,CCA0454,248
eucalyptus ornata,R027/T37,CCA0455,243
eucalyptus ornata,R027/T38,CCA0456,243
eucalyptus balladoniensis subsp. balladoniensis,R028/T06,CCA0457,118
eucalyptus balladoniensis subsp. balladoniensis,R028/T07,CCA0458,118
eucalyptus balladoniensis subsp. balladoniensis,R028/T08,CCA0459,118
eucalyptus cornuta,R028/T16,CCA0460,173
eucalyptus lockyeri,R028/T17,CCA0461,NA
eucalyptus lockyeri,R028/T18,CCA0462,NA
eucalyptus lockyeri,R028/T19,CCA0463,NA
eucalyptus lockyeri,R028/T20,CCA0464,NA
eucalyptus polybractea,R028/T25,CCA0465,NA
eucalyptus polybractea,R028/T26,CCA0466,NA
eucalyptus polybractea,R028/T27,CCA0467,NA
eucalyptus polybractea,R028/T28,CCA0468,NA
eucalyptus leucophloia subsp. ?,R028/T37,CCA0469,NA
eucalyptus leucophloia subsp. ?,R028/T38,CCA0470,NA
eucalyptus leucophloia subsp. ?,R028/T39,CCA0471,NA
eucalyptus petiolaris,R029/T01,CCA0472,NA
eucalyptus petiolaris,R029/T04,CCA0473,NA
eucalyptus petiolaris,R029/T05,CCA0474,NA
eucalyptus flindersii,R029/T06,CCA0475,NA
eucalyptus flindersii,R029/T07,CCA0476,NA
eucalyptus flindersii,R029/T08,CCA0477,NA
eucalyptus flindersii,R029/T09,CCA0478,NA
eucalyptus calcareana,R029/T10,CCA0479,60
eucalyptus calcareana,R029/T11,CCA0480,60
eucalyptus calcareana,R029/T12,CCA0481,60
eucalyptus calcareana,R029/T13,CCA0482,60
eucalyptus praetermissa,R030/T02,CCA0483,213
eucalyptus praetermissa,R030/T04,CCA0484,213
eucalyptus dumosa,R030/T09,CCA0485,93
eucalyptus dumosa,R030/T10,CCA0486,93
eucalyptus dumosa,R030/T11,CCA0487,93
eucalyptus aspratilis,R031/T05,CCA0488,328
eucalyptus aspratilis,R031/T06,CCA0489,328
eucalyptus aspratilis,R031/T07,CCA0490,328
eucalyptus aspratilis,R031/T08,CCA0491,328
eucalyptus cylindrocarpa,R039/T01,CCA0492,526
eucalyptus cylindrocarpa,R039/T02,CCA0493,526
eucalyptus cylindrocarpa,R039/T03,CCA0494,526
eucalyptus cylindrocarpa,R039/T04,CCA0495,526
eucalyptus sp. great victoria desert,R039/T06,CCA0496,527
eucalyptus sp. great victoria desert,R039/T07,CCA0497,527
eucalyptus sp. great victoria desert,R039/T08,CCA0498,527
eucalyptus lucasii,R039/T09,CCA0499,545
eucalyptus lucasii,R039/T10,CCA0500,545
eucalyptus lucasii,R039/T11,CCA0501,545
eucalyptus lucasii,R039/T12,CCA0502,545
eucalyptus carnei,R039/T14,CCA0503,547
