currentname,RowTree,FieldID,DNNumber
eucalyptus perriniana,R197/T03,CCA3934,584
eucalyptus resinifera subsp. hemilampra,R197/T05,CCA3935,2921
eucalyptus resinifera subsp. hemilampra,R197/T07,CCA3936,2921
eucalyptus resinifera subsp. hemilampra,R197/T08,CCA3937,2921
eucalyptus scias subsp. scias,R197/T13,CCA3938,2911
eucalyptus scias subsp. scias,R197/T14,CCA3939,2911
eucalyptus scias subsp. scias,R197/T15,CCA3940,2911
eucalyptus scias subsp. scias,R197/T16,CCA3941,2911
eucalyptus tetrapleura,R197/T18,CCA3942,1242
eucalyptus tetrapleura,R197/T19,CCA3943,1242
eucalyptus tetrapleura,R197/T20,CCA3944,1242
eucalyptus oreades,R198/T05,CCA3945,628
eucalyptus microcorys,R198/T09,CCA3946,1238
eucalyptus microcorys,R198/T10,CCA3947,1238
eucalyptus microcorys,R198/T11,CCA3948,1238
eucalyptus microcorys,R198/T12,CCA3949,1238
eucalyptus microcorys,R198/T13,CCA3950,1238
eucalyptus paniculata,R198/T15,CCA3951,2903
eucalyptus paniculata,R198/T16,CCA3952,2903
eucalyptus paniculata,R198/T17,CCA3953,2903
eucalyptus scias subsp. callimastha,R198/T18,CCA3954,2908
eucalyptus scias subsp. callimastha,R198/T19,CCA3955,2908
eucalyptus scias subsp. callimastha,R198/T20,CCA3956,2908
eucalyptus scias subsp. callimastha,R198/T21,CCA3957,2908
eucalyptus socialis subsp. socialis,R199/T01,CCA3958,2890
eucalyptus socialis subsp. socialis,R199/T02,CCA3959,2890
eucalyptus socialis subsp. socialis,R199/T03,CCA3960,2890
eucalyptus socialis subsp. socialis,R199/T04,CCA3961,2890
eucalyptus ultima,R199/T05,CCA3962,2202
eucalyptus ultima,R199/T06,CCA3963,2202
eucalyptus ultima,R199/T07,CCA3964,2202
eucalyptus ultima,R199/T08,CCA3965,2202
eucalyptus wyolensis,R199/T09,CCA3966,2633
eucalyptus wyolensis,R199/T10,CCA3967,2633
eucalyptus wyolensis,R199/T11,CCA3968,2633
eucalyptus wyolensis,R199/T12,CCA3969,2633
eucalyptus socialis subsp. socialis,R199/T13,CCA3970,2955
eucalyptus socialis subsp. socialis,R199/T14,CCA3971,2955
eucalyptus socialis subsp. viridans,R199/T17,CCA3972,2593
eucalyptus socialis subsp. viridans,R199/T19,CCA3973,2593
eucalyptus socialis subsp. viridans,R199/T20,CCA3974,2593
eucalyptus socialis subsp. socialis,R199/T21,CCA3975,3172
eucalyptus socialis subsp. socialis,R199/T22,CCA3976,3172
eucalyptus socialis subsp. socialis,R199/T23,CCA3977,3172
eucalyptus socialis subsp. socialis,R199/T24,CCA3978,3172
eucalyptus longissima,R199/T25,CCA3979,2184
eucalyptus longissima,R199/T26,CCA3980,2184
eucalyptus eremicola subsp. eremicola,R199/T28,CCA3981,2614
eucalyptus eremicola subsp. eremicola,R199/T30,CCA3982,2614
eucalyptus rameliana,R199/T38,CCA3983,4287
eucalyptus rameliana,R200/T04,CCA3984,4294
eucalyptus sp. little sandy desert,R200/T05,CCA3985,4289
eucalyptus rowleyi,R200/T09,CCA3986,4281
eucalyptus gamophylla,R200/T17,CCA3987,4269
eucalyptus gamophylla,R200/T20,CCA3988,4269
eucalyptus largiflorens,R200/T21,CCA3989,4172
eucalyptus largiflorens,R200/T22,CCA3990,4172
eucalyptus largiflorens,R200/T23,CCA3991,4172
eucalyptus largiflorens,R200/T24,CCA3992,4172
eucalyptus lucasii,R200/T25,CCA3993,4283
eucalyptus lucasii,R200/T26,CCA3994,4283
eucalyptus lucasii,R200/T27,CCA3995,4283
eucalyptus lucasii,R200/T28,CCA3996,4283
eucalyptus gongylocarpa,R200/T29,CCA3997,4303
eucalyptus gongylocarpa,R200/T30,CCA3998,4303
eucalyptus gongylocarpa,R200/T31,CCA3999,4303
eucalyptus rowleyi,R201/T03,CCA4000,4277
eucalyptus rowleyi,R201/T04,CCA4001,4277
eucalyptus striaticalyx,R201/T09,CCA4002,1548
eucalyptus striaticalyx,R201/T10,CCA4003,1548
eucalyptus striaticalyx,R201/T11,CCA4004,1548
eucalyptus striaticalyx,R201/T12,CCA4005,1548
eucalyptus rowleyi,R201/T13,CCA4006,4279
eucalyptus rowleyi,R201/T15,CCA4007,4279
eucalyptus rowleyi,R201/T16,CCA4008,4279
eucalyptus aridomontana,R201/T21,CCA4009,1191
eucalyptus aridomontana,R201/T22,CCA4010,1191
eucalyptus aridomontana,R201/T23,CCA4011,1191
eucalyptus griffithsii,R201/T24,CCA4012,4305
eucalyptus griffithsii,R201/T25,CCA4013,4305
eucalyptus griffithsii,R201/T26,CCA4014,4305
eucalyptus carnei,R201/T29,CCA4015,4302
eucalyptus calycogona subsp. calycogona,R202/T01,CCA4016,3829
eucalyptus calycogona subsp. calycogona,R202/T02,CCA4017,3829
eucalyptus calycogona subsp. calycogona,R202/T04,CCA4018,3829
eucalyptus nudicaulis,R202/T08,CCA4019,4184
eucalyptus nudicaulis,R202/T09,CCA4020,4184
eucalyptus nudicaulis,R202/T10,CCA4021,4184
eucalyptus nudicaulis,R202/T11,CCA4022,4184
eucalyptus salubris,R202/T12,CCA4023,3831
eucalyptus salubris,R202/T13,CCA4024,3831
eucalyptus salubris,R202/T14,CCA4025,3831
eucalyptus melanophloia subsp. nana,R202/T21,CCA4026,4183
eucalyptus melanophloia subsp. nana,R202/T22,CCA4027,4183
eucalyptus melanophloia subsp. nana,R202/T23,CCA4028,4183
eucalyptus coolabah,R202/T24,CCA4029,4186
eucalyptus coolabah,R202/T26,CCA4030,4186
eucalyptus coolabah,R202/T27,CCA4031,4186
eucalyptus sp. little sandy desert,R202/T32,CCA4032,4284
eucalyptus sp. little sandy desert,R202/T33,CCA4033,4284
eucalyptus camaldulensis subsp. arida,R203/T01,CCA4034,4177
eucalyptus camaldulensis subsp. arida,R203/T02,CCA4035,4177
eucalyptus camaldulensis subsp. arida,R203/T03,CCA4036,4177
eucalyptus camaldulensis subsp. arida,R203/T04,CCA4037,4177
eucalyptus vittata,R203/T06,CCA4038,3830
eucalyptus normantonensis,R203/T10,CCA4039,4179
eucalyptus normantonensis,R203/T11,CCA4040,4179
eucalyptus prolixa,R203/T16,CCA4041,2281
eucalyptus leucophylla,R203/T22,CCA4042,4181
eucalyptus leucophylla,R203/T24,CCA4043,4181
eucalyptus planipes,R203/T26,CCA4044,4306
eucalyptus planipes,R203/T27,CCA4045,4306
eucalyptus planipes,R203/T28,CCA4046,4306
eucalyptus diminuta,R203/T29,CCA4047,1168
eucalyptus diminuta,R203/T30,CCA4048,1168
eucalyptus diminuta,R203/T31,CCA4049,1168
eucalyptus diminuta,R203/T32,CCA4050,1168
eucalyptus luculenta,R203/T33,CCA4051,3618
eucalyptus luculenta,R203/T34,CCA4052,3618
eucalyptus luculenta,R203/T35,CCA4053,3618
eucalyptus luculenta,R203/T36,CCA4054,3618
eucalyptus spathulata subsp. salina,R204/T03,CCA4055,3806
eucalyptus spathulata subsp. salina,R204/T04,CCA4056,3806
eucalyptus goniocalyx subsp. viridissima,R204/T05,CCA4057,3789
eucalyptus goniocalyx subsp. viridissima,R204/T06,CCA4058,3789
eucalyptus goniocalyx subsp. viridissima,R204/T07,CCA4059,3789
eucalyptus goniocalyx subsp. viridissima,R204/T08,CCA4060,3789
eucalyptus sp. truslove,R204/T09,CCA4061,3897
eucalyptus sp. truslove,R204/T10,CCA4062,3897
eucalyptus sp. truslove,R204/T11,CCA4063,3897
eucalyptus sp. truslove,R204/T12,CCA4064,3897
eucalyptus leucophylla,R204/T18,CCA4065,4236
eucalyptus leucophylla,R204/T19,CCA4066,4236
eucalyptus salicola,R204/T21,CCA4067,3882
eucalyptus salicola,R204/T22,CCA4068,3882
eucalyptus salicola,R204/T23,CCA4069,3882
eucalyptus singularis,R204/T30,CCA4070,3973
eucalyptus singularis,R204/T31,CCA4071,3973
eucalyptus singularis,R204/T32,CCA4072,3973
eucalyptus neutra,R204/T33,CCA4073,3441
eucalyptus neutra,R204/T34,CCA4074,3441
eucalyptus neutra,R204/T35,CCA4075,3441
eucalyptus neutra,R204/T36,CCA4076,3441
eucalyptus oleosa subsp. oleosa,R205/T01,CCA4077,2886
eucalyptus oleosa subsp. oleosa,R205/T02,CCA4078,2886
eucalyptus oleosa subsp. oleosa,R205/T03,CCA4079,2886
eucalyptus oleosa subsp. oleosa,R205/T04,CCA4080,2886
eucalyptus optima,R205/T08,CCA4081,2154
eucalyptus yalatensis,R205/T09,CCA4082,3879
eucalyptus yalatensis,R205/T10,CCA4083,3879
eucalyptus yalatensis,R205/T11,CCA4084,3879
eucalyptus yalatensis,R205/T12,CCA4085,3879
