TaxonoriginalDN,Collector,Collector's #,Row #,Tree #,RowTree,Year planted
Eucalyptus coolabah,-,-,132,03,R132/T03,1997
Eucalyptus coolabah,-,-,132,04,R132/T04,1997
Eucalyptus coolabah (E. barklyensis),D.Nicolle,4186,202,24,R202/T24,2002
Eucalyptus coolabah (E. barklyensis),D.Nicolle,4186,202,25,R202/T25,2002
Eucalyptus coolabah (E. barklyensis),D.Nicolle,4186,202,26,R202/T26,2002
Eucalyptus coolabah (E. barklyensis),D.Nicolle,4186,202,27,R202/T27,2002
Eucalyptus cooperiana,D.Nicolle,168,023,17,R023/T17,1993
Eucalyptus cooperiana,D.Nicolle,168,023,18,R023/T18,1993
Eucalyptus cooperiana,D.Nicolle,168,023,19,R023/T19,1993
Eucalyptus cooperiana,D.Nicolle,168,023,20,R023/T20,1993
Eucalyptus cooperiana,D.Nicolle,1813,138,08,R138/T08,1997
Eucalyptus cooperiana,D.Nicolle,1813,138,09,R138/T09,1997
Eucalyptus cooperiana,D.Nicolle,1813,138,10,R138/T10,1997
Eucalyptus cooperiana,D.Nicolle,1813,138,11,R138/T11,1997
Eucalyptus cordata subsp. cordata,D.Nicolle,1985,153,09,R153/T09,1998
Eucalyptus cordata subsp. cordata,D.Nicolle,1985,153,10,R153/T10,1998
Eucalyptus cordata subsp. cordata,D.Nicolle,1985,153,11,R153/T11,1998
Eucalyptus cordata subsp. cordata,D.Nicolle,1985,153,12,R153/T12,1998
Eucalyptus cordata subsp. cordata,D.Nicolle,6726,294,13,R294/T13,2015
Eucalyptus cordata subsp. cordata,D.Nicolle,6726,294,14,R294/T14,2015
Eucalyptus cordata subsp. cordata,D.Nicolle,6726,294,15,R294/T15,2015
Eucalyptus cordata subsp. cordata,D.Nicolle,6726,294,16,R294/T16,2015
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,156,09,R156/T09,1998
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,156,10,R156/T10,1998
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,156,11,R156/T11,1998
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,156,12,R156/T12,1998
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,342,25,R342/T25,2017
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,342,26,R342/T26,2017
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,342,27,R342/T27,2017
Eucalyptus cordata subsp. quadrangulosa,D.Nicolle,1979,342,28,R342/T28,2017
Eucalyptus cornuta,D.Nicolle,173,028,13,R028/T13,1993
Eucalyptus cornuta,D.Nicolle,173,028,14,R028/T14,1993
Eucalyptus cornuta,D.Nicolle,173,028,15,R028/T15,1993
Eucalyptus cornuta,D.Nicolle,173,028,16,R028/T16,1993
Eucalyptus cornuta,D.Nicolle,3748,230,01,R230/T01,2001
Eucalyptus cornuta,D.Nicolle,3748,230,02,R230/T02,2001
Eucalyptus cornuta,D.Nicolle,3748,230,03,R230/T03,2001
Eucalyptus cornuta,D.Nicolle,3748,230,04,R230/T04,2001
Eucalyptus cornuta ,D.Nicolle,4308,268,04,R268/T04,2004
Eucalyptus cornuta ,D.Nicolle,4308,268,05,R268/T05,2004
Eucalyptus cornuta ,D.Nicolle,4308,268,06,R268/T06,2004
Eucalyptus cornuta ,D.Nicolle,4308,268,07,R268/T07,2004
Eucalyptus cornuta ,D.Nicolle,4587,263,09,R263/T09,2004
Eucalyptus cornuta ,D.Nicolle,4587,263,10,R263/T10,2004
Eucalyptus cornuta ,D.Nicolle,4587,263,11,R263/T11,2004
Eucalyptus cornuta ,D.Nicolle,4587,263,12,R263/T12,2004
Eucalyptus cornuta ,D.Nicolle,4597,264,12,R264/T12,2004
Eucalyptus cornuta ,D.Nicolle,4597,264,13,R264/T13,2004
Eucalyptus cornuta ,D.Nicolle,4597,264,14,R264/T14,2004
Eucalyptus cornuta ,D.Nicolle,4597,264,15,R264/T15,2004
Eucalyptus coronata,D.Nicolle,2247,173,11,R173/T11,1999
Eucalyptus coronata,D.Nicolle,2247,188,36,R188/T36,2000
Eucalyptus coronata,D.Nicolle,2247,188,37,R188/T37,2000
Eucalyptus coronata,D.Nicolle,2247,188,38,R188/T38,2000
Eucalyptus corrugata,D.Nicolle,305,014,16,R014/T16,1993
Eucalyptus corrugata,D.Nicolle,305,014,17,R014/T17,1993
Eucalyptus corrugata,D.Nicolle,305,014,18,R014/T18,1993
Eucalyptus corrugata,D.Nicolle,305,014,19,R014/T19,1993
Eucalyptus corrugata,D.Nicolle,3483,220,36,R220/T36,2001
Eucalyptus corrugata,D.Nicolle,3483,220,37,R220/T37,2001
Eucalyptus corrugata,D.Nicolle,3483,220,38,R220/T38,2001
Eucalyptus corticosa,D.Nicolle,770,048,05,R048/T05,1994
Eucalyptus corticosa,D.Nicolle,770,048,06,R048/T06,1994
Eucalyptus corticosa,D.Nicolle,770,048,07,R048/T07,1994
Eucalyptus corticosa,D.Nicolle,770,048,08,R048/T08,1994
Eucalyptus corticosa,D.Nicolle,6276,285,09,R285/T09,2013
Eucalyptus corticosa,D.Nicolle,6276,285,10,R285/T10,2013
Eucalyptus corticosa,D.Nicolle,6276,285,11,R285/T11,2013
