UniqueID,Yearplanted,Row,Tree,TaxonoriginalDN,Regen.strategy,Aridityclass,AridityIndex,Diam.1.w.Bark..mm.,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Diamthickness.mm.,Volume.wood..cm3.,Leaf.dry.weight..g.,Wood.dry.weight..g.,Wooddensity.g.cm3.,Leaf.Area,Slice,Countedleaves,Total.Area,Average.Size,X.Area,SLA
181,1994,41,34,Eucalyptus stoatei,Seeder,Semiarid,0.2403,8.73,8.77,6.96,7.12,1.71,2.09,6.45,1.63,0.78,NA,UniqueID,10,130.55616,13.05562,23.98138,20.24126512
193,2000,189,31,Eucalyptus clivicola,Seeder,Semiarid,0.2295,10.92,11.25,8.62,8.12,2.715,2.58,2.8066,1.95,0.76,NA,UniqueID,8,101.431,12.679,17.39,36.1401696
193,2000,189,33,Eucalyptus clivicola,Seeder,Semiarid,0.2295,10.76,10.08,7.67,8.1,2.535,2.92,2.4957,2.37,0.81,NA,UniqueID,7,69.137,9.877,11.853,27.70244821
212,1999,170,14,Eucalyptus newbeyi,Seeder,Semiarid,0.3299,10.22,9.73,8.45,8.48,1.51,1.97,1.1157,1.4,0.71,NA,UniqueID,6,62.584,10.431,11.347,56.09393206
212,1999,170,15,Eucalyptus newbeyi,Seeder,Semiarid,0.3299,7.44,7.7,6.56,6.12,1.23,1.63,0.9679,1.2,0.74,NA,UniqueID,7,50.369,7.196,9.133,52.03946689
212,1999,170,16,Eucalyptus newbeyi,Seeder,Semiarid,0.3299,9.87,8.65,8.26,6.97,1.645,1.99,1.6838,1.46,0.73,NA,UniqueID,10,98.163,9.816,17.798,58.29849151
214,1996,85,17,Eucalyptus astringens subsp. redacta,Seeder,Semiarid,0.3299,13.08,12.68,10.63,10.14,2.495,3.87,2.7636,2.87,0.74,NA,UniqueID,8,87.205,10.901,15.367,31.55485598
214,1996,85,18,Eucalyptus astringens subsp. redacta,Seeder,Semiarid,0.3299,11.46,10.5,8.35,9.28,2.165,2.51,2.2517,1.91,0.76,NA,UniqueID,8,79.489,9.936,14.007,35.30177199
214,1996,85,19,Eucalyptus astringens subsp. redacta,Seeder,Semiarid,0.3299,8.46,7.81,6.68,5.87,1.86,1.76,3.0933,1.3,0.74,NA,UniqueID,8,94.847,11.856,16.714,30.6620761
215,1994,42,32,Eucalyptus utilis,Seeder,Semiarid,0.3299,9.43,9.64,7.85,7.27,1.975,1.71,2.5758,1.29,0.75,NA,UniqueID,9,65.88573,7.32064,12.1023,25.57874447
215,1994,42,33,Eucalyptus utilis,Seeder,Semiarid,0.3299,10.89,9.59,8.83,8.68,1.485,2.4,2.9468,1.92,0.8,NA,UniqueID,11,92.50529,8.40957,16.99195,31.39177752
215,1994,42,34,Eucalyptus utilis,Seeder,Semiarid,0.3299,10.73,10.64,8.63,9.03,1.855,2.88,3.7557,2.28,0.79,NA,UniqueID,7,93.84139,13.40591,17.23738,24.98639135
230,1999,171,27,Eucalyptus wandoo subsp. wandoo,Combination,Arid,0.1587,8.53,8.33,6.54,5.99,2.165,1.76,6.6214,1.21,0.69,NA,UniqueID,8,206.787,25.848,37.493,31.2301024
230,1999,171,28,Eucalyptus wandoo subsp. wandoo,Combination,Arid,0.1587,12.77,12.84,9.69,9.41,3.255,3.47,1.8749,2.16,0.62,NA,UniqueID,7,81.449,11.636,14.768,43.44178356
230,1999,171,30,Eucalyptus wandoo subsp. wandoo,Combination,Arid,0.1587,12.2,12.25,8.21,8.4,3.92,2.73,3.7215,1.96,0.72,NA,UniqueID,8,116.506,14.563,21.124,31.30619374
