original,name,name2,name3
Eucalyptus_arachnae_518,eucalyptus arachnae,eucalyptus_arachnae,eucalyptus_arachnae
Eucalyptus_arborella_361,eucalyptus arborella,eucalyptus_arborella,eucalyptus_arborella
Eucalyptus_arenacea_MC_10652,eucalyptus arenacea,eucalyptus_arenacea,eucalyptus_arenacea
Eucalyptus_argillacea_CANB_785537,eucalyptus argillacea,eucalyptus_argillacea,eucalyptus_argillacea
Eucalyptus_argophloia_773,eucalyptus argophloia,eucalyptus_argophloia,eucalyptus_argophloia
Eucalyptus_argutifolia_AHT_E17,eucalyptus argutifolia,eucalyptus_argutifolia,eucalyptus_argutifolia
Eucalyptus_argyphea_59,eucalyptus argyphea,eucalyptus_argyphea,eucalyptus_argyphea
Eucalyptus_aromaphloia_subsp_aromaphloia_CANB_564611,eucalyptus aromaphloia subsp. aromaphloia,eucalyptus_aromaphloia_subsp._aromaphloia,eucalyptus_aromaphloia_subsp_aromaphloia
Eucalyptus_articulata_186,eucalyptus articulata,eucalyptus_articulata,eucalyptus_articulata
Eucalyptus_aspersa_297,eucalyptus aspersa,eucalyptus_aspersa,eucalyptus_aspersa
Eucalyptus_aspratilis_AHT_E18,eucalyptus aspratilis,eucalyptus_aspratilis,eucalyptus_aspratilis
Eucalyptus_assimilans_269,eucalyptus assimilans,eucalyptus_assimilans,eucalyptus_assimilans
Eucalyptus_astringens_subsp_astringens_68,eucalyptus astringens subsp. astringens,eucalyptus_astringens_subsp._astringens,eucalyptus_astringens_subsp_astringens
Eucalyptus_atrata_8603434,eucalyptus atrata,eucalyptus_atrata,eucalyptus_atrata
Eucalyptus_badjensis_166,eucalyptus badjensis,eucalyptus_badjensis,eucalyptus_badjensis
Eucalyptus_baeuerlenii_7810671,eucalyptus baeuerlenii,eucalyptus_baeuerlenii,eucalyptus_baeuerlenii
Eucalyptus_baileyana_Mt_Annan_892003,eucalyptus baileyana,eucalyptus_baileyana,eucalyptus_baileyana
Eucalyptus_bakeri_567,eucalyptus bakeri,eucalyptus_bakeri,eucalyptus_bakeri
Eucalyptus_balanites_CANB_687715,eucalyptus balanites,eucalyptus_balanites,eucalyptus_balanites
Eucalyptus_balanopelex_AHT_E22,eucalyptus balanopelex,eucalyptus_balanopelex,eucalyptus_balanopelex
Eucalyptus_balladoniensis_subsp_balladoniensis_CANB_586833,eucalyptus balladoniensis subsp. balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis,eucalyptus_balladoniensis_subsp_balladoniensis
Eucalyptus_barberi_600,eucalyptus barberi,eucalyptus_barberi,eucalyptus_barberi
Eucalyptus_baueriana_160,eucalyptus baueriana,eucalyptus_baueriana,eucalyptus_baueriana
Eucalyptus_baxteri_8701806,eucalyptus baxteri,eucalyptus_baxteri,eucalyptus_baxteri
Eucalyptus_beaniana_CANB_842071,eucalyptus beaniana,eucalyptus_beaniana,eucalyptus_beaniana
Eucalyptus_beardiana_CANB_632554,eucalyptus beardiana,eucalyptus_beardiana,eucalyptus_beardiana
Eucalyptus_behriana_646,eucalyptus behriana,eucalyptus_behriana,eucalyptus_behriana
Eucalyptus_bensonii_Mt_Annan_830911,eucalyptus bensonii,eucalyptus_bensonii,eucalyptus_bensonii
Eucalyptus_benthamii_423,eucalyptus benthamii,eucalyptus_benthamii,eucalyptus_benthamii
Eucalyptus_beyeriana_163,eucalyptus beyeriana,eucalyptus_beyeriana,eucalyptus_beyeriana
Eucalyptus_blakelyi_211,eucalyptus blakelyi,eucalyptus_blakelyi,eucalyptus_blakelyi
Eucalyptus_blaxellii_MC_11172,eucalyptus blaxellii,eucalyptus_blaxellii,eucalyptus_blaxellii
Eucalyptus_blaxlandii_8001329,eucalyptus blaxlandii,eucalyptus_blaxlandii,eucalyptus_blaxlandii
Eucalyptus_boliviana_518876,eucalyptus boliviana,eucalyptus_boliviana,eucalyptus_boliviana
Eucalyptus_bosistoana_671,eucalyptus bosistoana,eucalyptus_bosistoana,eucalyptus_bosistoana
Eucalyptus_botryoides_304,eucalyptus botryoides,eucalyptus_botryoides,eucalyptus_botryoides
Eucalyptus_brachyandra_MC_10534,eucalyptus brachyandra,eucalyptus_brachyandra,eucalyptus_brachyandra
Eucalyptus_brachycalyx_508,eucalyptus brachycalyx,eucalyptus_brachycalyx,eucalyptus_brachycalyx
Eucalyptus_brachycorys_266,eucalyptus brachycorys,eucalyptus_brachycorys,eucalyptus_brachycorys
Eucalyptus_brachyphylla_9807043,eucalyptus brachyphylla,eucalyptus_brachyphylla,eucalyptus_brachyphylla
Eucalyptus_brassiana_CANB_598285,eucalyptus brassiana,eucalyptus_brassiana,eucalyptus_brassiana
Eucalyptus_brevifolia_CANB_785488,eucalyptus brevifolia,eucalyptus_brevifolia,eucalyptus_brevifolia
Eucalyptus_brevipes_CANB_692658,eucalyptus brevipes,eucalyptus_brevipes,eucalyptus_brevipes
Eucalyptus_brevistylis_393,eucalyptus brevistylis,eucalyptus_brevistylis,eucalyptus_brevistylis
Eucalyptus_bridgesiana_257,eucalyptus bridgesiana,eucalyptus_bridgesiana,eucalyptus_bridgesiana
Eucalyptus_brockwayi_474,eucalyptus brockwayi,eucalyptus_brockwayi,eucalyptus_brockwayi
Eucalyptus_brookeriana_subsp_brookeriana_617,eucalyptus brookeriana subsp. brookeriana,eucalyptus_brookeriana_subsp._brookeriana,eucalyptus_brookeriana_subsp_brookeriana
Eucalyptus_brunnea_619,eucalyptus brunnea,eucalyptus_brunnea,eucalyptus_brunnea
Eucalyptus_buprestium_CANB_632568,eucalyptus buprestium,eucalyptus_buprestium,eucalyptus_buprestium
Eucalyptus_burdettiana_510,eucalyptus burdettiana,eucalyptus_burdettiana,eucalyptus_burdettiana
Eucalyptus_burgessiana_ANBG_no_sn,eucalyptus burgessiana,eucalyptus_burgessiana,eucalyptus_burgessiana
Eucalyptus_burracoppinensis_CANB_794037,eucalyptus burracoppinensis,eucalyptus_burracoppinensis,eucalyptus_burracoppinensis
Eucalyptus_cadens_285,eucalyptus cadens,eucalyptus_cadens,eucalyptus_cadens
Eucalyptus_caesia_subsp_caesia_52,eucalyptus caesia subsp. caesia,eucalyptus_caesia_subsp._caesia,eucalyptus_caesia_subsp_caesia
Eucalyptus_calcareana_455,eucalyptus calcareana,eucalyptus_calcareana,eucalyptus_calcareana
Eucalyptus_calcicola_subsp_calcicola_176,eucalyptus calcicola subsp. calcicola,eucalyptus_calcicola_subsp._calcicola,eucalyptus_calcicola_subsp_calcicola
Eucalyptus_caleyi_subsp_caleyi_651,eucalyptus caleyi subsp. caleyi,eucalyptus_caleyi_subsp._caleyi,eucalyptus_caleyi_subsp_caleyi
Eucalyptus_caliginosa_298,eucalyptus caliginosa,eucalyptus_caliginosa,eucalyptus_caliginosa
Eucalyptus_calycogona_subsp_calycogona_362,eucalyptus calycogona subsp. calycogona,eucalyptus_calycogona_subsp._calycogona,eucalyptus_calycogona_subsp_calycogona
Eucalyptus_camaldulensis_subsp_camaldulensis_ANBG_8401853,eucalyptus camaldulensis subsp. camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis,eucalyptus_camaldulensis_subsp_camaldulensis
Eucalyptus_campaspe_522,eucalyptus campaspe,eucalyptus_campaspe,eucalyptus_campaspe
Eucalyptus_camphora_subsp_camphora_621,eucalyptus camphora subsp. camphora,eucalyptus_camphora_subsp._camphora,eucalyptus_camphora_subsp_camphora
Eucalyptus_canaliculata_698,eucalyptus canaliculata,eucalyptus_canaliculata,eucalyptus_canaliculata
Eucalyptus_canescens_subsp_canescens_181,eucalyptus canescens subsp. canescens,eucalyptus_canescens_subsp._canescens,eucalyptus_canescens_subsp_canescens
Eucalyptus_canobolensis_497,eucalyptus canobolensis,eucalyptus_canobolensis,eucalyptus_canobolensis
Eucalyptus_capillosa_469,eucalyptus capillosa,eucalyptus_capillosa,eucalyptus_capillosa
Eucalyptus_capitellata_260,eucalyptus capitellata,eucalyptus_capitellata,eucalyptus_capitellata
Eucalyptus_captiosa_CANB_799340,eucalyptus captiosa,eucalyptus_captiosa,eucalyptus_captiosa
Eucalyptus_carnabyi_CANB_632591,eucalyptus carnabyi,eucalyptus_carnabyi,eucalyptus_carnabyi
Eucalyptus_carnea_718,eucalyptus carnea,eucalyptus_carnea,eucalyptus_carnea
Eucalyptus_carnei_757,eucalyptus carnei,eucalyptus_carnei,eucalyptus_carnei
Eucalyptus_castrensis_ANBG_653995,eucalyptus castrensis,eucalyptus_castrensis,eucalyptus_castrensis
Eucalyptus_celastroides_subsp_celastroides_196,eucalyptus celastroides subsp. celastroides,eucalyptus_celastroides_subsp._celastroides,eucalyptus_celastroides_subsp_celastroides
Eucalyptus_cephalocarpa_178,eucalyptus cephalocarpa,eucalyptus_cephalocarpa,eucalyptus_cephalocarpa
Eucalyptus_ceracea_CANB_551306,eucalyptus ceracea,eucalyptus_ceracea,eucalyptus_ceracea
Eucalyptus_cerasiformis_CANB_586828,eucalyptus cerasiformis,eucalyptus_cerasiformis,eucalyptus_cerasiformis
Eucalyptus_ceratocorys_519,eucalyptus ceratocorys,eucalyptus_ceratocorys,eucalyptus_ceratocorys
Eucalyptus_cernua_436,eucalyptus cernua,eucalyptus_cernua,eucalyptus_cernua
Eucalyptus_chartaboma_CANB_703248,eucalyptus chartaboma,eucalyptus_chartaboma,eucalyptus_chartaboma
Eucalyptus_chlorophylla_CANB_785565,eucalyptus chlorophylla,eucalyptus_chlorophylla,eucalyptus_chlorophylla
Eucalyptus_cinerea_subsp_triplex_8703938,eucalyptus cinerea subsp. triplex,eucalyptus_cinerea_subsp._triplex,eucalyptus_cinerea_subsp_triplex
Eucalyptus_cladocalyx_ANBG_652722,eucalyptus cladocalyx,eucalyptus_cladocalyx,eucalyptus_cladocalyx
Eucalyptus_clelandii_581,eucalyptus clelandii,eucalyptus_clelandii,eucalyptus_clelandii
Eucalyptus_clivicola_66,eucalyptus clivicola,eucalyptus_clivicola,eucalyptus_clivicola
Eucalyptus_cloeziana_241,eucalyptus cloeziana,eucalyptus_cloeziana,eucalyptus_cloeziana
Eucalyptus_cneorifolia_195,eucalyptus cneorifolia,eucalyptus_cneorifolia,eucalyptus_cneorifolia
Eucalyptus_comitae_vallis_465,eucalyptus comitae,eucalyptus_comitae,eucalyptus_comitae
Eucalyptus_communalis_502,eucalyptus communalis,eucalyptus_communalis,eucalyptus_communalis
Eucalyptus_concinna_457,eucalyptus concinna,eucalyptus_concinna,eucalyptus_concinna
Eucalyptus_conferruminata_subsp_recherche_114,eucalyptus conferruminata subsp. recherche,eucalyptus_conferruminata_subsp._recherche,eucalyptus_conferruminata_subsp_recherche
Eucalyptus_confluens_CANB_785543,eucalyptus confluens,eucalyptus_confluens,eucalyptus_confluens
Eucalyptus_conglobata_subsp_conglobata_5,eucalyptus conglobata subsp. conglobata,eucalyptus_conglobata_subsp._conglobata,eucalyptus_conglobata_subsp_conglobata
Eucalyptus_conglomerata,eucalyptus conglomerata,eucalyptus_conglomerata,eucalyptus_conglomerata
Eucalyptus_conica_AHT_E9,eucalyptus conica,eucalyptus_conica,eucalyptus_conica
Eucalyptus_consideniana_219,eucalyptus consideniana,eucalyptus_consideniana,eucalyptus_consideniana
Eucalyptus_conspicua_113,eucalyptus conspicua,eucalyptus_conspicua,eucalyptus_conspicua
Eucalyptus_conveniens_48,eucalyptus conveniens,eucalyptus_conveniens,eucalyptus_conveniens
Eucalyptus_coolabah_MC_10582,eucalyptus coolabah,eucalyptus_coolabah,eucalyptus_coolabah
Eucalyptus_cooperiana_293,eucalyptus cooperiana,eucalyptus_cooperiana,eucalyptus_cooperiana
Eucalyptus_cordata_ANBG_8804430,eucalyptus cordata,eucalyptus_cordata,eucalyptus_cordata
Eucalyptus_cornuta_65,eucalyptus cornuta,eucalyptus_cornuta,eucalyptus_cornuta
Eucalyptus_coronata_658,eucalyptus coronata,eucalyptus_coronata,eucalyptus_coronata
Eucalyptus_corrugata_7,eucalyptus corrugata,eucalyptus_corrugata,eucalyptus_corrugata
Eucalyptus_corticosa_ANBG_54339,eucalyptus corticosa,eucalyptus_corticosa,eucalyptus_corticosa
Eucalyptus_cosmophylla_ANBG_8409259,eucalyptus cosmophylla,eucalyptus_cosmophylla,eucalyptus_cosmophylla
Eucalyptus_crebra_ANBG_732903,eucalyptus crebra,eucalyptus_crebra,eucalyptus_crebra
Eucalyptus_crenulata_307,eucalyptus crenulata,eucalyptus_crenulata,eucalyptus_crenulata
Eucalyptus_creta_29,eucalyptus creta,eucalyptus_creta,eucalyptus_creta
Eucalyptus_cretata_271,eucalyptus cretata,eucalyptus_cretata,eucalyptus_cretata
Eucalyptus_croajingolensis_156,eucalyptus croajingolensis,eucalyptus_croajingolensis,eucalyptus_croajingolensis
Eucalyptus_crucis_subsp_crucis_45,eucalyptus crucis subsp. crucis,eucalyptus_crucis_subsp._crucis,eucalyptus_crucis_subsp_crucis
Eucalyptus_cunninghamii_9806132,eucalyptus cunninghamii,eucalyptus_cunninghamii,eucalyptus_cunninghamii
Eucalyptus_cuprea_437,eucalyptus cuprea,eucalyptus_cuprea,eucalyptus_cuprea
Eucalyptus_cupularis_CANB_785563,eucalyptus cupularis,eucalyptus_cupularis,eucalyptus_cupularis
Eucalyptus_curtisii_632,eucalyptus curtisii,eucalyptus_curtisii,eucalyptus_curtisii
Eucalyptus_cuspidata_6,eucalyptus cuspidata,eucalyptus_cuspidata,eucalyptus_cuspidata
Eucalyptus_cyanophylla_338,eucalyptus cyanophylla,eucalyptus_cyanophylla,eucalyptus_cyanophylla
Eucalyptus_cyclostoma_9903101,eucalyptus cyclostoma,eucalyptus_cyclostoma,eucalyptus_cyclostoma
Eucalyptus_cylindriflora_CANB_794327,eucalyptus cylindriflora,eucalyptus_cylindriflora,eucalyptus_cylindriflora
Eucalyptus_cylindrocarpa_AHT_E8,eucalyptus cylindrocarpa,eucalyptus_cylindrocarpa,eucalyptus_cylindrocarpa
Eucalyptus_cypellocarpa_665,eucalyptus cypellocarpa,eucalyptus_cypellocarpa,eucalyptus_cypellocarpa
Eucalyptus_dalrympleana_subsp_dalrympleana_ANBG_7804378,eucalyptus dalrympleana subsp. dalrympleana,eucalyptus_dalrympleana_subsp._dalrympleana,eucalyptus_dalrympleana_subsp_dalrympleana
Eucalyptus_dawsonii_762,eucalyptus dawsonii,eucalyptus_dawsonii,eucalyptus_dawsonii
Eucalyptus_dealbata_212,eucalyptus dealbata,eucalyptus_dealbata,eucalyptus_dealbata
Eucalyptus_deanei_623,eucalyptus deanei,eucalyptus_deanei,eucalyptus_deanei
Eucalyptus_decipiens_subsp_decipens_72,eucalyptus decipiens subsp. decipens,eucalyptus_decipiens_subsp._decipens,eucalyptus_decipiens_subsp_decipens
Eucalyptus_decolor_486,eucalyptus decolor,eucalyptus_decolor,eucalyptus_decolor
Eucalyptus_decorticans_73445,eucalyptus decorticans,eucalyptus_decorticans,eucalyptus_decorticans
Eucalyptus_decurva_MC_10965,eucalyptus decurva,eucalyptus_decurva,eucalyptus_decurva
Eucalyptus_deflexa_364,eucalyptus deflexa,eucalyptus_deflexa,eucalyptus_deflexa
Eucalyptus_deglupta_BG_859,eucalyptus deglupta,eucalyptus_deglupta,eucalyptus_deglupta
