phylo.tip.label.match,new.tip_unique.ID,uniqueID
eucalyptus_angulosa,eucalyptus_angulosa_3746,3746
eucalyptus_angulosa,eucalyptus_angulosa_(e._grossifolia)_3554,3554
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant)_939,939
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant)_5905,5905
eucalyptus_angustissima,eucalyptus_angustissima_150,150
eucalyptus_angustissima,eucalyptus_angustissima_2264,2264
eucalyptus_angustissima,eucalyptus_angustissima_5996,5996
eucalyptus_kessellii,eucalyptus_annettae_6359,6359
eucalyptus_apiculata,eucalyptus_apiculata_617,617
eucalyptus_apiculata,eucalyptus_apiculata_(e._laophila)_772,772
eucalyptus_apothalassica,eucalyptus_apothalassica_1263,1263
eucalyptus_approximans,eucalyptus_approximans_2090,2090
eucalyptus_aquilina,eucalyptus_aquilina_176,176
eucalyptus_aquilina,eucalyptus_aquilina_4604,4604
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arachnaea_296,296
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arrecta_2216,2216
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arrecta_5556,5556
eucalyptus_arborella,eucalyptus_arborella_1127,1127
eucalyptus_arborella,eucalyptus_arborella_4803,4803
eucalyptus_aromaphloia,eucalyptus_arcana_1800,1800
eucalyptus_aromaphloia,eucalyptus_arcana_4319,4319
eucalyptus_gunnii,eucalyptus_archeri_1990,1990
eucalyptus_gunnii,eucalyptus_archeri_7389,7389
eucalyptus_arenacea,eucalyptus_arenacea_1588,1588
eucalyptus_argutifolia,eucalyptus_argutifolia_249,249
eucalyptus_argutifolia,eucalyptus_argutifolia_4626,4626
eucalyptus_lucasii,eucalyptus_aridomontana_1191,1191
eucalyptus_lucasii,eucalyptus_aridomontana_5766,5766
eucalyptus_lucasii,eucalyptus_aridomontana_5778,5778
eucalyptus_erythronema,eucalyptus_armillata_287,287
eucalyptus_aromaphloia,eucalyptus_aromaphloia_4313,4313
eucalyptus_aromaphloia,eucalyptus_aromaphloia_(smooth_bark)_355,355
eucalyptus_aspersa,eucalyptus_aspersa_1149,1149
eucalyptus_aspersa,eucalyptus_aspersa_1888,1888
eucalyptus_aspersa,eucalyptus_aspersa_1890,1890
eucalyptus_aspratilis,eucalyptus_aspratilis_328,328
eucalyptus_aspratilis,eucalyptus_aspratilis_7001,7001
eucalyptus_aspratilis,eucalyptus_aspratilis_-_e._sporadica_intergrade_5468,5468
eucalyptus_assimilans,eucalyptus_assimilans_1826,1826
eucalyptus_assimilans,eucalyptus_assimilans_4551,4551
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3423,3423
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3438,3438
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3503,3503
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_194,194
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_214,214
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_2243,2243
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_(pink_form)_3585,3585
eucalyptus_miniata,eucalyptus_aurantiaca_1903,1903
eucalyptus_miniata,eucalyptus_aurantiaca_4224,4224
eucalyptus_arenacea,eucalyptus_aurifodina_6104,6104
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_1227,1227
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_6263,6263
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_6312,6312
eucalyptus_baileyana,eucalyptus_baileyana_665,665
eucalyptus_baileyana,eucalyptus_baileyana_2938,2938
eucalyptus_baileyana,eucalyptus_baileyana_6455,6455
