Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0.25,0.5146,834,35,1253,CCA1253
1,0.7876,1149,35,612,CCA612
1,0.3224,650,28,1271,CCA1271
2.666666667,0.2801,475,20,1131,CCA1131
1.5,0.4609,863,25,5538,CCA5538
3.5,0.4464,844,25,1146,CCA1146
0,0.1463,458,8,6641,CCA6641
0,0.5109,1202,20,2456,CCA2456
0,0.3037,797,10,6652,CCA6652
0,0.1686,489,10,6403,CCA6403
0,0.0172,59,4,1910,CCA1910
1,0.3329,658,30,2112,CCA2112
2,0.6699,1062,30,1232,CCA1232
0.3333333,0.4952,804,5,636,CCA636
2,0.1073,268,15,671,CCA671
0,0.2456,681,8,2447,CCA2447
2,0.7802,1121,20,6306,CCA6306
2,0.8464,1313,20,2911,CCA2911
2.5,0.7621,1145,20,2908,CCA2908
3,0.7482,1086,20,600,CCA600
1.5,0.7082,1042,10,6191,CCA6191
0,0.6759,997,30,6203,CCA6203
4,0.7685,1135,30,630,CCA630
0.3333333,0.6675,1221,45,6449,CCA6449
0,0.8178,1357,30,6205,CCA6205
0,0.7702,1528,25,6438,CCA6438
3.333333333,1.0336,1984,25,2518,CCA2518
1.5,0.9219,1557,75,2524,CCA2524
3,0.8687,1391,75,1237,CCA1237
1.5,0.682,997,45,1762,CCA1762
2.333333,0.7403,1185,45,642,CCA642
0.6666667,0.813,1339,45,6206,CCA6206
2.333333333,0.8598,1391,45,2921,CCA2921
2.5,0.5573,1193,20,2512,CCA2512
1,0.8288,1724,20,1316,CCA1316
1.5,0.5714,882,30,668,CCA668
1.5,0.6038,825,30,604,CCA604
1.25,0.4977,1062,35,1314,CCA1314
0.75,0.0774,249,30,5747,CCA5747
0.333333333,0.0998,312,30,4258,CCA4258
0.5,0.3313,863,30,4231,CCA4231
0,0.2744,715,30,2489,CCA2489
0.25,0.1545,366,30,6389,CCA6389
0,0.1995,390,30,6136,CCA6136
0,0.2315,478,30,5279,CCA5279
0.5,0.1081,248,30,5233,CCA5233
1,0.2738,481,40,5156,CCA5156
0,0.2442,491,40,4733,CCA4733
0.25,0.2842,480,40,823,CCA823
1.25,0.1496,353,30,5571,CCA5571
0.5,0.2302,531,30,5077,CCA5077
1.5,0.0951,278,30,4177,CCA4177
2.25,0.1773,415,30,3523,CCA3523
0,0.0966,238,30,2555,CCA2555
2,0.126,382,30,1206,CCA1206
0.5,0.2021,455,30,2553,CCA2553
0.25,0.018,57,10,1369,CCA1369
0,0.3934,662,10,751,CCA751
0,0.1508,339,4,6499,CCA6499
0,0.1971,408,4,730,CCA730
0,0.1701,492,6,6401,CCA6401
0,0.1631,476,6,4184,CCA4184
0.25,0.6559,1215,20,6482,CCA6482
0,0.3483,665,20,6168,CCA6168
0.2,0.3765,709,20,2932,CCA2932
1,0.3486,686,20,1261,CCA1261
0.5,0.3074,610,20,682,CCA682
0,0.1949,452,6,6497,CCA6497
0,0.2063,519,6,1284,CCA1284
0.5,0.1907,432,5,Eflinder_1,Eflinder_1
0,0.2118,456,5,6387,CCA6387
0,0.1227,272,5,5230,CCA5230
0.5,0.0079,27,20,11239,CCA11239
0,0.4748,783,20,6241,CCA6241
0.5,0.5698,937,20,2085,CCA2085
0.2,1.1891,2231,50,13661,CCA13661
1.5,0.2023,1054,50,13398,CCA13398
1.75,0.5833,1102,50,713,CCA713
0,0.3692,668,30,1272,CCA1272
0,0.4827,706,20,1736,CCA1736
0.5,0.5699,967,30,2937,CCA2937
0.5,0.8963,1508,10,720,CCA720
0.5,0.3822,692,8,6175,CCA6175
0,0.4278,732,8,1254,CCA1254
2.333333,0.7162,1149,20,667,CCA667
2,0.7566,1243,15,1241,CCA1241
0,0.3524,682,10,6173,CCA6173
0,0.3537,681,20,6806,CCA6806
0,0.3247,652,20,6464,CCA6464
0,0.2238,450,20,6148,CCA6148
0.75,0.411,735,20,1255,CCA1255
0.75,0.4751,787,20,675,CCA675
0,0.4651,747,25,3796,CCA3796
0.3333333,0.5571,886,25,722,CCA722
0.25,0.1482,449,13,2689,CCA2689
0,0.101,294,13,1703,CCA1703
0,0.1125,322,13,1209,CCA1209
0.5,0.5694,767,20,7365,CCA7365
0,0.9998,1790,9,6419,CCA6419
1,0.8499,1501,9,1323,CCA1323
0,0.259,604,12,5144,CCA5144
0.333333333,0.8819,1564,12,1309,CCA1309
0,0.3916,720,10,6164,CCA6164
0,0.5749,899,10,6160,CCA6160
0,0.1018,251,8,6502,CCA6502
0,0.1015,252,8,2964,CCA2964
0,0.1884,380,8,6147,CCA6147
0,0.2139,452,8,728,CCA728
0,0.4983,805,20,6242,CCA6242
0,0.3929,742,20,6171,CCA6171
0.3333333,0.4164,753,20,724,CCA724
0.75,0.4153,765,20,723,CCA723
1,0.5469,1004,20,716,CCA716
1,0.6757,1212,20,6486,CCA6486
1,0.4423,798,20,2107,CCA2107
2,2.1893,2030,20,7398,CCA7398
1,1.4637,1379,50,7406,CCA7406
0.666666667,0.8855,1416,18,2089,CCA2089
1,0.5821,859,30,650,CCA650
3.25,0.5953,900,35,669,CCA669
3.25,0.5498,906,15,3209,CCA3209
0.5,0.6255,927,15,1763,CCA1763
1.666667,0.7309,1165,10,641,CCA641
0,0.2598,703,6,6645,CCA6645
0,0.0924,289,10,539,CCA539
0,0.257,679,6,2498,CCA2498
0.25,0.3525,637,40,6457,CCA6457
2,0.8993,1437,40,1239,CCA1239
2,0.78,1080,7,3797,CCA3797
1.75,0.7802,1121,40,6307,CCA6307
2.25,0.6331,901,40,1739,CCA1739
0,0.4703,574,16,7411,CCA7411
0,0.4703,574,16,1983,CCA1983
2.25,0.7742,1067,50,618,CCA618
4,0.5462,866,65,633,CCA633
3.333333333,0.6025,907,10,5024,CCA5024
0.5,0.7529,1003,40,6782,CCA6782
2,0.5519,703,25,6333,CCA6333
3.666667,0.797,1232,25,576,CCA576
2.75,0.673,929,10,616,CCA616
2,0.5058,761,10,762,CCA762
1.333333333,0.7219,945,40,1745,CCA1745
1,0.6625,949,25,2950,CCA2950
0.6666667,0.5375,847,25,760,CCA760
1.5,0.7825,1049,25,5271,CCA5271
1,0.5384,858,25,570,CCA570
2.25,0.0754,146,20,1368,CCA1368
0.5,0.719,1035,25,6231,CCA6231
1,0.5267,853,25,6157,CCA6157
1,0.5787,862,25,648,CCA648
2.75,0.4895,709,45,1735,CCA1735
1.333333333,0.5805,781,50,1764,CCA1764
1,0.707,795,70,1986,CCA1986
2.333333333,0.6264,831,70,1726,CCA1726
4,0.2589,483,45,3212,CCA3212
2.5,0.8102,1006,45,468,CCA468
0.75,0.6224,689,8,7412,CCA7412
4,0.5615,695,8,1989,CCA1989
1.25,1.0828,1112,25,1979,CCA1979
3.75,0.7974,1016,10,4314,CCA4314
3,0.6315,830,10,4311,CCA4311
2,0.4209,699,25,1772,CCA1772
1,0.5167,687,45,2068,CCA2068
2.25,0.7696,935,45,598,CCA598
0,0.6849,869,20,6312,CCA6312
0.25,0.8764,1212,20,6263,CCA6263
0,0.3189,801,15,1326,CCA1326
1.25,0.483,785,15,2951,CCA2951
1.25,0.4655,646,15,583,CCA583
1.75,0.494,722,15,3789,CCA3789
2,0.3493,746,15,449,CCA449
0.75,0.4826,776,15,2952,CCA2952
0.75,0.2118,456,6,6388,CCA6388
2,0.1351,331,6,565,CCA565
0.3333333,0.5235,787,20,653,CCA653
0.25,0.9096,1093,40,6282,CCA6282
0.75,0.9536,1300,20,3799,CCA3799
2.5,0.5983,820,20,581,CCA581
2.5,0.7229,942,20,609,CCA609
0,0.5334,745,20,7364,CCA7364
4,0.6673,930,15,656,CCA656
1.666666667,0.5416,775,30,1765,CCA1765
4,0.6533,919,30,1731,CCA1731
3.5,0.8736,1103,30,1725,CCA1725
2,0.6801,943,20,1730,CCA1730
3,0.8831,986,35,1743,CCA1743
1,1.5363,1631,50,7372,CCA7372
2.5,0.5283,841,10,569,CCA569
0.25,0.5464,802,15,6277,CCA6277
3,0.5374,772,15,3211,CCA3211
0.5,0.5535,718,10,6323,CCA6323
2,0.6078,880,10,1226,CCA1226
3,0.9273,1155,40,4513,CCA4513
2.5,0.4851,792,65,2946,CCA2946
2.75,0.7253,895,10,591,CCA591
4,0.8351,1085,12,1222,CCA1222
0,0.2612,441,15,7427,CCA7427
0.5,0.4858,704,8,6781,CCA6781
0.5,0.5612,829,8,6276,CCA6276
0,0.8006,862,7,1975,CCA1975
3,0.5678,765,4,1755,CCA1755
0.25,0.4877,682,5,4883,CCA4883
4,2.1538,1783,4,7403,CCA7403
4,0.4312,688,15,776,CCA776
1.333333333,0.5371,853,15,1773,CCA1773
3,0.9912,1313,15,1774,CCA1774
0,0.8486,870,20,7402,CCA7402
1,0.5587,866,15,6196,CCA6196
0,0.6006,904,15,672,CCA672
0,0.6408,882,10,7355,CCA7355
0.75,0.6328,923,20,6228,CCA6228
3,0.6625,949,20,2948,CCA2948
1.666667,0.6171,950,15,6194,CCA6194
0.5,0.5499,885,35,6249,CCA6249
1,0.0544,130,35,4700,CCA4700
1,0.6431,849,35,1750,CCA1750
3.333333333,0.757,1073,5,1757,CCA1757
2.333333333,0.6625,949,65,2949,CCA2949
2.666666667,0.5322,768,65,4745,CCA4745
1.333333333,0.7115,891,45,1767,CCA1767
2,1.0262,1539,30,6798,CCA6798
3.333333333,0.5309,860,40,3203,CCA3203
0.75,1.0539,1195,10,7379,CCA7379
0.25,0.6224,933,90,6158,CCA6158
1,0.5909,818,15,7235,CCA7235
0,1.053,1176,6,7425,CCA7425
0.5,1.6419,1767,6,1969,CCA1969
0.6666667,0.2343,412,10,6108,CCA6108
1.25,0.3242,531,10,5907,CCA5907
2,0.3242,531,10,941,CCA941
3.25,1.4133,1317,15,7410,CCA7410
3,1.3715,1312,25,7407,CCA7407
1,1.1648,1081,12,7389,CCA7389
3.666666667,0.5541,861,40,5022,CCA5022
3.75,0.6325,913,40,2941,CCA2941
1.25,1.063,1135,40,6736,CCA6736
4,1.1773,1464,40,4867,CCA4867
0.5,0.925,1150,35,7387,CCA7387
1.333333,0.8955,1162,20,6217,CCA6217
3,0.7283,963,10,4516,CCA4516
1.5,0.6903,902,10,1747,CCA1747
3.5,0.7068,989,20,1741,CCA1741
0.3333333,0.5033,733,20,805,CCA805
0.3333333,0.4933,714,15,6121,CCA6121
0,0.4765,680,15,6114,CCA6114
3.5,0.9026,1128,15,4318,CCA4318
2.666666667,0.6562,860,18,4313,CCA4313
4,0.8874,1109,18,4319,CCA4319
1.75,0.159,397,4,1800,CCA1800
0.25,0.6078,776,20,6319,CCA6319
0.25,0.48,705,20,6297,CCA6297
3.25,0.5872,892,15,2939,CCA2939
0,0.138,340,4,5708,CCA5708
0,0.0767,248,5,4279,CCA4279
0,0.069,211,10,4283,CCA4283
0,0.0911,275,10,545,CCA545
0,0.1469,428,5,5778,CCA5778
0,0.1349,397,5,1191,CCA1191
0,0.1552,346,5,5463,CCA5463
0,0.144,350,5,3766,CCA3766
0,0.1069,276,5,2761,CCA2761
0,0.1193,273,5,339,CCA339
0,0.1326,325,6,3536,CCA3536
1,0.254,565,10,1154,CCA1154
0,0.1394,430,6,1194,CCA1194
0,0.0911,291,10,2684,CCA2684
0,0.0956,276,10,427,CCA427
0,0.0753,254,3,1189,CCA1189
0,0.3061,823,5,4241,CCA4241
0,0.1481,361,15,5568,CCA5568
0,0.1032,308,15,2436,CCA2436
0,0.0847,243,15,1178,CCA1178
1,0.3344,665,25,1267,CCA1267
0.5,0.0058,19,25,694,CCA694
0,0.3478,652,25,689,CCA689
0,0.106,338,12,1187,CCA1187
0,0.0959,279,12,1183,CCA1183
0,0.0916,287,12,541,CCA541
1.5,0.6139,1036,40,1245,CCA1245
0,0.2967,489,5,825,CCA825
0.75,0.0976,168,5,Ealb_1,Ealb_1
0.5,0.3017,491,5,3180,CCA3180
0,0.325,528,5,942,CCA942
0.333333333,0.7566,1243,30,1242,CCA1242
0.5,0.3134,615,35,685,CCA685
0,0.6548,1002,8,2081,CCA2081
0.333333333,0.4389,900,35,2544,CCA2544
1,0.6368,1085,35,666,CCA666
0,0.6759,997,8,2927,CCA2927
0,0.3167,616,35,680,CCA680
0,0.2829,624,35,2531,CCA2531
0.25,0.3203,686,35,5133,CCA5133
0.75,0.2887,649,35,2532,CCA2532
0,0.5734,1231,35,2514,CCA2514
2,0.9434,1939,35,1317,CCA1317
0,0.2766,590,35,6495,CCA6495
0,0.3159,672,35,6453,CCA6453
0,0.3929,742,35,6170,CCA6170
0,0.458,792,15,2930,CCA2930
0,0.3752,648,30,746,CCA746
0,0.3714,679,20,2104,CCA2104
0.75,0.4871,912,25,2545,CCA2545
0,0.3412,669,20,2549,CCA2549
0,0.3058,612,20,2117,CCA2117
0.3333333,0.3159,620,20,683,CCA683
1,0.3433,667,40,1260,CCA1260
0.25,0.4731,830,30,2111,CCA2111
1.25,0.0183,62,30,706,CCA706
0,0.3321,654,20,1264,CCA1264
0.333333333,0.6081,870,25,1738,CCA1738
0.25,0.4439,652,25,6785,CCA6785
1.25,0.4878,814,20,2899,CCA2899
0.5,0.313,520,20,6106,CCA6106
0,0.3076,509,10,6085,CCA6085
0.75,0.3233,523,10,1716,CCA1716
0,0.5071,1082,18,1315,CCA1315
0,0.1271,380,10,4186,CCA4186
0,0.1191,285,10,2957,CCA2957
0,0.0964,282,10,1355,CCA1355
2,0.352,759,30,1297,CCA1297
0,0.3058,612,25,2116,CCA2116
0.25,0.8186,1482,15,1308,CCA1308
0,0.1216,327,5,1353,CCA1353
0,0.2728,715,15,1339,CCA1339
0.25,0.2905,654,9,5136,CCA5136
0.333333333,0.8318,1487,20,1305,CCA1305
0.25,0.3251,647,15,6472,CCA6472
0,0.1221,346,20,6661,CCA6661
1,0.0739,224,20,2677,CCA2677
0,0.1816,401,20,2554,CCA2554
0,0.1178,333,20,2435,CCA2435
0,0.0934,274,20,423,CCA423
0.75,0.5528,836,8,2945,CCA2945
0,0.2221,522,17,1281,CCA1281
0,0.288,753,7,2500,CCA2500
0,0.3023,641,10,1276,CCA1276
0.25,0.4369,695,20,743,CCA743
1,0.3791,653,20,747,CCA747
0.25,0.2951,634,20,698,CCA698
0,0.2771,600,15,1279,CCA1279
0,0.3585,657,15,1275,CCA1275
1,0.4324,790,22,2106,CCA2106
0,0.2708,631,18,1293,CCA1293
0,0.3877,699,8,6176,CCA6176
0,0.1985,415,8,729,CCA729
0,0.1424,310,12,5929,CCA5929
0,0.1814,387,12,5281,CCA5281
0,0.142,303,12,1691,CCA1691
0,0.4056,680,5,2083,CCA2083
1.5,0.7237,1080,30,2080,CCA2080
1,0.7833,1228,30,2920,CCA2920
0,0.3419,882,10,4226,CCA4226
0,0.1345,424,10,2440,CCA2440
1.25,0.4875,993,25,2526,CCA2526
0,0.4802,982,12,2520,CCA2520
1.5,0.3209,838,10,1916,CCA1916
0.5,0.2524,581,35,1289,CCA1289
0,0.5211,1045,25,1322,CCA1322
0,0.3121,631,30,686,CCA686
0,0.6855,994,20,1761,CCA1761
1,0.8575,1379,30,645,CCA645
1,0.4462,879,30,2506,CCA2506
0,0.4318,872,30,712,CCA712
0,0.0503,131,20,2556,CCA2556
0,0.046,136,20,4172,CCA4172
0,0.1374,290,20,980,CCA980
0,0.186,446,15,2119,CCA2119
0,0.3332,645,25,6474,CCA6474
0,0.5225,841,25,674,CCA674
1,0.4764,780,5,5263,CCA5263
0,0.2132,599,10,1338,CCA1338
0,0.5,1186,18,2458,CCA2458
0,0.4442,1084,5,5812,CCA5812
0,0.3362,903,8,1908,CCA1908
0,0.1367,437,10,6640,CCA6640
0,0.2603,608,12,1291,CCA1291
0,0.5783,1097,20,6422,CCA6422
0,0.3573,908,12,1919,CCA1919
0,0.4473,1086,12,5810,CCA5810
0,0.3652,920,12,5804,CCA5804
0,0.2576,687,8,6646,CCA6646
0,0.3351,864,8,1930,CCA1930
0,0.289,621,14,5137,CCA5137
0.75,0.2719,631,14,2533,CCA2533
0.75,0.8463,1375,35,646,CCA646
0,0.3621,813,12,6414,CCA6414
0.5,0.4143,860,12,5117,CCA5117
0,0.4158,837,12,2508,CCA2508
0,0.2603,608,12,1292,CCA1292
0,0.1155,339,6,5205,CCA5205
0,0.1176,345,6,5203,CCA5203
0,0.1493,435,6,4183,CCA4183
0,0.1494,436,6,1330,CCA1330
0,0.6067,1172,17,5121,CCA5121
0.5,0.5834,1187,17,1298,CCA1298
0,0.3177,565,25,2898,CCA2898
1,0.2313,487,25,1676,CCA1676
0,0.31,612,25,681,CCA681
0,0.1211,354,8,4179,CCA4179
0,0.1146,324,8,1207,CCA1207
0,0.1034,342,8,1202,CCA1202
0.4,0.3411,610,25,1364,CCA1364
0,0.2838,469,15,6916,CCA6916
0.25,0.1757,348,25,2895,CCA2895
0.5,0.2565,496,25,1220,CCA1220
0,0.2813,473,12,6866,CCA6866
1,0.264,455,12,1590,CCA1590
0.25,0.3167,616,20,679,CCA679
0.25,0.2372,508,20,2954,CCA2954
0,0.266,508,8,736,CCA736
0,0.2802,463,7,2580,CCA2580
0,0.0495,141,7,936,CCA936
0,0.2834,478,7,822,CCA822
0,0.2284,476,40,2569,CCA2569
0.333333333,0.4428,673,45,1053,CCA1053
0,0.327,555,18,3182,CCA3182
0.75,0.2697,452,10,2583,CCA2583
0,0.1752,287,10,453,CCA453
0.5,0.4644,734,30,777,CCA777
0.5,0.6612,909,60,2902,CCA2902
1,0.4895,709,60,1733,CCA1733
0,0.261,441,15,2581,CCA2581
1.5,0.2086,382,25,2897,CCA2897
0,0.2187,462,25,2566,CCA2566
0,0.3901,604,25,1798,CCA1798
0.75,0.2939,482,25,351,CCA351
0.25,0.6182,815,10,4310,CCA4310
0.333333333,0.3475,532,10,473,CCA473
0,0.4136,597,25,2585,CCA2585
0,0.4536,664,25,3788,CCA3788
0,0.4772,689,12,460,CCA460
0,0.3951,621,35,6105,CCA6105
0,0.4439,652,35,6784,CCA6784
1.333333333,0.4994,668,35,1727,CCA1727
0.5,0.6024,1103,20,717,CCA717
1.333333333,0.7673,1187,40,2086,CCA2086
0,0.3047,634,25,697,CCA697
0.25,0.818,1301,30,639,CCA639
1,0.7335,1065,30,2903,CCA2903
0.25,0.7635,1213,30,2918,CCA2918
0.25,0.713,1120,30,643,CCA643
1.333333,0.5233,818,20,634,CCA634
1.333333,0.2764,482,15,945,CCA945
0,0.2764,482,15,946,CCA946
0,0.1395,305,6,5933,CCA5933
0,0.2786,541,6,57,CCA57
0,0.1605,334,12,482,CCA482
0,0.3875,566,20,6097,CCA6097
0.5,0.5019,721,20,7378,CCA7378
1.666666667,0.4895,709,20,1734,CCA1734
0,0.2324,426,12,5915,CCA5915
0,0.2119,431,12,5285,CCA5285
1.5,0.2803,500,12,3183,CCA3183
0,0.2115,393,12,2065,CCA2065
0,0.2317,446,12,783,CCA783
0,0.1863,371,4,1689,CCA1689
0,0.0589,162,3,487,CCA487
0,0.0622,173,3,1506,CCA1506
0,0.2099,410,7,5924,CCA5924
0,0.1863,359,7,3439,CCA3439
0,0.1852,379,7,929,CCA929
0,0.2858,483,8,824,CCA824
0,0.121,272,10,5229,CCA5229
0,0.1207,264,10,2558,CCA2558
0,0.1516,306,10,981,CCA981
0,0.0743,173,10,93,CCA93
0,0.1288,272,5,983,CCA983
0,0.1554,311,15,3642,CCA3642
0,0.1683,329,15,3880,CCA3880
