Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0,0.1944,350,15,3619,CCA3619
0,0.1515,296,15,116,CCA116
0,0.112,242,10,2801,CCA2801
0,0.2845,488,10,2245,CCA2245
0,0.1382,284,10,553,CCA553
0,0.1255,277,10,1072,CCA1072
0,0.1729,335,6,3178,CCA3178
0,0.1508,291,6,5477,CCA5477
0,0.1478,282,6,3644,CCA3644
0,0.2813,490,6,947,CCA947
0,0.187,350,6,191,CCA191
0,0.0974,246,10,7295,CCA7295
0,0.1091,265,10,333,CCA333
0,0.1868,339,7,3711,CCA3711
0,0.2043,368,7,3608,CCA3608
0,0.2144,383,7,3604,CCA3604
0,0.1405,285,12,3660,CCA3660
0,0.1308,281,12,2286,CCA2286
0,0.1487,297,12,135,CCA135
0,0.1196,269,14,3480,CCA3480
0,0.1442,287,14,3657,CCA3657
0,0.1437,286,14,3653,CCA3653
0,0.1514,299,10,551,CCA551
0,0.1168,254,10,3634,CCA3634
0,0.1504,298,10,122,CCA122
0,0.075,155,4,249,CCA249
0,0.1145,296,12,5592,CCA5592
0,0.0684,201,12,1548,CCA1548
0,0.1241,366,5,5180,CCA5180
0,0.1137,358,5,1188,CCA1188
0,0.1044,253,6,525,CCA525
0,0.0654,190,6,1520,CCA1520
0,0.1117,255,6,1405,CCA1405
0,0.1538,302,10,137,CCA137
0,0.1442,287,10,3656,CCA3656
0.75,0.2218,405,10,158,CCA158
0,0.351,611,20,6017,CCA6017
0.25,0.3105,548,20,3588,CCA3588
0,0.2871,465,20,944,CCA944
0,0.058,162,20,938,CCA938
0,0.0485,128,20,933,CCA933
0,0.1392,286,20,559,CCA559
0,0.1931,389,14,3667,CCA3667
0,0.1201,270,14,3474,CCA3474
0,0.102,226,10,3625,CCA3625
0,0.1081,237,10,3620,CCA3620
0,0.1348,317,10,5453,CCA5453
0,0.127,292,10,302,CCA302
0,0.1232,301,10,5585,CCA5585
0,0.126,304,10,5596,CCA5596
0,0.1809,373,10,321,CCA321
0,0.1655,348,10,316,CCA316
0,0.1492,307,10,326,CCA326
0,0.2106,405,15,3669,CCA3669
0,0.1529,335,15,3468,CCA3468
0,0.1466,309,15,3449,CCA3449
0,0.1828,367,10,3424,CCA3424
0,0.1051,277,12,1173,CCA1173
