label,name
Eucalyptus_brevistylis_393,eucalyptus_brevistylis
Eucalyptus_bridgesiana_257,eucalyptus_bridgesiana
Eucalyptus_brockwayi_474,eucalyptus_brockwayi
Eucalyptus_brookeriana_subsp_brookeriana_617,eucalyptus_brookeriana_subsp_brookeriana
Eucalyptus_brunnea_619,eucalyptus_brunnea
Eucalyptus_buprestium_CANB_632568,eucalyptus_buprestium
Eucalyptus_burdettiana_510,eucalyptus_burdettiana
Eucalyptus_burgessiana_ANBG_no_sn,eucalyptus_burgessiana
Eucalyptus_burracoppinensis_CANB_794037,eucalyptus_burracoppinensis
Eucalyptus_cadens_285,eucalyptus_cadens
Eucalyptus_caesia_subsp_caesia_52,eucalyptus_caesia_subsp_caesia
Eucalyptus_calcareana_455,eucalyptus_calcareana
Eucalyptus_calcicola_subsp_calcicola_176,eucalyptus_calcicola_subsp_calcicola
Eucalyptus_caleyi_subsp_caleyi_651,eucalyptus_caleyi_subsp_caleyi
Eucalyptus_caliginosa_298,eucalyptus_caliginosa
Eucalyptus_calycogona_subsp_calycogona_362,eucalyptus_calycogona_subsp_calycogona
Eucalyptus_camaldulensis_subsp_camaldulensis_ANBG_8401853,eucalyptus_camaldulensis_subsp_camaldulensis
Eucalyptus_campaspe_522,eucalyptus_campaspe
Eucalyptus_camphora_subsp_camphora_621,eucalyptus_camphora_subsp_camphora
Eucalyptus_canaliculata_698,eucalyptus_canaliculata
Eucalyptus_canescens_subsp_canescens_181,eucalyptus_canescens_subsp_canescens
Eucalyptus_canobolensis_497,eucalyptus_canobolensis
Eucalyptus_capillosa_469,eucalyptus_capillosa
Eucalyptus_capitellata_260,eucalyptus_capitellata
Eucalyptus_captiosa_CANB_799340,eucalyptus_captiosa
Eucalyptus_carnabyi_CANB_632591,eucalyptus_carnabyi
Eucalyptus_carnea_718,eucalyptus_carnea
Eucalyptus_carnei_757,eucalyptus_carnei
Eucalyptus_castrensis_ANBG_653995,eucalyptus_castrensis
Eucalyptus_celastroides_subsp_celastroides_196,eucalyptus_celastroides_subsp_celastroides
Eucalyptus_cephalocarpa_178,eucalyptus_cephalocarpa
Eucalyptus_ceracea_CANB_551306,eucalyptus_ceracea
Eucalyptus_cerasiformis_CANB_586828,eucalyptus_cerasiformis
Eucalyptus_ceratocorys_519,eucalyptus_ceratocorys
Eucalyptus_cernua_436,eucalyptus_cernua
Eucalyptus_chartaboma_CANB_703248,eucalyptus_chartaboma
Eucalyptus_chlorophylla_CANB_785565,eucalyptus_chlorophylla
Eucalyptus_cinerea_subsp_triplex_8703938,eucalyptus_cinerea_subsp_triplex
Eucalyptus_cladocalyx_ANBG_652722,eucalyptus_cladocalyx
Eucalyptus_clelandii_581,eucalyptus_clelandii
Eucalyptus_clivicola_66,eucalyptus_clivicola
Eucalyptus_cloeziana_241,eucalyptus_cloeziana
Eucalyptus_cneorifolia_195,eucalyptus_cneorifolia
Eucalyptus_comitae_vallis_465,eucalyptus_comitae
