phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID
eucalyptus_umbra,eucalyptus_aff._umbra_(?helidonica),2934,eucalyptus_aff._umbra_(?helidonica)_2934
eucalyptus_agglomerata,eucalyptus_agglomerata,1754,eucalyptus_agglomerata_1754
eucalyptus_aggregata,eucalyptus_aggregata,1224,eucalyptus_aggregata_1224
eucalyptus_aggregata,eucalyptus_aggregata,7365,eucalyptus_aggregata_7365
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa,356,eucalyptus_cypellocarpa_356
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa,4745,eucalyptus_cypellocarpa_4745
eucalyptus_kingsmillii,eucalyptus_alatissima,7,eucalyptus_alatissima_7
eucalyptus_kingsmillii,eucalyptus_alatissima,1530,eucalyptus_alatissima_1530
eucalyptus_alba,eucalyptus_alba_var._australasica,2475,eucalyptus_alba_var._australasica_2475
eucalyptus_alba,eucalyptus_alba_var._australasica,4211,eucalyptus_alba_var._australasica_4211
eucalyptus_albens,eucalyptus_albens,1676,eucalyptus_albens_1676
eucalyptus_albens,eucalyptus_albens,2898,eucalyptus_albens_2898
eucalyptus_albida,eucalyptus_albida,2214,eucalyptus_albida_2214
eucalyptus_albida,eucalyptus_albida,3437,eucalyptus_albida_3437
eucalyptus_albida,eucalyptus_albida,3699,eucalyptus_albida_3699
eucalyptus_albopurpurea,eucalyptus_albopurpurea,942,eucalyptus_albopurpurea_942
eucalyptus_albopurpurea,eucalyptus_albopurpurea,3180,eucalyptus_albopurpurea_3180
eucalyptus_albopurpurea,eucalyptus_albopurpurea,Ealb_1,eucalyptus_albopurpurea_Ealb_1
eucalyptus_albopurpurea,eucalyptus_albopurpurea_(atypical_form),825,eucalyptus_albopurpurea_(atypical_form)_825
eucalyptus_alipes,eucalyptus_alipes,3675,eucalyptus_alipes_3675
eucalyptus_alipes,eucalyptus_alipes,3678,eucalyptus_alipes_3678
eucalyptus_alipes,eucalyptus_alipes,5480,eucalyptus_alipes_5480
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix,1774,eucalyptus_alligatrix_subsp._alligatrix_1774
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix_(subsp._limaensis),1773,eucalyptus_alligatrix_subsp._alligatrix_(subsp._limaensis)_1773
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._miscella,776,eucalyptus_alligatrix_subsp._miscella_776
eucalyptus_alligatrix,eucalyptus_alpina,7046,eucalyptus_alpina_7046
eucalyptus_nudicaulis,eucalyptus_ammophila,1284,eucalyptus_ammophila_1284
eucalyptus_nudicaulis,eucalyptus_ammophila,6497,eucalyptus_ammophila_6497
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._amplifolia,604,eucalyptus_amplifolia_subsp._amplifolia_604
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._sessiliflora,668,eucalyptus_amplifolia_subsp._sessiliflora_668
eucalyptus_amygdalina,eucalyptus_amygdalina,1987,eucalyptus_amygdalina_1987
eucalyptus_amygdalina,eucalyptus_amygdalina,6723,eucalyptus_amygdalina_6723
eucalyptus_andrewsii,eucalyptus_andrewsii,670,eucalyptus_andrewsii_670
eucalyptus_angulosa,eucalyptus_angulosa,1136,eucalyptus_angulosa_1136
eucalyptus_angulosa,eucalyptus_angulosa,3706,eucalyptus_angulosa_3706
eucalyptus_angulosa,eucalyptus_angulosa,5983,eucalyptus_angulosa_5983
eucalyptus_angulosa,eucalyptus_angulosa,3746,eucalyptus_angulosa_3746
eucalyptus_angulosa,eucalyptus_angulosa_(e._grossifolia),3554,eucalyptus_angulosa_(e._grossifolia)_3554
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant),939,eucalyptus_angulosa_(sa_variant)_939
