"","UniqueID","Yearplanted","Row","Tree","TaxonoriginalDN","Regen.strategy","Aridityclass","AridityIndex","Diam.1.w.Bark..mm.","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Diamthickness.mm.","Volume.wood..cm3.","Leaf.dry.weight..g.","Wood.dry.weight..g.","Wooddensity.g.cm3.","Leaf.Area","Slice","Countedleaves","Total.Area","Average.Size","X.Area"
"21",177,1996,85,5,"Eucalyptus notactites","Lignotuber","Semiarid",0.4151,11.53,11.87,9.21,9.1,2.545,3.43,3.5837,2.34,0.68,NA,NA,NA,NA,NA,NA
"22",177,1996,85,6,"Eucalyptus notactites","Lignotuber","Semiarid",0.4151,8.21,9.33,6.31,7.52,1.855,1.68,4.6486,1.23,0.73,NA,"UniqueID",9,134.083,14.898,23.627
"23",177,1996,85,7,"Eucalyptus notactites","Lignotuber","Semiarid",0.4151,9.83,9.39,7.24,8.03,1.975,2.09,6.1885,1.54,0.74,NA,"UniqueID",8,200.716,25.09,35.369
"24",181,1994,41,32,"Eucalyptus stoatei","Seeder","Semiarid",0.2403,10.77,10.33,7.91,7.78,2.705,2.26,7.4703,1.79,0.79,NA,"UniqueID",8,130.18016,16.27252,23.91231
"25",181,1994,41,33,"Eucalyptus stoatei","Seeder","Semiarid",0.2403,8.48,8.25,6.28,6.43,2.01,1.4,8.9366,1.1,0.79,NA,"UniqueID",11,156.22373,14.20216,28.69616
"26",181,1994,41,34,"Eucalyptus stoatei","Seeder","Semiarid",0.2403,8.73,8.77,6.96,7.12,1.71,2.09,6.45,1.63,0.78,NA,"UniqueID",10,130.55616,13.05562,23.98138
"27",193,2000,189,31,"Eucalyptus clivicola","Seeder","Semiarid",0.2295,10.92,11.25,8.62,8.12,2.715,2.58,2.8066,1.95,0.76,NA,"UniqueID",8,101.431,12.679,17.39
"28",193,2000,189,33,"Eucalyptus clivicola","Seeder","Semiarid",0.2295,10.76,10.08,7.67,8.1,2.535,2.92,2.4957,2.37,0.81,NA,"UniqueID",7,69.137,9.877,11.853
"29",212,1999,170,14,"Eucalyptus newbeyi","Seeder","Semiarid",0.3299,10.22,9.73,8.45,8.48,1.51,1.97,1.1157,1.4,0.71,NA,"UniqueID",6,62.584,10.431,11.347
"30",212,1999,170,15,"Eucalyptus newbeyi","Seeder","Semiarid",0.3299,7.44,7.7,6.56,6.12,1.23,1.63,0.9679,1.2,0.74,NA,"UniqueID",7,50.369,7.196,9.133
"31",212,1999,170,16,"Eucalyptus newbeyi","Seeder","Semiarid",0.3299,9.87,8.65,8.26,6.97,1.645,1.99,1.6838,1.46,0.73,NA,"UniqueID",10,98.163,9.816,17.798
"32",214,1996,85,17,"Eucalyptus astringens subsp. redacta","Seeder","Semiarid",0.3299,13.08,12.68,10.63,10.14,2.495,3.87,2.7636,2.87,0.74,NA,"UniqueID",8,87.205,10.901,15.367
"33",214,1996,85,18,"Eucalyptus astringens subsp. redacta","Seeder","Semiarid",0.3299,11.46,10.5,8.35,9.28,2.165,2.51,2.2517,1.91,0.76,NA,"UniqueID",8,79.489,9.936,14.007
"34",214,1996,85,19,"Eucalyptus astringens subsp. redacta","Seeder","Semiarid",0.3299,8.46,7.81,6.68,5.87,1.86,1.76,3.0933,1.3,0.74,NA,"UniqueID",8,94.847,11.856,16.714
"35",215,1994,42,32,"Eucalyptus utilis","Seeder","Semiarid",0.3299,9.43,9.64,7.85,7.27,1.975,1.71,2.5758,1.29,0.75,NA,"UniqueID",9,65.88573,7.32064,12.1023
"36",215,1994,42,33,"Eucalyptus utilis","Seeder","Semiarid",0.3299,10.89,9.59,8.83,8.68,1.485,2.4,2.9468,1.92,0.8,NA,"UniqueID",11,92.50529,8.40957,16.99195
"37",215,1994,42,34,"Eucalyptus utilis","Seeder","Semiarid",0.3299,10.73,10.64,8.63,9.03,1.855,2.88,3.7557,2.28,0.79,NA,"UniqueID",7,93.84139,13.40591,17.23738
"38",230,1999,171,27,"Eucalyptus wandoo subsp. wandoo","Combination","Arid",0.1587,8.53,8.33,6.54,5.99,2.165,1.76,6.6214,1.21,0.69,NA,"UniqueID",8,206.787,25.848,37.493
"39",230,1999,171,28,"Eucalyptus wandoo subsp. wandoo","Combination","Arid",0.1587,12.77,12.84,9.69,9.41,3.255,3.47,1.8749,2.16,0.62,NA,"UniqueID",7,81.449,11.636,14.768
"40",230,1999,171,30,"Eucalyptus wandoo subsp. wandoo","Combination","Arid",0.1587,12.2,12.25,8.21,8.4,3.92,2.73,3.7215,1.96,0.72,NA,"UniqueID",8,116.506,14.563,21.124
"41",323,1993,25,6,"Eucalyptus georgia fulgida","Seeder","Arid",0.1816,10.93,10.72,8.07,7.57,3.005,2.84,9.6113,2.08,0.73,NA,"UniqueID",5,188.956,37.791,33.695
"42",323,1993,25,7,"Eucalyptus georgia fulgida","Seeder","Arid",0.1816,12.19,12.08,9.52,9.11,2.82,3.83,12.7404,2.73,0.71,NA,"UniqueID",6,248.387,41.398,44.292
"43",323,1993,25,9,"Eucalyptus georgia fulgida","Seeder","Arid",0.1816,11.97,11.17,9.38,8.4,2.68,3.88,7.7935,2.95,0.76,NA,"UniqueID",5,152.945,30.589,27.273
"44",339,1993,11,24,"Eucalyptus patraea","Lignotuber","Arid",0.1193,9.53,9.32,7.64,7.15,2.03,2.39,3.7386,1.94,0.81,NA,"UniqueID",6,104.681,17.447,18.667
"45",339,1993,11,25,"Eucalyptus patraea","Lignotuber","Arid",0.1193,9.34,8.97,6.94,6.89,2.24,1.95,4.0359,1.55,0.79,NA,"UniqueID",8,121.45,15.181,21.657
"46",339,1993,11,26,"Eucalyptus patraea","Lignotuber","Arid",0.1193,10.65,10.38,8.38,7.62,2.515,2.56,4.4294,2.06,0.8,NA,"UniqueID",9,136.603,15.178,24.359
"47",423,1994,45,14,"Eucalyptus intertexta","Combination","Arid",0.0934,7.39,7.52,6.15,6.07,1.345,1.46,2.5873,1,0.68,NA,"UniqueID",10,92.93202,9.2932,17.07034
"48",423,1994,45,15,"Eucalyptus intertexta","Combination","Arid",0.0934,8.35,8.78,6.27,6.53,2.165,1.58,2.2672,1.08,0.68,NA,"UniqueID",10,75.56067,7.55607,13.87946
"49",423,1994,45,16,"Eucalyptus intertexta","Combination","Arid",0.0934,8.53,9,6.05,5.69,2.895,1.33,2.3012,0.82,0.62,NA,"UniqueID",10,82.98909,8.29891,15.24396
"50",427,1994,42,8,"Eucalyptus sparsa","Lignotuber","Arid",0.0956,7.58,7.49,5.99,6.11,1.485,1.45,2.8952,1.03,0.71,NA,"UniqueID",6,79.2301,13.20502,14.55348
"51",427,1994,42,10,"Eucalyptus sparsa","Lignotuber","Arid",0.0956,8.57,8.99,6.82,6.67,2.035,1.36,3.933,1.06,0.78,NA,"UniqueID",9,117.28049,13.03117,21.54282
"52",427,1994,42,11,"Eucalyptus sparsa","Lignotuber","Arid",0.0956,6.07,6.02,4.37,4.26,1.73,0.71,3.2712,0.52,0.73,NA,"UniqueID",8,118.70107,14.83763,21.80376
"53",482,1994,40,12,"Eucalyptus porosa","Combination","Arid",0.1605,8.05,8.59,6.57,6.65,1.71,1.73,1.6411,1.17,0.68,NA,"UniqueID",7,59.41459,8.4878,10.91365
"54",482,1994,40,14,"Eucalyptus porosa","Combination","Arid",0.1605,8.67,7.93,6.25,7.29,1.53,1.76,1.2349,1.35,0.77,NA,"UniqueID",7,46.53323,6.6476,8.54752
"55",482,1994,40,15,"Eucalyptus porosa","Combination","Arid",0.1605,10.83,11.25,9.09,8.98,2.005,2.36,2.4295,1.77,0.75,NA,"UniqueID",11,98.23454,8.93041,18.04434
"56",545,1994,39,9,"Eucalyptus lucasii","Lignotuber","Arid",0.0911,8.27,8.45,6.43,6.09,2.1,1.23,3.9716,0.89,0.72,NA,"UniqueID",9,121.46292,13.49588,22.31107
"57",545,1994,39,11,"Eucalyptus lucasii","Lignotuber","Arid",0.0911,7.5,7.34,5.63,5.27,1.97,1.21,4.1702,0.84,0.69,NA,"UniqueID",10,128.96899,12.8969,23.68984
"58",545,1994,39,12,"Eucalyptus lucasii","Lignotuber","Arid",0.0911,10.76,9.79,7.57,8.46,2.26,2.63,2.9318,1.93,0.73,NA,"UniqueID",8,101.59956,12.69995,18.66245
"59",570,1994,60,33,"Eucalyptus bridgesiana","Combination","DrySubhumid",0.5384,7.51,7.77,6.45,6.27,1.28,1.72,3.001,1.12,0.65,NA,"UniqueID",7,132.41083,18.91583,24.32206
"60",570,1994,60,34,"Eucalyptus bridgesiana","Combination","DrySubhumid",0.5384,8.4,8.09,6.61,7,1.44,1.95,3.2099,1.11,0.57,NA,"UniqueID",6,148.6884,24.7814,27.31202
"61",570,1994,60,36,"Eucalyptus bridgesiana","Combination","DrySubhumid",0.5384,10.03,9.49,7.87,7.42,2.115,2.09,5.0966,1.23,0.59,NA,"UniqueID",7,178.04502,25.435,32.70443
"62",598,1994,51,14,"Eucalyptus smithii","Combination","Humid",0.7696,8.12,7.85,6.45,6.96,1.28,1.89,2.6573,1.05,0.56,NA,"UniqueID",5,125.22673,25.04535,23.00243
"63",598,1994,51,15,"Eucalyptus smithii","Combination","Humid",0.7696,8.29,8.3,6.82,6.9,1.435,1.89,2.49,1.24,0.66,NA,"UniqueID",5,103.52198,20.7044,19.01557
"64",598,1994,51,16,"Eucalyptus smithii","Combination","Humid",0.7696,9.32,9.2,7.94,7.61,1.485,2.23,1.5639,1.4,0.63,NA,"UniqueID",5,101.96304,20.39261,18.72921
"65",604,1994,53,17,"Eucalyptus amplifolia subsp. amplifolia","Combination","DrySubhumid",0.6038,10.09,10.47,7.79,8.43,2.17,2.81,4.3584,1.54,0.55,NA,"UniqueID",5,255.47131,51.09426,46.92658
"66",604,1994,53,18,"Eucalyptus amplifolia subsp. amplifolia","Combination","DrySubhumid",0.6038,8.85,8.62,7.63,6.9,1.47,1.91,5.4911,1.17,0.61,NA,"UniqueID",5,239.62111,47.92422,44.01511
"67",604,1994,53,19,"Eucalyptus amplifolia subsp. amplifolia","Combination","DrySubhumid",0.6038,8.58,8.15,7.52,7.53,0.84,1.95,3.0286,1.17,0.6,NA,"UniqueID",5,176.23667,35.24733,32.37226
"68",616,1994,16,41,"Eucalyptus aquatica","Combination","Humid",0.673,8.31,8.12,6.16,6.07,2.1,1.16,2.2828,0.83,0.72,NA,"UniqueID",9,96.91233,10.76804,17.80147
"69",616,1994,16,42,"Eucalyptus aquatica","Combination","Humid",0.673,10.12,9.87,7.54,7.67,2.39,2.46,3.1063,1.56,0.63,NA,"UniqueID",8,161.50876,20.1886,29.66695
"70",616,1994,16,43,"Eucalyptus aquatica","Combination","Humid",0.673,8.4,8.27,6.54,5.8,2.165,1.37,4.0224,0.89,0.65,NA,"UniqueID",11,172.92789,15.72072,31.76448
"71",634,1995,76,21,"Eucalyptus fergusonii subsp. dorsiventralis","Combination","DrySubhumid",0.5233,9.59,9.15,6.4,6.47,2.935,1.57,3.0175,1.04,0.66,NA,"UniqueID",10,172.19888,17.21989,31.63057
"72",634,1995,76,22,"Eucalyptus fergusonii subsp. dorsiventralis","Combination","DrySubhumid",0.5233,11.4,11.25,8.8,8.78,2.535,2.74,3.184,1.74,0.64,NA,"UniqueID",9,138.39459,15.37718,25.42119
"73",634,1995,76,23,"Eucalyptus fergusonii subsp. dorsiventralis","Combination","DrySubhumid",0.5233,8.8,7.91,7.2,6.3,1.605,1.11,4.0073,0.76,0.68,NA,"UniqueID",10,178.74437,17.87444,32.83289
"74",639,1994,53,9,"Eucalyptus paniculata (subsp. matutina)","Combination","Humid",0.818,11.27,12,8.58,9.65,2.52,3.75,1.7422,2.48,0.66,NA,"UniqueID",9,96.38034,10.70893,17.70375
"75",639,1994,53,10,"Eucalyptus paniculata (subsp. matutina)","Combination","Humid",0.818,9.38,8.8,7.24,7.69,1.625,2.4,3.3035,1.7,0.71,NA,NA,NA,NA,NA,NA
"76",639,1994,53,11,"Eucalyptus paniculata (subsp. matutina)","Combination","Humid",0.818,9.68,10.25,6.93,7.81,2.595,2.1,3.3312,1.46,0.7,NA,"UniqueID",8,140.69907,17.58738,25.84449
"77",641,1994,56,8,"Eucalyptus parramattensis subsp. decadens","Combination","DrySubhumid",0.7309,7.11,7.06,5.64,5.77,1.38,1.21,2.8456,0.73,0.6,NA,"UniqueID",8,154.0948,19.26185,28.3051
"78",641,1994,56,9,"Eucalyptus parramattensis subsp. decadens","Combination","DrySubhumid",0.7309,9.1,9.36,7.85,7.14,1.735,2.04,2.4767,1.11,0.54,NA,"UniqueID",9,131.53946,14.6155,24.162
"79",641,1994,56,10,"Eucalyptus parramattensis subsp. decadens","Combination","DrySubhumid",0.7309,10.46,10.34,8.73,8.79,1.64,2.33,2.4988,1.22,0.52,NA,"UniqueID",7,152.27983,21.75426,27.97172
"80",643,1994,61,29,"Eucalyptus fergusonii subsp. fergusonii","Combination","DrySubhumid",0.713,10.31,9.85,7.78,7.57,2.405,2.68,2.8421,1.73,0.65,NA,"UniqueID",10,198.03759,19.80376,36.37679
"81",643,1994,61,30,"Eucalyptus fergusonii subsp. fergusonii","Combination","DrySubhumid",0.713,10.62,11.52,7.99,9.13,2.51,2.04,2.7538,1.31,0.64,NA,"UniqueID",9,202.8795,22.54217,37.26618
"82",643,1994,61,31,"Eucalyptus fergusonii subsp. fergusonii","Combination","DrySubhumid",0.713,14.38,13.34,10.57,11.12,3.015,4.13,3.7363,2.78,0.67,NA,"UniqueID",8,174.95392,21.86924,32.13664
"83",645,1994,61,13,"Eucalyptus fusiformis","Combination","Humid",0.8575,12.71,11.91,9.54,10.03,2.525,2.8,2.68,1.77,0.63,NA,"UniqueID",8,160.41035,20.05129,29.46518
"84",645,1994,61,14,"Eucalyptus fusiformis","Combination","Humid",0.8575,11.7,11.17,8.88,8.26,2.865,3.12,2.2022,1.96,0.63,NA,"UniqueID",8,120.65715,15.08214,22.16306
"85",645,1994,61,15,"Eucalyptus fusiformis","Combination","Humid",0.8575,7.97,8.3,6.55,6.42,1.65,1.63,2.8505,1.17,0.72,NA,"UniqueID",6,165.7939,27.63232,30.45407
"86",646,1994,58,12,"Eucalyptus ancophila","Combination","Humid",0.8463,9.71,8.85,7.26,6.94,2.18,1.9,2.2894,1.24,0.65,NA,"UniqueID",6,173.39366,28.89894,31.85004
"87",646,1994,58,14,"Eucalyptus ancophila","Combination","Humid",0.8463,10.85,11.33,8.84,7.98,2.68,2.51,4.036,1.57,0.63,NA,"UniqueID",6,213.92545,35.65424,39.29517
"88",646,1994,58,15,"Eucalyptus ancophila","Combination","Humid",0.8463,10.71,10.63,7.99,8.13,2.61,2.23,3.4718,1.62,0.73,NA,"UniqueID",6,179.32875,29.88812,32.94023
"89",653,1994,50,33,"Eucalyptus banksii","Combination","DrySubhumid",0.5235,12.44,12.86,10.76,10.15,2.195,4.18,3.1635,2.47,0.59,NA,"UniqueID",7,160.38667,22.91238,29.46083
"90",653,1994,50,35,"Eucalyptus banksii","Combination","DrySubhumid",0.5235,12.83,12.24,9.32,10.35,2.7,3.43,4.1636,2.223,0.65,NA,"UniqueID",7,135.35848,19.33693,24.8635
"91",653,1994,50,36,"Eucalyptus banksii","Combination","DrySubhumid",0.5235,10.44,10.78,8.65,8.15,2.21,2.9,3.2137,1.94,0.67,NA,"UniqueID",7,112.11744,16.01678,20.59444
"92",659,1994,58,1,"Eucalyptus mckieana","Combination","DrySubhumid",0.6148,9.63,9.29,7.82,8.03,1.535,2.47,4.9525,1.56,0.63,NA,"UniqueID",6,186.0654,31.0109,34.17766
"93",659,1994,58,3,"Eucalyptus mckieana","Combination","DrySubhumid",0.6148,9.24,8.79,7.38,7.64,1.505,2.24,4.4993,1.22,0.54,NA,"UniqueID",7,179.29935,25.61419,32.93483
"94",666,1994,50,13,"Eucalyptus fibrosa","Combination","DrySubhumid",0.6368,9.38,9.32,7.46,7.72,1.76,2.31,3.2682,1.45,0.63,NA,"UniqueID",7,102.23908,14.60558,18.77992
"95",666,1994,50,15,"Eucalyptus fibrosa","Combination","DrySubhumid",0.6368,8.98,8.66,7.26,6.82,1.78,2.2,3.6776,1.42,0.65,NA,"UniqueID",8,191.46292,23.93286,35.16911
"96",666,1994,50,16,"Eucalyptus fibrosa","Combination","DrySubhumid",0.6368,10.98,10.95,8.89,9.13,1.955,2.88,3.0713,1.83,0.64,NA,"UniqueID",6,172.87736,28.81289,31.7552
"97",667,1994,60,29,"Eucalyptus interstans","Combination","DrySubhumid",0.7162,7.9,8.12,5.92,6.54,1.78,1.57,1.857,0.89,0.57,NA,"UniqueID",9,145.6516,16.18351,26.7542
"98",667,1994,60,30,"Eucalyptus interstans","Combination","DrySubhumid",0.7162,10.51,10.8,9.3,8.71,1.65,3.1,2.0138,1.57,0.51,NA,"UniqueID",10,136.08715,13.60872,24.99734
"99",667,1994,60,32,"Eucalyptus interstans","Combination","DrySubhumid",0.7162,8.6,8.63,7.04,6.8,1.695,1.91,1.568,0.97,0.51,NA,"UniqueID",10,134.06492,13.40649,24.62589
"100",668,1994,52,6,"Eucalyptus amplifolia subsp. sessiliflora","Combination","DrySubhumid",0.5714,8.02,8.63,7.05,6.37,1.615,1.74,4.1927,0.97,0.56,NA,"UniqueID",7,197.90425,28.27204,36.3523
"101",668,1994,52,7,"Eucalyptus amplifolia subsp. sessiliflora","Combination","DrySubhumid",0.5714,13.37,12.47,12.04,10.11,1.845,4.2,4.412,2.14,0.51,NA,"UniqueID",6,180.09005,30.01501,33.08007
"102",668,1994,52,8,"Eucalyptus amplifolia subsp. sessiliflora","Combination","DrySubhumid",0.5714,9.11,8.52,7.94,7.37,1.16,2.13,3.5233,1.33,0.62,NA,"UniqueID",6,144.69597,24.116,26.57867
"103",671,1994,52,1,"Eucalyptus prava","Combination","DrySubhumid",0.6147,11.04,10.83,7.97,8.07,2.915,2.45,3.6802,1.29,0.53,NA,"UniqueID",8,144.57351,18.07169,26.55617
"104",671,1994,52,4,"Eucalyptus prava","Combination","DrySubhumid",0.6147,9.72,9.75,8.4,8.19,1.44,3.02,1.6007,1.81,0.6,NA,"UniqueID",8,107.71397,13.46425,19.78558
"105",674,1994,52,9,"Eucalyptus sideroxylon","Combination","DrySubhumid",0.5225,9.1,9.66,7.43,6.87,2.23,2.11,1.5133,1.26,0.6,NA,"UniqueID",10,103.87072,10.38707,19.07963
"106",674,1994,52,10,"Eucalyptus sideroxylon","Combination","DrySubhumid",0.5225,7.42,7.44,6.48,5.85,1.265,1.51,2.9939,0.95,0.63,NA,"UniqueID",9,158.65157,17.62795,29.14212
"107",674,1994,52,12,"Eucalyptus sideroxylon","Combination","DrySubhumid",0.5225,9.01,9.27,7.22,7.42,1.82,1.73,2.0786,1.11,0.64,NA,"UniqueID",9,140.8236,15.64707,25.86736
"108",679,1994,59,12,"Eucalyptus populnea subsp. populnea","Combination","Semiarid",0.3167,8.6,8.92,6.82,6.42,2.14,1.65,4.2281,1.08,0.65,NA,"UniqueID",7,182.82855,26.11836,33.5831
"109",679,1994,59,13,"Eucalyptus populnea subsp. populnea","Combination","Semiarid",0.3167,9.07,8.71,6.3,6.8,2.34,1.72,4.2361,1.18,0.69,NA,"UniqueID",5,193.81585,38.76317,35.60132
"110",679,1994,59,15,"Eucalyptus populnea subsp. populnea","Combination","Semiarid",0.3167,8.09,8.94,6.32,6.91,1.9,1.69,4.971,1.17,0.69,NA,"UniqueID",7,205.34265,29.33466,37.71863
"111",680,1994,51,1,"Eucalyptus elegans","Combination","Semiarid",0.3167,10.36,10.52,8.19,7.92,2.385,2.59,2.1761,1.76,0.68,NA,"UniqueID",11,115.38705,10.48973,21.19502
"112",680,1994,51,3,"Eucalyptus elegans","Combination","Semiarid",0.3167,9.61,10.22,7.41,7.58,2.42,2.33,1.0804,1.58,0.68,NA,"UniqueID",11,89.65718,8.15065,16.46879
"113",680,1994,51,4,"Eucalyptus elegans","Combination","Semiarid",0.3167,10.56,9.45,7.3,7.17,2.77,1.9,1.178,1.24,0.65,NA,"UniqueID",10,89.4709,8.94709,16.43458
"114",681,1994,49,5,"Eucalyptus woollsiana (E. pilligaensis)","Combination","Semiarid",0.31,10.57,9.87,8.56,7.29,2.295,2.48,1.8628,1.6,0.65,NA,"UniqueID",11,81.22184,7.3838,14.91934
"115",681,1994,49,6,"Eucalyptus woollsiana (E. pilligaensis)","Combination","Semiarid",0.31,10.26,10.57,8.07,8.21,2.275,2.41,2.2615,1.66,0.69,NA,"UniqueID",9,92.0727,10.2303,16.91249
"116",681,1994,49,8,"Eucalyptus woollsiana (E. pilligaensis)","Combination","Semiarid",0.31,10.71,9.93,8.33,7.58,2.365,2.69,3.786,2.01,0.75,NA,"UniqueID",9,149.68458,16.63162,27.49501
"117",683,1994,53,33,"Eucalyptus panda","Combination","Semiarid",0.3159,10.47,10.07,7.84,7.69,2.505,2.11,1.5862,1.24,0.59,NA,"UniqueID",7,116.51871,16.64553,21.40289
"118",683,1994,53,35,"Eucalyptus panda","Combination","Semiarid",0.3159,8.45,8.16,5.86,6.05,2.35,1.25,2.1448,0.83,0.66,NA,"UniqueID",7,148.13341,21.16192,27.21008
"119",683,1994,53,36,"Eucalyptus panda","Combination","Semiarid",0.3159,8.92,8.05,5.67,6.56,2.37,1.54,2.983,1.06,0.69,NA,"UniqueID",7,136.18669,19.45524,25.01563
"120",685,1994,53,5,"Eucalyptus nubilis","Combination","Semiarid",0.3134,9.59,10.09,7.23,7.47,2.49,1.97,3.729,1.34,0.68,NA,"UniqueID",6,131.72726,21.95454,24.19649
"121",685,1994,53,6,"Eucalyptus nubilis","Combination","Semiarid",0.3134,10.43,10.5,9.06,7.9,1.16,2.67,4.6829,1.87,0.7,NA,"UniqueID",8,180.55609,22.56951,33.16568
"122",685,1994,53,8,"Eucalyptus nubilis","Combination","Semiarid",0.3134,8.42,8.28,6.5,6.36,1.92,1.61,5.8074,1.09,0.68,NA,"UniqueID",5,229.82667,45.96533,42.21601
"123",686,1994,51,5,"Eucalyptus argophloia","Combination","Semiarid",0.3121,13.43,12.03,11.41,9.94,2.055,4.07,1.4805,2.47,0.61,NA,"UniqueID",8,72.04709,9.00589,13.23406
"124",686,1994,51,7,"Eucalyptus argophloia","Combination","Semiarid",0.3121,10.61,10.37,8.62,8.8,1.78,2.9,1.4609,1.87,0.64,NA,"UniqueID",11,78.17506,7.10682,14.35969
"125",686,1994,51,8,"Eucalyptus argophloia","Combination","Semiarid",0.3121,10.46,10.51,9.48,9.23,1.13,3.45,1.5085,2.25,0.65,NA,"UniqueID",7,75.86693,10.83813,13.93572
"126",689,1994,53,25,"Eucalyptus dura","Combination","Semiarid",0.3478,10.17,9.9,7.08,7.46,2.765,1.8,3.2572,1.2,0.67,NA,"UniqueID",9,150.29581,16.69953,27.60728
"127",689,1994,53,26,"Eucalyptus dura","Combination","Semiarid",0.3478,7.25,7.08,5.5,5.69,1.57,1.21,3.988,0.92,0.76,NA,"UniqueID",6,125.08657,20.84776,22.97669
"128",689,1994,53,27,"Eucalyptus dura","Combination","Semiarid",0.3478,8.8,8.53,6.14,6.58,2.305,1.43,3.2945,0.97,0.68,NA,"UniqueID",6,198.74368,33.12395,36.50649
