tree_CCAUniqueIDs,tree_UniqueIDs
CCA1104,1104
CCA1881,1881
CCA2287,2287
CCA1870,1870
CCA1847,1847
CCA190,190
CCA2154,2154
CCA115,115
CCA1808,1808
CCA1078,1078
CCA1813,1813
CCA168,168
CCA248,248
CCA5547,5547
CCA5078,5078
CCA3515,3515
CCA3587,3587
CCA3568,3568
CCA2244,2244
CCA3564,3564
CCA5496,5496
CCA198,198
CCA3580,3580
CCA3579,3579
CCA4579,4579
CCA4570,4570
CCA4605,4605
CCA177,177
CCA220,220
CCA3759,3759
CCA3754,3754
CCA1626,1626
CCA3433,3433
CCA1113,1113
CCA2237,2237
CCA3725,3725
CCA5040,5040
CCA243,243
CCA1844,1844
CCA141,141
CCA4553,4553
CCA3897,3897
CCA3567,3567
CCA3744,3744
CCA1629,1629
CCA205,205
CCA3712,3712
CCA1118,1118
CCA148,148
CCA3882,3882
CCA3493,3493
CCA3457,3457
CCA6383,6383
CCA3662,3662
CCA4660,4660
CCA3670,3670
CCA319,319
CCA5033,5033
CCA3486,3486
CCA6945,6945
CCA1392,1392
CCA1079,1079
CCA505,505
CCA4736,4736
CCA6807,6807
CCA447,447
CCA3691,3691
CCA3426,3426
CCA1081,1081
CCA5993,5993
CCA3613,3613
CCA1091,1091
CCA5518,5518
CCA5503,5503
CCA3742,3742
CCA3436,3436
CCA6951,6951
CCA2790,2790
CCA2730,2730
CCA527,527
CCA7311,7311
CCA6985,6985
CCA3643,3643
CCA2756,2756
CCA1169,1169
CCA6691,6691
CCA5513,5513
CCA4546,4546
CCA3877,3877
CCA2227,2227
CCA5578,5578
CCA3530,3530
CCA4539,4539
CCA5671,5671
CCA5554,5554
CCA5460,5460
CCA6955,6955
CCA6697,6697
CCA5071,5071
CCA3630,3630
CCA2713,2713
CCA292,292
CCA244,244
CCA4803,4803
CCA1127,1127
CCA5992,5992
CCA3453,3453
CCA195,195
CCA3575,3575
CCA1089,1089
CCA162,162
CCA6350,6350
CCA1613,1613
CCA3447,3447
CCA230,230
CCA285,285
CCA3699,3699
CCA3437,3437
CCA2214,2214
CCA6931,6931
CCA522,522
CCA5693,5693
CCA1567,1567
CCA5684,5684
CCA5672,5672
CCA1152,1152
CCA7324,7324
CCA1161,1161
CCA5567,5567
CCA3532,3532
CCA1177,1177
CCA241,241
CCA2722,2722
CCA533,533
CCA2192,2192
CCA300,300
CCA5478,5478
CCA3724,3724
CCA1109,1109
CCA4223,4223
CCA19791,19791
CCA19790,19790
CCA21163,21163
CCA19492,19492
CCA7236,7236
CCA819,819
CCA69,69
CCA1253,1253
CCA612,612
CCA1271,1271
CCA1131,1131
CCA5538,5538
CCA1146,1146
CCA6641,6641
CCA1938,1938
CCA2456,2456
CCA6652,6652
CCA6403,6403
CCA2482,2482
CCA1933,1933
CCA13400,13400
CCA1350,1350
CCA12966,12966
CCA1296,1296
CCA1911,1911
CCA4211,4211
CCA2475,2475
CCA1910,1910
CCA1931,1931
CCA2112,2112
CCA1232,1232
CCA636,636
CCA671,671
CCA2447,2447
CCA6306,6306
CCA2911,2911
CCA2908,2908
CCA600,600
CCA6191,6191
CCA2100,2100
CCA6203,6203
CCA630,630
CCA6449,6449
CCA1301,1301
CCA6205,6205
CCA638,638
CCA1304,1304
CCA6438,6438
CCA2518,2518
CCA2524,2524
CCA1237,1237
CCA1762,1762
CCA642,642
CCA6206,6206
CCA2921,2921
CCA2924,2924
CCA705,705
CCA2512,2512
CCA1316,1316
CCA668,668
CCA604,604
CCA1314,1314
CCA5747,5747
CCA4258,4258
CCA4231,4231
CCA2489,2489
CCA6389,6389
CCA6136,6136
CCA5279,5279
CCA5233,5233
CCA5156,5156
CCA4733,4733
CCA823,823
CCA5571,5571
CCA5077,5077
CCA4177,4177
CCA3523,3523
CCA2555,2555
CCA1206,1206
CCA2553,2553
CCA1369,1369
CCA751,751
CCA6499,6499
CCA730,730
CCA6401,6401
CCA4184,4184
CCA6482,6482
CCA6168,6168
CCA2932,2932
CCA1261,1261
CCA682,682
CCA6497,6497
CCA1284,1284
Eflinder_1,Eflinder_1
CCA6387,6387
CCA5230,5230
CCA11239,11239
CCA6241,6241
CCA2085,2085
CCA13661,13661
CCA13398,13398
CCA713,713
CCA1272,1272
CCA1736,1736
CCA2937,2937
CCA720,720
CCA6175,6175
CCA1254,1254
CCA667,667
CCA707,707
CCA1241,1241
CCA6173,6173
CCA6806,6806
CCA6464,6464
CCA6148,6148
CCA1255,1255
CCA675,675
CCA3796,3796
CCA722,722
CCA2689,2689
CCA1703,1703
CCA1209,1209
CCA7365,7365
CCA1224,1224
CCA6419,6419
CCA1323,1323
CCA5144,5144
CCA1309,1309
CCA6164,6164
CCA6160,6160
CCA6502,6502
CCA2964,2964
CCA6147,6147
CCA728,728
CCA6242,6242
CCA6171,6171
CCA724,724
CCA723,723
CCA716,716
CCA6478,6478
CCA6486,6486
CCA2107,2107
CCA7398,7398
CCA1977,1977
CCA1970,1970
CCA1962,1962
CCA7406,7406
CCA1980,1980
CCA2089,2089
CCA650,650
CCA669,669
CCA3209,3209
CCA1763,1763
CCA641,641
CCA6645,6645
CCA1934,1934
CCA539,539
CCA2498,2498
CCA1332,1332
CCA6457,6457
CCA1239,1239
CCA3797,3797
CCA2067,2067
CCA6307,6307
CCA1739,1739
CCA7411,7411
CCA1983,1983
CCA618,618
CCA633,633
CCA6219,6219
CCA5024,5024
CCA6782,6782
CCA6333,6333
CCA576,576
CCA616,616
CCA762,762
CCA1775,1775
CCA1745,1745
CCA2950,2950
CCA760,760
CCA5271,5271
CCA570,570
CCA1368,1368
CCA1257,1257
CCA6231,6231
CCA6157,6157
CCA648,648
CCA1735,1735
